STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
893 	 -592 	 -492 	 195.545 	 38.255 	 -129.955 	
877 	 -629 	 -546 	 198.52 	 43.015 	 -120.82 	
838 	 -686 	 -655 	 202.965 	 47.565 	 -107.73 	
769 	 -737 	 -740 	 208.845 	 52.01 	 -93.17 	
648 	 -963 	 -882 	 215.95 	 56.42 	 -77.805 	
455 	 -1521 	 -976 	 227.325 	 61.53 	 -59.325 	
528 	 -2047 	 -587 	 245.875 	 65.555 	 -42.525 	
943 	 -3216 	 225 	 267.47 	 72.8 	 -28.42 	
2001 	 -3914 	 1434 	 286.685 	 84.56 	 -14.21 	
2037 	 -4058 	 2488 	 292.075 	 105.91 	 52.185 	
1904 	 -2300 	 3539 	 274.015 	 118.615 	 204.54 	
2651 	 -724 	 3485 	 194.39 	 139.825 	 350.28 	
3639 	 1684 	 3069 	 61.845 	 182.84 	 341.53 	
3797 	 3147 	 1744 	 -136.15 	 247.8 	 218.225 	
3063 	 4612 	 115 	 -364.665 	 325.71 	 154.7 	
2387 	 5074 	 -1748 	 -592.34 	 385.56 	 182.805 	
1611 	 4884 	 -3107 	 -787.85 	 420.525 	 170.555 	
328 	 3017 	 -3086 	 -941.29 	 418.04 	 85.225 	
-1207 	 -319 	 -342 	 -960.855 	 278.74 	 -30.975 	
-407 	 -162 	 -501 	 -859.88 	 45.43 	 -199.85 	
-1171 	 -575 	 641 	 -776.545 	 -32.795 	 -258.58 	
-626 	 -690 	 384 	 -667.555 	 -143.57 	 -268.73 	
23 	 -288 	 -272 	 -508.025 	 -224.84 	 -205.835 	
586 	 668 	 -897 	 -333.62 	 -271.46 	 -85.715 	
1368 	 1328 	 -1511 	 -198.835 	 -280.945 	 9.415 	
1739 	 2009 	 -1669 	 -111.09 	 -261.59 	 40.495 	
1946 	 2377 	 -1874 	 -61.355 	 -216.475 	 75.775 	
1543 	 2124 	 -1541 	 -37.975 	 -147.455 	 121.555 	
1429 	 2066 	 -1394 	 -22.4 	 -90.335 	 137.025 	
1141 	 1268 	 -898 	 -25.305 	 -16.765 	 142.905 	
905 	 1063 	 -679 	 1.015 	 15.47 	 113.75 	
648 	 555 	 -370 	 26.04 	 41.265 	 79.8 	
808 	 504 	 -397 	 55.79 	 49.14 	 27.755 	
763 	 410 	 -394 	 79.205 	 60.795 	 -6.79 	
755 	 638 	 -436 	 102.48 	 67.165 	 -6.79 	
761 	 666 	 -538 	 119.07 	 64.505 	 18.445 	
775 	 719 	 -647 	 131.635 	 57.015 	 42.665 	
732 	 719 	 -703 	 137.41 	 46.025 	 48.545 	
759 	 761 	 -756 	 137.095 	 32.62 	 44.38 	
790 	 709 	 -762 	 131.775 	 20.125 	 39.76 	
821 	 610 	 -708 	 124.32 	 9.87 	 29.015 	
