STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
1220 	 -975 	 -671 	 105.0 	 104.545 	 -118.65 	
1517 	 -938 	 -620 	 107.03 	 127.82 	 -135.835 	
1751 	 -962 	 -535 	 107.275 	 156.38 	 -124.565 	
2227 	 -925 	 -515 	 107.03 	 187.495 	 -73.815 	
2645 	 -836 	 -537 	 103.005 	 227.29 	 29.82 	
3060 	 -578 	 -753 	 93.065 	 273.525 	 191.8 	
3315 	 272 	 -1119 	 76.23 	 328.895 	 384.3 	
3809 	 1195 	 -1744 	 32.445 	 399.0 	 530.18 	
4038 	 1113 	 -2453 	 -39.095 	 488.985 	 572.95 	
3954 	 1621 	 -3066 	 -120.295 	 590.765 	 524.475 	
3269 	 2037 	 -3391 	 -211.085 	 697.235 	 514.675 	
2495 	 2333 	 -3603 	 -285.81 	 792.96 	 583.205 	
1508 	 2282 	 -3510 	 -339.115 	 874.335 	 655.2 	
187 	 2017 	 -2870 	 -373.835 	 912.205 	 650.125 	
-1568 	 1107 	 -1400 	 -397.88 	 894.285 	 551.845 	
-3446 	 142 	 811 	 -426.58 	 796.32 	 392.35 	
-3506 	 -172 	 1542 	 -423.745 	 587.895 	 225.75 	
-3350 	 196 	 1695 	 -451.15 	 391.3 	 70.07 	
-2461 	 456 	 1233 	 -515.13 	 192.535 	 -119.14 	
-1461 	 1052 	 300 	 -565.25 	 -2.03 	 -304.815 	
-190 	 1527 	 -795 	 -572.11 	 -183.645 	 -399.315 	
995 	 1944 	 -1816 	 -538.825 	 -318.465 	 -360.08 	
1398 	 2367 	 -2233 	 -500.535 	 -398.16 	 -194.25 	
2984 	 950 	 -2793 	 -472.01 	 -428.33 	 -9.485 	
2934 	 559 	 -2472 	 -445.935 	 -392.455 	 52.885 	
2775 	 86 	 -2085 	 -425.39 	 -355.705 	 57.05 	
1946 	 129 	 -1482 	 -391.3 	 -308.49 	 46.585 	
1479 	 -178 	 -1103 	 -355.39 	 -270.795 	 31.325 	
1280 	 -308 	 -821 	 -315.735 	 -241.43 	 -13.3 	
1173 	 -387 	 -657 	 -272.16 	 -217.42 	 -59.01 	
974 	 -22 	 -500 	 -221.865 	 -193.13 	 -68.565 	
952 	 40 	 -452 	 -177.345 	 -171.255 	 -33.635 	
882 	 174 	 -402 	 -136.15 	 -146.23 	 6.055 	
832 	 267 	 -371 	 -104.65 	 -122.57 	 27.86 	
736 	 356 	 -371 	 -81.025 	 -100.24 	 31.675 	
