STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
962 	 -306 	 -1329 	 193.55 	 260.925 	 -12.32 	
1081 	 -359 	 -1372 	 196.56 	 279.895 	 -17.08 	
1143 	 -429 	 -1399 	 200.2 	 301.28 	 -19.775 	
1217 	 -546 	 -1430 	 204.715 	 323.505 	 -17.5 	
1366 	 -606 	 -1454 	 210.805 	 346.255 	 -11.06 	
1533 	 -582 	 -1470 	 218.47 	 370.965 	 -1.365 	
1737 	 -437 	 -1389 	 224.98 	 396.445 	 12.25 	
1906 	 -490 	 -1359 	 230.265 	 421.75 	 35.735 	
2020 	 -551 	 -1281 	 237.79 	 446.95 	 71.82 	
2241 	 -663 	 -1204 	 245.035 	 469.84 	 125.3 	
2368 	 -596 	 -1111 	 253.785 	 490.525 	 201.74 	
2684 	 204 	 -961 	 256.305 	 508.935 	 292.775 	
2325 	 1353 	 -890 	 236.145 	 528.465 	 405.335 	
1930 	 2980 	 -703 	 187.32 	 543.305 	 510.405 	
1502 	 2976 	 -529 	 91.315 	 561.995 	 566.16 	
1671 	 2877 	 -704 	 -33.25 	 589.995 	 512.225 	
1016 	 3465 	 -958 	 -194.04 	 632.625 	 407.995 	
582 	 4045 	 -1503 	 -366.415 	 666.12 	 376.005 	
375 	 3812 	 -2094 	 -531.405 	 696.885 	 403.06 	
419 	 3057 	 -2573 	 -676.445 	 716.73 	 395.325 	
333 	 1649 	 -2673 	 -801.465 	 717.78 	 304.36 	
47 	 -431 	 -2088 	 -904.89 	 675.43 	 119.91 	
-560 	 -1642 	 -1081 	 -981.015 	 574.805 	 -121.73 	
-1072 	 -1844 	 175 	 -1010.1 	 434.7 	 -294.455 	
-491 	 -2275 	 319 	 -970.13 	 201.635 	 -384.475 	
-314 	 -926 	 -402 	 -880.775 	 11.34 	 -417.48 	
162 	 -233 	 -527 	 -788.025 	 -111.79 	 -331.87 	
268 	 468 	 -616 	 -691.495 	 -204.68 	 -230.44 	
922 	 1042 	 -1096 	 -592.34 	 -278.46 	 -102.025 	
1489 	 1076 	 -1367 	 -517.86 	 -304.64 	 10.745 	
1839 	 918 	 -1391 	 -464.065 	 -279.16 	 62.335 	
1788 	 871 	 -1257 	 -421.05 	 -233.275 	 57.33 	
1594 	 866 	 -1097 	 -384.405 	 -187.915 	 28.28 	
1276 	 980 	 -872 	 -350.035 	 -145.775 	 0.42 	
972 	 906 	 -721 	 -318.71 	 -111.685 	 -7.665 	
794 	 784 	 -578 	 -287.245 	 -84.665 	 -8.785 	
658 	 579 	 -426 	 -258.79 	 -65.52 	 -21.84 	
537 	 489 	 -343 	 -229.985 	 -53.235 	 -49.98 	
433 	 512 	 -258 	 -202.16 	 -47.075 	 -83.755 	
355 	 575 	 -232 	 -176.61 	 -45.815 	 -111.86 	
322 	 631 	 -222 	 -153.65 	 -48.055 	 -131.25 	
385 	 642 	 -273 	 -132.02 	 -51.835 	 -135.765 	
371 	 767 	 -263 	 -110.635 	 -53.865 	 -112.84 	
415 	 714 	 -325 	 -90.16 	 -56.665 	 -59.57 	
478 	 631 	 -355 	 -69.37 	 -56.315 	 -6.86 	
555 	 488 	 -410 	 -52.675 	 -55.055 	 15.785 	
