STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
315 	 -154 	 -1263 	 211.61 	 153.72 	 11.795 	
285 	 -156 	 -1286 	 221.76 	 153.825 	 24.64 	
300 	 -204 	 -1316 	 231.175 	 152.88 	 36.505 	
314 	 -227 	 -1377 	 240.695 	 151.795 	 43.505 	
326 	 -268 	 -1437 	 249.445 	 150.85 	 44.835 	
306 	 -343 	 -1507 	 257.39 	 150.08 	 41.51 	
294 	 -460 	 -1571 	 265.965 	 149.625 	 36.085 	
294 	 -618 	 -1620 	 275.31 	 149.765 	 30.695 	
353 	 -824 	 -1651 	 286.965 	 150.465 	 26.6 	
438 	 -1045 	 -1648 	 301.0 	 152.81 	 23.205 	
556 	 -1324 	 -1625 	 317.94 	 157.08 	 20.685 	
705 	 -1630 	 -1605 	 338.135 	 164.08 	 18.725 	
923 	 -2020 	 -1542 	 361.97 	 174.44 	 22.05 	
1447 	 -2513 	 -1369 	 390.285 	 190.12 	 40.32 	
2230 	 -2933 	 -1162 	 418.425 	 212.38 	 89.18 	
2817 	 -2958 	 -975 	 441.035 	 242.27 	 181.825 	
3055 	 -2318 	 -628 	 451.71 	 278.95 	 310.345 	
3506 	 -989 	 -268 	 431.515 	 316.015 	 429.24 	
3321 	 949 	 91 	 366.905 	 365.785 	 476.63 	
2883 	 1998 	 374 	 245.77 	 424.97 	 432.495 	
2463 	 3042 	 413 	 86.835 	 490.98 	 335.3 	
1720 	 3663 	 112 	 -100.1 	 555.1 	 290.745 	
1483 	 3865 	 -516 	 -283.64 	 603.47 	 291.305 	
1110 	 3696 	 -1118 	 -462.105 	 635.95 	 257.985 	
994 	 2581 	 -1544 	 -623.455 	 629.195 	 162.435 	
309 	 940 	 -1270 	 -756.455 	 583.135 	 26.18 	
-587 	 -317 	 -93 	 -842.555 	 478.87 	 -101.045 	
-715 	 -672 	 360 	 -833.28 	 278.53 	 -229.6 	
-616 	 97 	 81 	 -821.94 	 110.915 	 -316.12 	
-223 	 320 	 -500 	 -809.41 	 -15.19 	 -273.63 	
506 	 -277 	 -584 	 -750.4 	 -94.08 	 -216.545 	
366 	 1065 	 -380 	 -642.6 	 -164.08 	 -156.94 	
1630 	 184 	 -890 	 -557.13 	 -222.565 	 -9.17 	
2008 	 125 	 -1101 	 -473.41 	 -211.68 	 33.425 	
2319 	 93 	 -1004 	 -408.59 	 -180.425 	 19.075 	
1846 	 423 	 -780 	 -347.48 	 -135.345 	 8.715 	
1618 	 637 	 -581 	 -293.475 	 -96.075 	 45.99 	
1312 	 652 	 -449 	 -246.085 	 -56.385 	 109.48 	
1066 	 698 	 -376 	 -206.71 	 -21.98 	 148.085 	
877 	 667 	 -354 	 -175.315 	 2.415 	 140.84 	
750 	 698 	 -285 	 -150.92 	 17.255 	 94.885 	
591 	 677 	 -248 	 -132.545 	 24.115 	 40.915 	
478 	 755 	 -191 	 -115.675 	 23.45 	 0.035 	
405 	 772 	 -159 	 -102.9 	 17.08 	 -21.805 	
389 	 761 	 -194 	 -93.135 	 6.965 	 -33.6 	
411 	 803 	 -232 	 -85.295 	 -4.41 	 -37.66 	
420 	 829 	 -265 	 -80.01 	 -15.68 	 -27.79 	
543 	 775 	 -324 	 -75.67 	 -25.585 	 -8.855 	
633 	 679 	 -388 	 -72.625 	 -32.235 	 3.57 	
771 	 573 	 -457 	 -70.805 	 -36.645 	 -1.19 	
808 	 522 	 -483 	 -70.105 	 -36.995 	 -22.855 	
