STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
580 	 -922 	 -985 	 220.465 	 99.435 	 -104.895 	
614 	 -1065 	 -1004 	 229.005 	 107.24 	 -98.035 	
719 	 -1169 	 -1018 	 239.89 	 115.955 	 -88.725 	
855 	 -1344 	 -1056 	 250.635 	 126.525 	 -79.695 	
956 	 -1548 	 -1122 	 262.78 	 139.23 	 -73.92 	
1126 	 -1670 	 -1086 	 276.36 	 154.595 	 -71.435 	
1460 	 -1792 	 -978 	 288.435 	 171.5 	 -67.9 	
1795 	 -2084 	 -796 	 298.515 	 191.17 	 -62.93 	
2044 	 -2411 	 -476 	 306.285 	 215.215 	 -52.185 	
2323 	 -2464 	 -271 	 306.88 	 242.795 	 -8.05 	
2857 	 -1447 	 -141 	 301.805 	 273.315 	 107.45 	
3030 	 311 	 -213 	 274.575 	 312.48 	 312.165 	
3562 	 968 	 -332 	 212.415 	 356.72 	 513.24 	
3910 	 928 	 -530 	 115.71 	 426.615 	 516.46 	
3510 	 1731 	 -680 	 -25.13 	 513.87 	 339.465 	
2565 	 2839 	 -780 	 -187.565 	 600.67 	 243.565 	
1535 	 3270 	 -901 	 -346.395 	 675.115 	 294.07 	
892 	 3226 	 -1185 	 -499.275 	 724.255 	 309.785 	
143 	 2869 	 -1414 	 -646.695 	 736.82 	 219.31 	
-782 	 1847 	 -1110 	 -774.655 	 695.87 	 104.23 	
-1514 	 926 	 -334 	 -870.17 	 598.92 	 15.715 	
-1774 	 -173 	 444 	 -919.94 	 451.29 	 -55.195 	
-1558 	 -1093 	 879 	 -909.615 	 246.96 	 -195.16 	
-1074 	 -143 	 283 	 -883.33 	 48.125 	 -366.345 	
-369 	 23 	 -355 	 -848.12 	 -110.46 	 -405.545 	
199 	 1351 	 -697 	 -760.69 	 -230.86 	 -332.29 	
1607 	 1083 	 -1329 	 -670.915 	 -315.805 	 -157.955 	
2142 	 1540 	 -1631 	 -589.54 	 -326.55 	 -65.52 	
2406 	 1285 	 -1747 	 -543.795 	 -302.855 	 -35.665 	
2158 	 1025 	 -1581 	 -500.675 	 -257.985 	 -36.68 	
1668 	 925 	 -1169 	 -455.875 	 -211.96 	 -6.3 	
1379 	 494 	 -825 	 -407.155 	 -169.435 	 63.07 	
977 	 166 	 -468 	 -355.845 	 -131.425 	 95.34 	
943 	 -284 	 -250 	 -311.535 	 -111.23 	 53.55 	
705 	 -324 	 -33 	 -265.51 	 -98.56 	 -33.11 	
538 	 -127 	 44 	 -217.21 	 -97.23 	 -86.485 	
387 	 189 	 74 	 -166.95 	 -99.435 	 -67.41 	
432 	 433 	 3 	 -122.78 	 -103.32 	 -2.695 	
541 	 543 	 -98 	 -90.72 	 -104.615 	 52.57 	
625 	 680 	 -216 	 -70.14 	 -102.585 	 70.0 	
