STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
837 	 -836 	 -1020 	 336.49 	 143.85 	 81.62 	
822 	 -925 	 -998 	 343.805 	 145.285 	 98.735 	
879 	 -1052 	 -932 	 351.12 	 146.79 	 110.705 	
870 	 -1192 	 -814 	 358.19 	 149.485 	 119.385 	
953 	 -1288 	 -590 	 366.135 	 151.83 	 129.535 	
919 	 -1450 	 -265 	 372.785 	 156.52 	 148.785 	
952 	 -1736 	 138 	 377.16 	 159.67 	 182.56 	
1099 	 -1413 	 600 	 378.98 	 165.62 	 227.045 	
1165 	 -816 	 1134 	 363.965 	 178.255 	 294.595 	
1468 	 -464 	 1391 	 326.55 	 198.66 	 372.995 	
2037 	 200 	 1442 	 266.28 	 235.795 	 385.14 	
2497 	 805 	 1283 	 161.455 	 300.475 	 270.13 	
2431 	 1854 	 743 	 21.21 	 387.94 	 95.095 	
2322 	 2641 	 101 	 -141.645 	 473.76 	 5.74 	
2104 	 2899 	 -479 	 -308.035 	 549.29 	 27.055 	
1799 	 2470 	 -1130 	 -474.915 	 605.57 	 37.24 	
1314 	 1818 	 -1628 	 -635.355 	 626.325 	 -53.725 	
367 	 544 	 -1616 	 -785.435 	 597.24 	 -205.17 	
-745 	 -678 	 -1146 	 -898.31 	 497.665 	 -339.15 	
-1101 	 -1442 	 -477 	 -955.64 	 339.815 	 -403.27 	
-1351 	 -1655 	 39 	 -926.415 	 142.905 	 -416.115 	
-833 	 -826 	 -549 	 -866.285 	 -30.415 	 -399.525 	
-484 	 -682 	 -807 	 -799.505 	 -147.455 	 -348.74 	
74 	 299 	 -1108 	 -696.36 	 -255.22 	 -252.63 	
880 	 415 	 -1471 	 -601.965 	 -311.745 	 -119.805 	
1741 	 498 	 -1736 	 -525.56 	 -316.505 	 -31.955 	
2123 	 397 	 -1750 	 -475.65 	 -285.11 	 -16.695 	
2095 	 572 	 -1599 	 -432.53 	 -236.6 	 -35.805 	
1965 	 508 	 -1361 	 -396.13 	 -183.96 	 -39.41 	
1697 	 387 	 -1106 	 -359.205 	 -131.495 	 -24.325 	
1437 	 202 	 -836 	 -322.35 	 -85.82 	 -6.685 	
1047 	 101 	 -531 	 -285.775 	 -48.405 	 -0.105 	
719 	 -54 	 -275 	 -251.685 	 -24.92 	 -7.525 	
506 	 -184 	 -104 	 -217.175 	 -13.965 	 -27.72 	
247 	 -39 	 33 	 -181.3 	 -11.55 	 -40.215 	
110 	 116 	 61 	 -146.79 	 -17.36 	 -21.805 	
168 	 180 	 10 	 -114.73 	 -25.83 	 10.465 	
261 	 244 	 -98 	 -89.67 	 -33.005 	 25.27 	
354 	 385 	 -224 	 -71.4 	 -38.465 	 17.71 	
414 	 532 	 -314 	 -60.445 	 -41.055 	 0.63 	
523 	 578 	 -426 	 -54.46 	 -41.825 	 -17.29 	
568 	 664 	 -507 	 -50.715 	 -39.06 	 -30.73 	
616 	 651 	 -564 	 -49.035 	 -35.42 	 -33.46 	
661 	 634 	 -597 	 -46.48 	 -30.31 	 -29.225 	
646 	 546 	 -602 	 -44.87 	 -24.5 	 -24.92 	
650 	 486 	 -600 	 -42.14 	 -19.53 	 -27.545 	
