STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
270 	 -213 	 -650 	 89.355 	 86.94 	 -97.93 	
353 	 -295 	 -649 	 96.53 	 102.27 	 -89.39 	
509 	 -415 	 -666 	 103.705 	 118.58 	 -84.14 	
713 	 -533 	 -709 	 112.49 	 138.635 	 -80.78 	
946 	 -708 	 -747 	 122.675 	 162.89 	 -73.675 	
1247 	 -712 	 -813 	 134.89 	 191.66 	 -57.295 	
1675 	 -693 	 -974 	 148.085 	 225.715 	 -25.795 	
2182 	 -720 	 -1080 	 163.485 	 269.22 	 20.055 	
2879 	 -794 	 -1272 	 178.465 	 318.64 	 77.49 	
3537 	 -1100 	 -1578 	 195.86 	 375.06 	 150.955 	
4101 	 -1131 	 -1822 	 218.365 	 441.21 	 244.335 	
4241 	 -1059 	 -2220 	 240.625 	 512.435 	 387.66 	
4436 	 -1047 	 -2563 	 268.625 	 578.025 	 585.235 	
4469 	 -511 	 -2789 	 299.6 	 645.155 	 740.04 	
4278 	 68 	 -2924 	 305.515 	 709.45 	 761.81 	
3527 	 1750 	 -3058 	 270.865 	 770.07 	 670.635 	
2522 	 3040 	 -3155 	 196.56 	 823.025 	 627.655 	
1595 	 4184 	 -3014 	 112.035 	 862.61 	 640.815 	
577 	 4517 	 -2701 	 -2.135 	 884.8 	 647.465 	
96 	 4030 	 -2389 	 -117.845 	 876.33 	 580.93 	
-559 	 3662 	 -1856 	 -246.925 	 850.15 	 433.37 	
-1380 	 2553 	 -1115 	 -376.635 	 791.35 	 297.605 	
-1539 	 1746 	 -516 	 -482.475 	 691.075 	 172.62 	
-1478 	 797 	 71 	 -558.6 	 563.885 	 70.245 	
-692 	 249 	 335 	 -593.53 	 401.52 	 -48.79 	
-147 	 239 	 99 	 -603.995 	 246.19 	 -172.34 	
604 	 392 	 -163 	 -589.26 	 106.47 	 -240.415 	
1366 	 649 	 -438 	 -552.44 	 -7.14 	 -248.43 	
1731 	 854 	 -657 	 -499.87 	 -90.3 	 -198.765 	
1971 	 1240 	 -795 	 -432.04 	 -152.81 	 -106.61 	
2225 	 1146 	 -1060 	 -368.165 	 -189.875 	 0.7 	
2104 	 980 	 -1132 	 -316.015 	 -194.46 	 64.575 	
2012 	 888 	 -1115 	 -271.95 	 -186.69 	 88.305 	
1622 	 949 	 -936 	 -231.63 	 -168.91 	 100.975 	
1388 	 1018 	 -839 	 -195.965 	 -151.655 	 121.31 	
1284 	 948 	 -922 	 -166.39 	 -134.89 	 129.605 	
1329 	 1025 	 -950 	 -140.595 	 -118.125 	 110.25 	
1162 	 1108 	 -867 	 -119.105 	 -99.19 	 92.575 	
1115 	 1049 	 -847 	 -97.86 	 -84.665 	 93.415 	
