STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
547 	 -340 	 -920 	 123.025 	 244.405 	 -44.695 	
628 	 -437 	 -996 	 123.9 	 269.01 	 -32.585 	
783 	 -483 	 -1136 	 125.44 	 294.91 	 -22.54 	
969 	 -476 	 -1261 	 127.26 	 323.96 	 -11.515 	
1284 	 -363 	 -1394 	 129.045 	 355.705 	 4.795 	
1582 	 -320 	 -1585 	 129.815 	 391.65 	 34.79 	
1931 	 -243 	 -1799 	 132.65 	 431.375 	 80.85 	
2293 	 -124 	 -1976 	 137.375 	 476.665 	 145.775 	
2633 	 -118 	 -2230 	 142.87 	 525.0 	 226.45 	
3000 	 -58 	 -2447 	 152.215 	 577.78 	 315.245 	
3134 	 398 	 -2699 	 157.5 	 636.09 	 403.725 	
2847 	 460 	 -2978 	 154.91 	 690.9 	 518.91 	
2403 	 1535 	 -3253 	 147.805 	 747.39 	 622.125 	
2007 	 2231 	 -3587 	 114.975 	 802.865 	 673.785 	
1746 	 2643 	 -3939 	 54.32 	 856.87 	 621.32 	
1107 	 3209 	 -4091 	 -33.04 	 913.675 	 543.62 	
478 	 3439 	 -4075 	 -122.92 	 956.06 	 548.345 	
-61 	 3033 	 -3712 	 -197.785 	 981.89 	 584.255 	
-589 	 1916 	 -2936 	 -270.725 	 975.17 	 511.28 	
-1120 	 639 	 -1786 	 -354.55 	 930.475 	 282.59 	
-2171 	 -10 	 -327 	 -451.955 	 834.715 	 17.535 	
-2521 	 -40 	 916 	 -531.58 	 687.26 	 -112.805 	
-2193 	 -310 	 1325 	 -578.795 	 482.51 	 -108.01 	
-1393 	 -447 	 1184 	 -582.4 	 273.07 	 -96.39 	
-524 	 -31 	 752 	 -570.185 	 80.22 	 -161.945 	
67 	 579 	 141 	 -556.465 	 -83.37 	 -245.56 	
702 	 1197 	 -647 	 -532.875 	 -211.47 	 -277.83 	
1214 	 1423 	 -1255 	 -499.345 	 -297.885 	 -241.745 	
1652 	 1574 	 -1632 	 -461.44 	 -348.18 	 -147.28 	
1997 	 1319 	 -1827 	 -429.905 	 -363.93 	 -21.07 	
2267 	 1035 	 -1923 	 -403.445 	 -351.26 	 81.935 	
2332 	 691 	 -1831 	 -382.725 	 -320.495 	 136.675 	
1988 	 507 	 -1567 	 -359.485 	 -278.985 	 150.325 	
1519 	 402 	 -1247 	 -334.145 	 -238.105 	 132.895 	
1308 	 60 	 -1038 	 -310.905 	 -206.185 	 78.295 	
1164 	 60 	 -865 	 -281.575 	 -179.48 	 -5.145 	
1063 	 132 	 -730 	 -249.725 	 -159.005 	 -64.12 	
914 	 389 	 -609 	 -214.9 	 -142.345 	 -67.165 	
792 	 471 	 -528 	 -181.615 	 -127.365 	 -20.23 	
669 	 535 	 -446 	 -151.375 	 -112.42 	 37.345 	
593 	 529 	 -383 	 -128.1 	 -99.295 	 73.08 	
491 	 572 	 -363 	 -110.74 	 -87.71 	 73.465 	
422 	 638 	 -361 	 -98.0 	 -78.505 	 47.845 	
397 	 667 	 -389 	 -88.725 	 -71.68 	 13.195 	
428 	 678 	 -422 	 -81.165 	 -66.29 	 -17.5 	
450 	 653 	 -457 	 -73.885 	 -61.565 	 -36.33 	
495 	 652 	 -458 	 -65.66 	 -56.735 	 -40.705 	
465 	 641 	 -438 	 -57.61 	 -51.45 	 -30.135 	
487 	 601 	 -450 	 -49.0 	 -46.865 	 -12.81 	
471 	 544 	 -450 	 -40.95 	 -41.475 	 -3.255 	
