STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
279 	 -355 	 -995 	 117.81 	 -3.64 	 -84.84 	
294 	 -412 	 -978 	 128.87 	 8.47 	 -86.52 	
361 	 -486 	 -1018 	 140.315 	 21.14 	 -83.405 	
417 	 -522 	 -1082 	 152.32 	 36.155 	 -76.93 	
485 	 -549 	 -1153 	 164.185 	 52.64 	 -68.845 	
561 	 -609 	 -1224 	 175.49 	 71.085 	 -60.55 	
674 	 -698 	 -1316 	 186.025 	 91.28 	 -53.305 	
755 	 -747 	 -1383 	 196.805 	 114.135 	 -48.16 	
847 	 -814 	 -1452 	 207.095 	 138.915 	 -42.105 	
1020 	 -793 	 -1520 	 217.91 	 165.9 	 -33.425 	
1311 	 -741 	 -1648 	 227.955 	 196.035 	 -18.655 	
1486 	 -694 	 -1750 	 238.0 	 231.77 	 7.7 	
1625 	 -563 	 -1838 	 249.27 	 267.47 	 51.975 	
1647 	 -768 	 -1868 	 262.745 	 304.08 	 113.925 	
1722 	 -1127 	 -1811 	 280.63 	 338.485 	 169.715 	
2013 	 -1354 	 -1643 	 296.835 	 371.455 	 188.895 	
2130 	 -1518 	 -1595 	 305.935 	 404.32 	 182.35 	
2175 	 -1052 	 -1607 	 307.545 	 437.605 	 184.73 	
2185 	 -245 	 -1495 	 293.265 	 467.985 	 235.13 	
2219 	 701 	 -1352 	 257.46 	 491.365 	 313.95 	
2036 	 1279 	 -1121 	 190.785 	 514.08 	 367.99 	
1749 	 1911 	 -913 	 94.675 	 537.32 	 357.35 	
1177 	 2103 	 -608 	 -35.735 	 556.71 	 321.685 	
604 	 2705 	 -383 	 -177.975 	 565.53 	 297.465 	
96 	 2551 	 -317 	 -331.905 	 567.7 	 283.36 	
-278 	 2468 	 -483 	 -485.94 	 548.73 	 230.895 	
-450 	 2007 	 -672 	 -627.725 	 508.69 	 159.075 	
-759 	 1314 	 -660 	 -742.28 	 446.705 	 90.3 	
-759 	 156 	 -611 	 -826.245 	 357.875 	 25.48 	
-600 	 -1236 	 24 	 -852.355 	 239.47 	 -68.67 	
-107 	 -814 	 -175 	 -831.705 	 96.74 	 -220.885 	
447 	 -932 	 -549 	 -809.445 	 -7.56 	 -284.795 	
990 	 -833 	 -758 	 -748.3 	 -86.835 	 -281.435 	
1244 	 -487 	 -695 	 -656.075 	 -142.415 	 -216.615 	
1418 	 -116 	 -697 	 -557.515 	 -175.0 	 -92.33 	
1708 	 -86 	 -748 	 -468.965 	 -163.905 	 32.76 	
1730 	 -45 	 -753 	 -395.885 	 -125.965 	 105.14 	
1750 	 -30 	 -652 	 -337.54 	 -82.25 	 116.375 	
1278 	 333 	 -480 	 -286.125 	 -36.575 	 115.29 	
1004 	 527 	 -398 	 -243.285 	 -3.745 	 134.89 	
629 	 687 	 -274 	 -208.005 	 22.855 	 147.07 	
459 	 683 	 -283 	 -184.135 	 33.74 	 125.93 	
319 	 755 	 -275 	 -166.18 	 34.79 	 80.57 	
179 	 828 	 -263 	 -150.815 	 28.035 	 42.875 	
128 	 800 	 -279 	 -136.535 	 15.925 	 29.05 	
91 	 741 	 -290 	 -121.73 	 2.24 	 29.225 	
138 	 610 	 -311 	 -108.465 	 -12.46 	 26.95 	
194 	 515 	 -330 	 -96.39 	 -26.74 	 12.53 	
286 	 459 	 -355 	 -86.03 	 -40.775 	 -8.68 	
