STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
1403 	 -1224 	 -437 	 177.66 	 165.585 	 -85.12 	
1914 	 -1204 	 -326 	 180.18 	 185.955 	 -83.02 	
2466 	 -1214 	 -68 	 178.395 	 215.32 	 -48.545 	
2947 	 -1540 	 -125 	 168.42 	 251.615 	 41.58 	
3548 	 -933 	 -181 	 156.03 	 296.975 	 181.475 	
3926 	 279 	 -160 	 121.765 	 354.445 	 329.105 	
4285 	 73 	 -442 	 49.14 	 424.76 	 406.35 	
4029 	 802 	 -910 	 -48.195 	 513.73 	 345.31 	
3397 	 1903 	 -1584 	 -179.13 	 601.685 	 287.595 	
2615 	 2775 	 -2287 	 -308.07 	 683.865 	 344.645 	
2200 	 2703 	 -2906 	 -430.71 	 749.805 	 407.715 	
1351 	 2571 	 -3172 	 -546.91 	 801.01 	 373.45 	
305 	 2411 	 -2854 	 -643.65 	 814.135 	 326.795 	
-614 	 1290 	 -1996 	 -692.895 	 771.295 	 331.905 	
-1161 	 476 	 -734 	 -702.975 	 689.43 	 309.96 	
-1734 	 -661 	 576 	 -692.755 	 566.51 	 226.275 	
-1917 	 -579 	 825 	 -646.975 	 383.25 	 55.3 	
-1538 	 -162 	 551 	 -612.185 	 203.035 	 -103.81 	
-1026 	 242 	 187 	 -582.995 	 41.86 	 -227.08 	
-284 	 624 	 -255 	 -536.865 	 -102.235 	 -297.535 	
744 	 859 	 -766 	 -472.675 	 -218.085 	 -305.725 	
1259 	 1257 	 -1091 	 -402.08 	 -290.78 	 -259.84 	
1765 	 1359 	 -1362 	 -342.79 	 -334.425 	 -157.255 	
2166 	 939 	 -1426 	 -298.725 	 -335.615 	 -43.96 	
2210 	 603 	 -1301 	 -263.13 	 -312.34 	 31.08 	
2080 	 283 	 -1036 	 -232.785 	 -279.37 	 74.69 	
1697 	 178 	 -752 	 -202.86 	 -242.9 	 93.205 	
1392 	 26 	 -518 	 -175.035 	 -211.05 	 94.85 	
1116 	 -83 	 -386 	 -148.54 	 -184.59 	 72.765 	
996 	 -202 	 -337 	 -123.515 	 -164.255 	 30.135 	
801 	 -14 	 -294 	 -97.195 	 -146.58 	 -9.625 	
739 	 112 	 -308 	 -73.885 	 -133.875 	 -18.2 	
