STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
1090 	 -436 	 -1330 	 177.975 	 284.305 	 37.52 	
1225 	 -432 	 -1355 	 184.17 	 301.07 	 42.14 	
1386 	 -380 	 -1358 	 189.665 	 319.655 	 46.235 	
1598 	 -320 	 -1361 	 193.585 	 340.2 	 50.855 	
1879 	 -243 	 -1384 	 196.28 	 362.95 	 59.15 	
2266 	 33 	 -1243 	 197.295 	 389.585 	 74.2 	
2613 	 -62 	 -1188 	 191.695 	 416.605 	 114.275 	
2973 	 -102 	 -1182 	 185.22 	 442.925 	 188.3 	
2778 	 211 	 -1036 	 169.155 	 470.96 	 292.81 	
2693 	 866 	 -1014 	 136.045 	 489.3 	 413.665 	
2878 	 1833 	 -1305 	 70.175 	 513.485 	 477.995 	
2524 	 2346 	 -1437 	 -31.605 	 541.66 	 475.16 	
1995 	 2823 	 -1372 	 -164.885 	 568.68 	 443.625 	
927 	 3171 	 -1369 	 -316.645 	 596.645 	 437.885 	
267 	 3103 	 -1522 	 -472.955 	 603.75 	 433.825 	
-430 	 2996 	 -1593 	 -623.595 	 596.435 	 386.155 	
-918 	 2157 	 -1597 	 -766.71 	 559.545 	 310.485 	
-1187 	 1081 	 -1196 	 -869.05 	 481.04 	 237.055 	
-1388 	 -131 	 -392 	 -934.29 	 371.28 	 162.47 	
-1509 	 -1040 	 50 	 -960.365 	 234.395 	 46.515 	
-1135 	 -2195 	 146 	 -936.6 	 49.77 	 -144.935 	
-776 	 -326 	 -517 	 -861.945 	 -135.94 	 -348.845 	
-166 	 -17 	 -1050 	 -789.25 	 -276.465 	 -380.765 	
360 	 1316 	 -1378 	 -674.905 	 -396.165 	 -288.75 	
1697 	 1258 	 -2148 	 -577.43 	 -458.71 	 -101.15 	
2189 	 1220 	 -2214 	 -498.085 	 -430.29 	 27.86 	
2222 	 940 	 -1979 	 -443.52 	 -373.17 	 81.55 	
1785 	 821 	 -1539 	 -395.885 	 -306.845 	 80.255 	
1327 	 758 	 -1100 	 -349.93 	 -242.27 	 72.38 	
727 	 399 	 -837 	 -304.605 	 -183.015 	 62.405 	
714 	 263 	 -637 	 -259.21 	 -144.9 	 18.06 	
478 	 92 	 -412 	 -216.895 	 -110.67 	 -36.085 	
390 	 220 	 -255 	 -171.535 	 -87.955 	 -71.505 	
325 	 263 	 -185 	 -129.465 	 -70.42 	 -72.135 	
306 	 387 	 -197 	 -91.07 	 -58.415 	 -59.36 	
277 	 497 	 -201 	 -60.375 	 -48.79 	 -46.69 	
287 	 538 	 -256 	 -37.31 	 -42.175 	 -39.375 	
