@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_ZeroCross_on_GY_X numeric
@attribute F11_ZeroCross_on_GY_Y numeric
@attribute F12_PositiveZeroCross_on_ACC_X numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_GY_X numeric
@attribute F16_PositiveZeroCross_on_GY_Y numeric
@attribute F17_PositiveZeroCross_on_GY_Z numeric
@attribute F18_NegativeZeroCross_on_ACC_X numeric
@attribute F19_NegativeZeroCross_on_ACC_Y numeric
@attribute F20_NegativeZeroCross_on_ACC_Z numeric
@attribute F21_NegativeZeroCross_on_GY_X numeric
@attribute F22_NegativeZeroCross_on_GY_Y numeric
@attribute F23_NegativeZeroCross_on_GY_Z numeric
@attribute class {stand, up, down, left}

@data
0.00609207, -0.306396, -0.929688, 0.0126114, 0.061615, -0.162964, 8, 12, 4, 2, 2, 4, 6, 2, 0, 0, 8, 4, 6, 2, 2, 2, 8, stand
-0.015625, -0.181519, -1.00293, -0.680176, -0.159912, 0.0629272, 14, 6, 2, 0, 0, 6, 4, 0, 0, 0, 4, 8, 2, 2, 0, 0, 4, stand
-0.0511169, 0.269043, -0.92041, -1.03809, -0.165894, 0.128906, 12, 0, 0, 2, 2, 6, 0, 0, 2, 2, 8, 6, 0, 0, 0, 0, 8, stand
-0.234253, 0.53125, -0.831543, -0.412598, -0.89209, -0.126221, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 4, stand
-0.776367, 0.235718, -0.504395, 0.738281, -1.48438, -1.73633, 0, 4, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, stand
-0.820313, -0.489746, -0.111511, 0.87793, 0.00774384, -1.27734, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, stand
-0.128906, -0.138672, -0.984863, -0.13208, -0.239502, 0.393555, 28, 20, 4, 6, 8, 14, 10, 2, 2, 4, 4, 14, 10, 2, 4, 4, 4, up
-0.0930786, -0.0952148, -1.05664, -0.322021, -0.230469, 0.111877, 12, 16, 12, 4, 6, 6, 8, 6, 2, 2, 4, 6, 8, 6, 2, 4, 4, up
-0.146118, -0.0991211, -1.08008, -0.0889282, -0.252197, 0.102966, 8, 24, 8, 4, 6, 4, 12, 4, 2, 4, 6, 4, 12, 4, 2, 2, 6, up
-0.102112, -0.187256, -1.11621, 0.311035, -0.14502, -0.156494, 18, 24, 12, 4, 4, 10, 12, 6, 2, 2, 4, 8, 12, 6, 2, 2, 4, up
-0.169556, -0.278809, -1.02148, -0.561523, -0.22644, 0.190674, 26, 16, 8, 4, 8, 14, 8, 4, 2, 4, 4, 12, 8, 4, 2, 4, 6, up
-0.217041, -0.236206, -1.00977, -0.394287, 0.52832, 0.270996, 22, 20, 6, 4, 4, 10, 10, 2, 2, 2, 2, 12, 10, 4, 2, 2, 2, up
-0.0317078, -0.323975, -1.10254, -0.509766, -0.447754, 0.257324, 12, 22, 8, 4, 4, 6, 12, 4, 2, 2, 2, 6, 10, 4, 2, 2, 2, up
-0.133545, -0.195557, -1.10645, -0.703613, 0.0219879, -0.0413513, 28, 28, 6, 2, 6, 14, 14, 4, 0, 4, 2, 14, 14, 2, 2, 2, 2, up
-0.176758, -0.0100708, -0.897461, 2.05859, -0.519043, -0.436035, 22, 16, 6, 4, 2, 12, 8, 2, 2, 0, 8, 10, 8, 4, 2, 2, 6, up
-0.163696, -0.455811, -0.993164, 1.46094, -0.0378723, -0.133911, 14, 16, 6, 4, 6, 6, 8, 4, 2, 2, 2, 8, 8, 2, 2, 4, 2, up
-0.1698, -0.374023, -1.37109, -0.813965, -0.386963, 0.719238, 28, 14, 12, 4, 6, 14, 6, 6, 2, 4, 0, 14, 8, 6, 2, 2, 2, up
-0.193359, -0.268555, -1.24512, 0.351563, -0.189331, -0.0633545, 12, 12, 8, 4, 8, 6, 6, 4, 2, 4, 2, 6, 6, 4, 2, 4, 2, up
-0.197998, -0.335693, -1.16309, -0.155273, -0.142456, 0.450439, 20, 24, 8, 4, 6, 10, 12, 4, 2, 2, 4, 10, 12, 4, 2, 4, 4, up
-0.198242, -0.365723, -1.14355, -0.0996094, -0.0831299, 0.0458679, 16, 20, 8, 4, 8, 8, 10, 4, 2, 4, 4, 8, 10, 4, 2, 4, 4, up
-0.238647, -0.30542, -1.19238, 0.0209351, -0.223022, 0.347656, 18, 12, 8, 4, 4, 8, 6, 4, 2, 2, 4, 10, 6, 4, 2, 2, 4, up
-0.398438, -0.104797, -1.13086, -0.692871, -0.416016, 0.102783, 12, 6, 8, 4, 2, 6, 4, 4, 2, 2, 6, 6, 2, 4, 2, 0, 6, up
-0.242065, -0.182861, -1.25488, 0.796387, 0.474121, 0.0837402, 6, 26, 8, 4, 4, 4, 12, 4, 2, 2, 4, 2, 14, 4, 2, 2, 4, up
0.0138245, -0.262451, -1.1084, -0.130859, 0.086853, 0.33374, 12, 16, 8, 4, 8, 6, 8, 4, 2, 4, 6, 6, 8, 4, 2, 4, 6, up
-0.0121002, -0.401367, -1.1582, -0.0841675, -0.404785, 0.00953674, 14, 12, 8, 4, 4, 6, 6, 4, 2, 2, 6, 8, 6, 4, 2, 2, 4, up
-0.177979, -0.104004, -1.22168, -0.221069, -1.00195, -0.20874, 8, 10, 8, 4, 10, 4, 6, 4, 2, 6, 6, 4, 4, 4, 2, 4, 6, up
-1.02344, 0.190674, -0.154785, -0.264648, 0.242432, -0.0125122, 4, 12, 10, 4, 8, 2, 6, 6, 2, 4, 4, 2, 6, 4, 2, 4, 6, down
-0.978516, -0.0687866, -0.118042, -0.116028, 0.0731812, -0.0596619, 8, 8, 6, 4, 2, 4, 4, 2, 2, 2, 4, 4, 4, 4, 2, 0, 2, down
-1.05664, 0.0497742, -0.253906, 0.220459, -0.0371704, 0.0911865, 8, 14, 8, 4, 10, 4, 6, 4, 2, 4, 6, 4, 8, 4, 2, 6, 6, down
-0.949219, 0.120667, -0.137085, -0.337646, -0.141357, 0.0870972, 6, 12, 12, 4, 6, 2, 6, 6, 2, 4, 4, 4, 6, 6, 2, 2, 2, down
-0.897461, -0.0303955, -0.0650024, -0.640625, 0.401123, -0.144409, 8, 8, 8, 4, 8, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 6, down
-1.05176, 0.017807, -0.348145, 0.315918, 0.767578, 0.314209, 12, 18, 12, 4, 4, 6, 8, 6, 2, 2, 4, 6, 10, 6, 2, 2, 4, down
-0.88623, -0.183105, -0.314209, -0.501953, 0.195923, 0.530273, 12, 6, 6, 4, 4, 6, 4, 2, 2, 2, 6, 6, 2, 4, 2, 2, 6, down
-0.85498, -0.297607, -0.344238, -0.59375, -1.19727, -0.0102005, 14, 8, 12, 4, 4, 8, 4, 6, 2, 2, 2, 6, 4, 6, 2, 2, 2, down
-0.917969, -0.109253, -0.194458, 0.0641479, -0.345215, 0.212646, 8, 16, 12, 4, 8, 4, 8, 6, 2, 4, 6, 4, 8, 6, 2, 4, 6, down
-1.0957, 0.0200195, -0.0806274, -0.161255, 0.886719, 0.712891, 12, 10, 6, 2, 8, 6, 4, 4, 0, 4, 8, 6, 6, 2, 2, 4, 8, down
-0.955566, 0.0794678, -0.442871, -0.0352783, 0.779785, 0.0586243, 12, 8, 8, 4, 4, 6, 4, 4, 2, 2, 4, 6, 4, 4, 2, 2, 4, down
-0.914063, 0.153198, -0.321533, 1.28418, -0.250977, 0.25, 14, 6, 6, 4, 4, 6, 4, 2, 2, 2, 8, 8, 2, 4, 2, 2, 6, down
-0.890625, -0.155151, -0.15686, 0.904785, -0.104797, -0.0414124, 8, 8, 14, 4, 8, 4, 4, 8, 2, 4, 6, 4, 4, 6, 2, 4, 6, down
-0.983887, 0.173218, -0.153198, -0.0222778, 0.0908203, -0.00804901, 6, 8, 12, 4, 8, 4, 4, 6, 2, 4, 4, 2, 4, 6, 2, 4, 4, down
-0.898438, -0.0767822, -0.285889, 0.414063, 0.458984, -0.247559, 12, 6, 8, 4, 4, 6, 2, 4, 2, 2, 4, 6, 4, 4, 2, 2, 4, down
-1.02148, 0.140869, -0.314209, -0.125732, -0.158936, 0.41333, 12, 12, 8, 4, 8, 6, 6, 4, 2, 4, 4, 6, 6, 4, 2, 4, 4, down
-0.958008, 0.209473, 0.0472107, 0.197021, 0.150024, 0.218018, 18, 8, 8, 2, 10, 10, 4, 4, 2, 6, 6, 8, 4, 4, 0, 4, 6, down
-1.07031, 0.220215, -0.0455933, -0.154419, 0.600098, -0.301758, 6, 8, 12, 4, 6, 2, 4, 6, 2, 4, 4, 4, 4, 6, 2, 2, 4, down
-0.990234, 0.15625, -0.0489197, 0.0454102, 0.0839233, -0.177368, 8, 12, 8, 4, 8, 4, 6, 4, 2, 4, 4, 4, 6, 4, 2, 4, 4, down
0.924316, 0.359131, -0.44043, 0.583496, 0.00572205, 1.30176, 4, 14, 4, 4, 6, 2, 6, 2, 2, 2, 4, 2, 8, 2, 2, 4, 4, left
0.899414, 0.0905151, -0.483154, 0.0410767, 0.0258026, -0.190186, 12, 8, 14, 4, 8, 6, 4, 8, 2, 4, 6, 6, 4, 6, 2, 4, 6, left
0.908691, 0.157349, -0.392822, -0.388672, -0.207886, -0.201172, 12, 8, 8, 4, 8, 6, 4, 4, 2, 4, 4, 6, 4, 4, 2, 4, 4, left
0.890625, 0.221069, -0.555176, 0.0799561, -0.437988, -0.189819, 8, 6, 8, 4, 6, 4, 4, 4, 2, 4, 4, 4, 2, 4, 2, 2, 4, left
0.792969, 0.168579, -0.658691, -0.210693, -0.645996, -0.362061, 8, 20, 10, 4, 8, 4, 10, 4, 2, 4, 4, 4, 10, 6, 2, 4, 2, left
0.796387, 0.0492554, -0.649414, 0.618164, 0.315674, 0.173706, 10, 10, 10, 4, 4, 4, 4, 6, 2, 2, 6, 6, 6, 4, 2, 2, 6, left
0.774414, -0.220215, -0.828125, -0.115051, -0.349365, -0.56543, 8, 14, 10, 8, 6, 4, 6, 4, 4, 4, 6, 4, 8, 6, 4, 2, 6, left
0.744141, -0.127441, -0.705566, -0.146851, 0.0879517, -0.134033, 8, 16, 14, 4, 8, 4, 8, 8, 2, 4, 4, 4, 8, 6, 2, 4, 4, left
0.649414, -0.12207, -0.739746, -0.732422, 0.0410156, -0.520996, 12, 8, 10, 8, 6, 6, 4, 4, 4, 2, 4, 6, 4, 6, 4, 4, 6, left
0.67627, -0.150513, -0.695313, 0.191772, 0.397705, -0.261475, 8, 12, 8, 4, 8, 4, 6, 4, 2, 4, 4, 4, 6, 4, 2, 4, 4, left
0.72998, -0.12146, -0.587891, 0.163696, 0.48877, -0.390137, 6, 12, 8, 4, 8, 2, 6, 4, 2, 4, 4, 4, 6, 4, 2, 4, 4, left
0.953125, 0.0778809, -0.682129, 0.336914, -0.26001, -0.742188, 8, 10, 10, 4, 2, 4, 4, 6, 2, 2, 4, 4, 6, 4, 2, 0, 4, left
0.907227, -0.0205078, -0.681641, 0.729492, -0.510742, -0.0844116, 6, 10, 6, 4, 8, 4, 6, 2, 2, 4, 4, 2, 4, 4, 2, 4, 2, left
0.683594, 0.0828857, -0.641113, 0.708496, -0.227905, -0.393066, 8, 8, 12, 4, 4, 4, 4, 6, 2, 2, 4, 4, 4, 6, 2, 2, 4, left
0.587402, -0.107422, -0.888184, -0.222656, -0.507324, -1.00586, 6, 18, 6, 2, 4, 2, 8, 4, 2, 2, 4, 4, 10, 2, 0, 2, 6, left
0.844727, 0.0379639, -0.741211, -0.150757, 0.103699, 0.0318909, 12, 8, 8, 4, 4, 6, 4, 4, 2, 2, 4, 6, 4, 4, 2, 2, 4, left
0.836914, -0.0345764, -0.635742, -0.471436, -0.289551, -0.0576477, 8, 6, 8, 4, 4, 4, 4, 4, 2, 2, 4, 4, 2, 4, 2, 2, 4, left
0.887207, -0.0437012, -0.679688, 0.462891, 0.170166, -0.293701, 8, 12, 10, 4, 4, 4, 6, 6, 2, 2, 4, 4, 6, 4, 2, 2, 2, left
0.836426, -0.206055, -0.611816, -0.0458984, -0.312988, -0.336914, 8, 10, 6, 4, 4, 4, 4, 2, 2, 2, 4, 4, 6, 4, 2, 2, 4, left
