@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PeakToPeak_on_ACC_X numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_PeakToPeak_on_ACC_Z numeric
@attribute F10_PeakToPeak_on_GY_X numeric
@attribute F11_PeakToPeak_on_GY_Y numeric
@attribute F12_PeakToPeak_on_GY_Z numeric
@attribute F13_ZeroCross_on_ACC_X numeric
@attribute F14_ZeroCross_on_ACC_X numeric
@attribute F15_ZeroCross_on_ACC_Y numeric
@attribute F16_ZeroCross_on_ACC_Y numeric
@attribute F17_ZeroCross_on_ACC_Z numeric
@attribute F18_ZeroCross_on_ACC_Z numeric
@attribute F19_ZeroCross_on_GY_X numeric
@attribute F20_ZeroCross_on_GY_Y numeric
@attribute F21_ZeroCross_on_GY_Z numeric
@attribute F22_PositiveZeroCross_on_ACC_X numeric
@attribute F23_PositiveZeroCross_on_ACC_X numeric
@attribute F24_PositiveZeroCross_on_ACC_Y numeric
@attribute F25_PositiveZeroCross_on_ACC_Y numeric
@attribute F26_PositiveZeroCross_on_ACC_Z numeric
@attribute F27_PositiveZeroCross_on_ACC_Z numeric
@attribute F28_PositiveZeroCross_on_GY_X numeric
@attribute F29_PositiveZeroCross_on_GY_Y numeric
@attribute F30_PositiveZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.904785, 0.0455017, -0.453125, -0.106506, -0.592773, -0.319824, 6.80859, 4.12891, 3.61914, 21.5938, 14.0234, 15.9766, 14, 8, 8, 6, 8, 4, 4, 8, 12, 6, 4, 4, 3, 4, 2, 2, 4, 6, left
0.771484, -0.0079422, -0.556641, 0.385742, -0.196533, -1.10156, 2.64063, 4.71484, 3.51563, 22.2031, 11.3125, 11.8438, 8, 2, 14, 8, 20, 8, 4, 8, 8, 4, 1, 8, 4, 10, 4, 2, 4, 4, left
0.999023, 0.0407104, -0.540527, -0.387451, 0.530273, 0.196289, 4.65625, 5.41016, 5.53906, 22.0625, 13.4531, 12.2891, 20, 6, 14, 10, 12, 6, 4, 10, 12, 10, 3, 6, 5, 6, 3, 2, 4, 6, left
0.856934, 0.00887299, -0.589355, 0.20813, -0.672363, -0.511719, 9.89844, 4.57031, 3.56836, 20.9375, 16.5625, 11.1172, 8, 8, 12, 10, 12, 4, 4, 8, 8, 4, 4, 6, 5, 6, 2, 2, 4, 4, left
0.829102, -0.00940704, -0.662109, -0.169434, -0.42627, -0.788574, 4.72656, 4.27734, 5.27734, 22.1406, 12.2422, 10.5547, 8, 6, 8, 10, 12, 4, 4, 4, 8, 4, 3, 4, 5, 6, 2, 2, 2, 4, left
0.833008, -0.0100098, -0.600098, -0.137695, 0.00275993, -0.288086, 3.83594, 4.77734, 4.24219, 22, 10.6641, 9.29688, 20, 6, 8, 12, 8, 4, 4, 4, 12, 10, 3, 4, 6, 4, 2, 2, 2, 6, left
0.880371, 0.206421, -0.571289, -0.143555, -0.178589, -0.960449, 6.30078, 5.21484, 4.29297, 21.6406, 13.9844, 10.5156, 14, 6, 6, 6, 8, 4, 4, 6, 8, 8, 3, 4, 3, 4, 2, 2, 2, 4, left
0.841797, 0.29126, -0.424561, -0.106812, -0.0932617, -0.196167, 7.60156, 5.90234, 6.04688, 22.2344, 12.9609, 14.5938, 26, 8, 8, 8, 8, 6, 4, 6, 14, 14, 4, 4, 4, 4, 3, 2, 4, 8, left
0.848145, 0.110291, -0.445313, 0.278564, 0.0145645, -0.15979, 2.48828, 5.17188, 4.76953, 20.1094, 6.46484, 9.42188, 12, 6, 8, 6, 8, 4, 4, 8, 8, 6, 3, 4, 3, 4, 2, 2, 4, 4, left
0.910645, 0.12854, -0.456055, -0.164551, -0.165405, -0.132935, 6.53516, 5.64844, 4.41406, 20.4375, 6.92188, 12.3984, 14, 8, 8, 8, 8, 4, 4, 6, 16, 6, 4, 4, 4, 4, 2, 2, 2, 8, left
0.919434, 0.183472, -0.553223, 0.0819092, -0.203247, -0.412109, 5.95703, 5.86719, 4.46094, 21.6406, 12.2734, 15.9922, 12, 6, 12, 8, 8, 6, 4, 8, 8, 8, 3, 6, 4, 4, 3, 2, 4, 4, left
0.869629, 0.071167, -0.538086, -0.0143356, -0.15686, -0.0901489, 4.64453, 5.47266, 2.90625, 19.5, 8.04688, 9.77344, 14, 6, 8, 6, 8, 4, 4, 4, 14, 6, 3, 4, 3, 4, 2, 2, 2, 6, left
0.858398, 0.0737305, -0.603516, 0.000613689, 0.0185547, -0.277588, 3.79492, 6.15625, 3.72461, 21.9375, 9.625, 14, 16, 6, 8, 8, 8, 4, 4, 4, 12, 8, 3, 4, 4, 4, 2, 2, 2, 6, left
0.916016, 0.0270996, -0.60498, 0.0782471, 0.285645, -0.0455017, 4.20313, 6.54297, 3.78711, 22.375, 8.92969, 13.5, 14, 8, 8, 6, 8, 4, 4, 10, 16, 6, 4, 4, 3, 4, 2, 2, 4, 8, left
0.884277, 0.0646973, -0.568359, 0.0612488, -0.364258, -0.172119, 3.39063, 5.30469, 3.71875, 20.2031, 7.75391, 10.4297, 16, 6, 8, 8, 8, 6, 4, 4, 12, 8, 3, 4, 4, 4, 3, 2, 2, 6, left
0.914063, 0.100281, -0.508301, -0.136108, -0.0286255, -0.392822, 5.36719, 5.78516, 3.63086, 19.2031, 10.0391, 11.8281, 14, 6, 6, 8, 8, 4, 4, 8, 8, 8, 3, 4, 4, 4, 2, 2, 4, 4, left
0.912109, 0.106689, -0.539063, 0.347412, 0.0755615, -0.299072, 6.76172, 6.71875, 3.43164, 20.3594, 11.1016, 13.6797, 16, 6, 10, 8, 8, 4, 4, 10, 8, 8, 3, 4, 4, 4, 2, 2, 4, 4, left
