@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PeakToPeak_on_ACC_X numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_PeakToPeak_on_ACC_Z numeric
@attribute F10_PeakToPeak_on_GY_X numeric
@attribute F11_PeakToPeak_on_GY_Y numeric
@attribute F12_PeakToPeak_on_GY_Z numeric
@attribute F13_ZeroCross_on_ACC_X numeric
@attribute F14_ZeroCross_on_ACC_X numeric
@attribute F15_ZeroCross_on_ACC_Y numeric
@attribute F16_ZeroCross_on_ACC_Y numeric
@attribute F17_ZeroCross_on_ACC_Z numeric
@attribute F18_ZeroCross_on_ACC_Z numeric
@attribute F19_ZeroCross_on_GY_X numeric
@attribute F20_ZeroCross_on_GY_Y numeric
@attribute F21_ZeroCross_on_GY_Z numeric
@attribute F22_PositiveZeroCross_on_ACC_X numeric
@attribute F23_PositiveZeroCross_on_ACC_X numeric
@attribute F24_PositiveZeroCross_on_ACC_Y numeric
@attribute F25_PositiveZeroCross_on_ACC_Y numeric
@attribute F26_PositiveZeroCross_on_ACC_Z numeric
@attribute F27_PositiveZeroCross_on_ACC_Z numeric
@attribute F28_PositiveZeroCross_on_GY_X numeric
@attribute F29_PositiveZeroCross_on_GY_Y numeric
@attribute F30_PositiveZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.275879, 1.00781, -0.000781059, 0, 0, 0, 15.9219, 15.0469, 15.7344, 0, 0, 0, 48, 50, 22, 24, 36, 38, 0, 0, 0, 24, 25, 10, 11, 18, 19, 0, 0, 0, stand
2.31055, -2.55469, 0.512207, 0, 0, 0, 15.2344, 15.3594, 15.6719, 0, 0, 0, 8, 8, 12, 12, 34, 30, 0, 0, 0, 4, 4, 6, 6, 16, 14, 0, 0, 0, stand
-0.0966187, -0.016571, 0.0507202, 0, 0, 0, 15.9219, 15.1719, 15.5469, 0, 0, 0, 38, 38, 62, 59, 46, 40, 0, 0, 0, 18, 18, 32, 30, 24, 21, 0, 0, 0, stand
1.10547, -0.752441, 0.30249, 0, 0, 0, 15.8594, 15.6094, 15.7969, 0, 0, 0, 46, 45, 42, 42, 62, 70, 0, 0, 0, 22, 22, 22, 22, 30, 34, 0, 0, 0, stand
1.04199, 0.539551, -0.601563, 0, 0, 0, 15.3594, 15.4219, 15.6719, 0, 0, 0, 26, 26, 48, 48, 64, 66, 0, 0, 0, 14, 14, 24, 24, 32, 33, 0, 0, 0, stand
-0.0181885, 0.288818, 0.362305, 0, 0, 0, 15.1719, 15.7344, 15.9219, 0, 0, 0, 24, 26, 36, 33, 68, 70, 0, 0, 0, 12, 13, 18, 16, 34, 35, 0, 0, 0, stand
0.133423, 0.719727, 0.247925, 0, 0, 0, 15.9844, 15.7969, 15.7344, 0, 0, 0, 36, 36, 28, 36, 64, 62, 0, 0, 0, 18, 18, 14, 18, 32, 31, 0, 0, 0, stand
0.459717, -0.521973, 0.00150681, 0, 0, 0, 15.8594, 15.8594, 15.7969, 0, 0, 0, 40, 42, 34, 37, 56, 62, 0, 0, 0, 20, 21, 18, 19, 28, 31, 0, 0, 0, stand
0.82666, -0.175415, 0.353027, 0, 0, 0, 15.0547, 15.9219, 15.0469, 0, 0, 0, 34, 34, 36, 36, 72, 68, 0, 0, 0, 16, 16, 18, 18, 36, 34, 0, 0, 0, stand
-0.135498, 1.62988, -0.629883, 0, 0, 0, 15.5547, 14.9844, 15.7344, 0, 0, 0, 38, 42, 72, 70, 66, 72, 0, 0, 0, 20, 22, 36, 35, 34, 37, 0, 0, 0, stand
-1.39063, 0.36377, -0.234131, 0, 0, 0, 15.3594, 15.7344, 15.1719, 0, 0, 0, 56, 52, 36, 36, 40, 46, 0, 0, 0, 28, 26, 18, 18, 20, 23, 0, 0, 0, stand
0.339111, 0.784668, 0.571289, 0, 0, 0, 15.6094, 15.6719, 15.7969, 0, 0, 0, 16, 16, 30, 30, 46, 42, 0, 0, 0, 8, 8, 14, 14, 22, 20, 0, 0, 0, stand
0.143433, 0.176636, -0.552734, 0, 0, 0, 15.7422, 15.7969, 15.8594, 0, 0, 0, 28, 29, 34, 36, 64, 66, 0, 0, 0, 14, 15, 18, 19, 32, 33, 0, 0, 0, stand
0.255127, -1.40918, 0.384766, 0, 0, 0, 15.1172, 15.7969, 15.6719, 0, 0, 0, 14, 14, 18, 18, 58, 62, 0, 0, 0, 6, 6, 8, 8, 30, 32, 0, 0, 0, stand
-0.205933, -0.209473, -0.44043, 0, 0, 0, 15.6719, 15.9219, 15.7969, 0, 0, 0, 20, 19, 38, 38, 62, 61, 0, 0, 0, 10, 10, 20, 20, 30, 30, 0, 0, 0, stand
0.895996, 0.500488, 0.772949, 0, 0, 0, 15.6719, 14.9297, 15.7344, 0, 0, 0, 56, 57, 32, 32, 64, 64, 0, 0, 0, 28, 29, 16, 16, 32, 32, 0, 0, 0, stand
-0.12915, -0.143799, 0.583008, 0, 0, 0, 14.7969, 15.2969, 15.2344, 0, 0, 0, 64, 61, 42, 39, 70, 72, 0, 0, 0, 32, 30, 20, 19, 36, 37, 0, 0, 0, stand
-0.3396, 0.0764771, -0.711914, 0, 0, 0, 14.9844, 15.2969, 15.6719, 0, 0, 0, 40, 46, 78, 76, 66, 64, 0, 0, 0, 20, 23, 40, 39, 32, 31, 0, 0, 0, stand
-0.724609, -0.0808105, -0.697266, 0.00847626, -0.0204773, -0.0180054, 15.5469, 15.3594, 15.4844, 0.10199, 0.186279, 0.524414, 36, 35, 50, 49, 52, 53, 0, 0, 2, 18, 17, 24, 24, 26, 27, 0, 0, 2, stand
0.11908, -0.114502, -0.935547, -0.768066, 0.181519, -0.22937, 0.427002, 0.825195, 0.339355, 1.9541, 2.14844, 2.76367, 0, 3, 22, 0, 0, 0, 4, 4, 14, 0, 1, 12, 0, 0, 0, 2, 2, 6, stand
0.0699463, 0.148926, -0.975586, -0.116943, 0.0545959, -0.115051, 0.234009, 0.322021, 0.148926, 0.577148, 0.37915, 1.09961, 24, 0, 0, 0, 24, 0, 0, 4, 12, 12, 0, 0, 0, 12, 0, 0, 2, 6, stand
0.0844727, 0.182007, -0.986328, -0.12085, -0.097229, 0.015213, 0.336914, 0.203003, 0.229004, 0.51416, 0.554199, 1.19434, 12, 0, 20, 0, 26, 0, 4, 4, 8, 6, 0, 10, 0, 10, 0, 2, 2, 4, stand
-0.536621, 0.196899, -0.719238, 0.154907, -1.94238, -0.558105, 0.976563, 0.443848, 0.700684, 1.25195, 2.31836, 1.79688, 0, 1, 6, 0, 0, 0, 2, 0, 8, 0, 0, 2, 0, 0, 0, 2, 0, 4, stand
-0.96875, -0.0557251, -0.022644, 0.352051, -0.530762, -0.359619, 0.496094, 0.813965, 0.476807, 0.767578, 2.06445, 2.32227, 0, 0, 8, 0, 0, 0, 6, 0, 8, 0, 0, 4, 0, 0, 0, 2, 0, 4, stand
-1.03809, -0.140991, 0.039856, 0.0830688, 0.0639038, 0.0299377, 0.826172, 0.36377, 0.151978, 0.17395, 0.603027, 0.45752, 12, 0, 12, 0, 4, 0, 0, 0, 0, 6, 0, 6, 0, 2, 0, 0, 0, 0, stand
-0.989258, -0.114685, -0.0267181, 0.0501099, 0.221924, 0.144531, 0.327148, 0.37793, 0.247925, 0.771973, 0.824707, 3.11719, 26, 0, 22, 0, 12, 0, 2, 2, 10, 12, 0, 12, 0, 6, 0, 0, 2, 6, stand
-0.757813, 0.696289, -0.144775, -0.601074, -0.0999146, 1.74414, 1.09082, 1.32617, 0.454834, 0.784668, 1.41016, 2.49805, 6, 0, 0, 5, 2, 0, 0, 2, 0, 4, 0, 0, 3, 2, 0, 0, 0, 0, stand
-0.212646, 0.751465, 0.345459, -1.00781, 0.473877, 0.708984, 0.498779, 0.850098, 0.638672, 1.76855, 1.04297, 2.12109, 0, 0, 20, 0, 0, 0, 2, 2, 0, 0, 0, 10, 0, 0, 0, 2, 2, 0, stand
-0.113586, 0.770508, 0.674316, -0.394043, 0.321533, 0.280029, 0.25, 0.266113, 0.293701, 0.364014, 0.419434, 1.3584, 4, 0, 38, 0, 0, 0, 0, 6, 6, 2, 0, 18, 0, 0, 0, 0, 4, 2, stand
-0.279785, 0.522949, 0.819824, -0.626465, 0.369873, 0.342285, 0.553711, 0.455078, 0.299805, 0.777344, 0.850586, 2.79688, 12, 0, 0, 0, 4, 0, 2, 2, 12, 6, 0, 0, 0, 2, 0, 0, 0, 6, stand
-0.424072, 0.490967, 0.69043, 1.17285, 0.265381, -1.0332, 0.67627, 0.505859, 0.687988, 3.58984, 1.40137, 5.42188, 10, 0, 6, 0, 16, 0, 2, 2, 0, 4, 0, 4, 0, 8, 0, 2, 2, 0, stand
-1.0332, 0.113037, -0.0444031, 1.42969, 0.172119, -0.96875, 0.621094, 0.769531, 0.48877, 1.68848, 2.5957, 6.39453, 0, 2, 2, 0, 0, 0, 6, 2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, stand
-0.967773, 0.0598145, 0.173584, 0.0809937, 0.109497, 0.0834961, 0.549805, 0.255127, 0.264893, 1.46777, 1.71973, 1.54785, 8, 0, 20, 0, 0, 0, 0, 4, 0, 4, 0, 10, 0, 0, 0, 0, 2, 0, stand
-0.962402, 0.142578, -0.121094, -0.0846558, 0.72168, 0.0570984, 0.131836, 0.200928, 0.635742, 1.2832, 2.5, 0.974609, 16, 0, 2, 0, 0, 0, 2, 2, 2, 8, 0, 2, 0, 0, 0, 0, 2, 2, stand
-0.453369, 0.260498, -0.828613, 0.308838, 1.56543, 0.610352, 0.973633, 0.605957, 0.539551, 1.73242, 1.30664, 2.24414, 2, 2, 8, 0, 0, 0, 2, 0, 6, 2, 1, 4, 0, 0, 0, 2, 0, 2, stand
0.153809, 0.105652, -0.960449, 0.0237732, 0.144653, -0.146729, 0.39502, 0.351074, 0.249512, 1.54785, 1.22559, 1.80957, 0, 0, 12, 0, 0, 0, 2, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, stand
0.297119, 0.178345, -0.931152, -0.200195, 0.929199, 0.252197, 0.453857, 0.304932, 0.506836, 0.837402, 2.5957, 2.82031, 8, 0, 12, 0, 14, 0, 4, 2, 4, 4, 0, 6, 0, 8, 0, 2, 2, 2, stand
0.954102, 0.113831, -0.143921, -0.213623, 1.22852, 0.32959, 0.402344, 0.467041, 0.728516, 1.02246, 2.09375, 1.52051, 0, 0, 14, 0, 0, 3, 4, 2, 20, 0, 0, 6, 0, 0, 2, 2, 0, 10, stand
0.995117, 0.0493164, -0.0138474, -0.0114441, -0.403809, -0.17334, 0.129395, 0.343018, 0.25, 0.281006, 0.807617, 1.12891, 4, 0, 8, 0, 2, 0, 0, 0, 6, 2, 0, 4, 0, 0, 0, 0, 0, 2, stand
0.708008, 0.441162, -0.0988159, -0.178589, -0.0636597, -2.27539, 1.25586, 1.07813, 0.400879, 0.49585, 0.893555, 6.16406, 10, 1, 4, 7, 14, 0, 4, 2, 6, 4, 0, 2, 4, 8, 0, 2, 0, 2, stand
-0.340332, 0.918457, -0.0704346, 0.300293, -0.268799, -0.363525, 0.555664, 0.82373, 0.48999, 0.702637, 0.513184, 3.36914, 0, 4, 4, 0, 28, 0, 0, 4, 4, 0, 2, 2, 0, 14, 0, 0, 2, 2, stand
-0.649414, 0.701172, -0.205811, -0.0795288, 0.0980835, -1.51172, 0.783691, 0.836426, 0.224976, 1.23047, 0.988281, 1.99316, 10, 0, 12, 0, 0, 0, 2, 2, 0, 4, 0, 6, 0, 0, 0, 0, 2, 0, stand
-0.980957, -0.125244, -0.156616, -0.221436, -0.0938721, -0.78125, 0.250977, 0.515137, 0.166016, 0.631836, 0.218628, 3.08398, 0, 0, 0, 4, 12, 0, 2, 0, 2, 0, 0, 0, 2, 6, 0, 2, 0, 2, stand
-0.979004, -0.0891113, -0.148926, 0.012085, -0.0483704, 0.650879, 0.100586, 0.451904, 0.0749512, 0.225952, 0.159302, 2.53125, 38, 0, 6, 0, 16, 0, 0, 8, 0, 20, 0, 4, 0, 8, 0, 0, 4, 0, stand
-0.175049, 0.740234, -0.248779, 0.256104, -0.519531, 3.08789, 1.53809, 0.825684, 0.279053, 0.717773, 0.935059, 4.19141, 4, 1, 0, 6, 10, 0, 2, 2, 2, 2, 1, 0, 3, 4, 0, 0, 0, 0, stand
0.09021, 0.82959, -0.516602, -0.0706177, -1.95703, -0.460938, 0.897949, 0.342285, 0.319824, 0.762695, 2.01172, 2.1582, 2, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, stand
-0.555664, 0.80957, -0.122864, 0.265137, -1.65527, -0.389893, 0.338867, 0.117188, 0.623047, 0.398682, 2.00781, 0.483887, 0, 0, 30, 0, 0, 0, 0, 2, 12, 0, 0, 14, 0, 0, 0, 0, 2, 6, stand
-0.806641, 0.526855, 0.209351, -0.117188, -0.111267, -0.654297, 0.361816, 0.637207, 0.259766, 0.470215, 0.819336, 2.79492, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, stand
-0.918457, 0.300049, 0.123291, 0.0964355, 0.606934, -0.231445, 0.276367, 0.351074, 0.725586, 1.23438, 2.41211, 1.54785, 8, 0, 0, 0, 10, 0, 2, 2, 4, 4, 0, 0, 0, 4, 0, 0, 2, 2, stand
-0.549805, 0.224731, -0.773438, 0.150879, 1.91602, 0.193115, 0.979004, 0.22998, 0.699707, 1.34766, 1.81934, 2.06641, 2, 0, 8, 0, 0, 3, 2, 2, 4, 2, 0, 4, 0, 0, 1, 2, 0, 2, stand
-0.0138245, -0.0756836, -0.985352, 0.467285, 0.0820923, -0.312988, 0.369873, 0.380859, 0.284668, 1.06641, 0.905762, 0.749023, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, stand
0.0673828, -0.312744, -0.911621, 0.356445, 0.0105362, -0.205322, 0.292969, 0.387939, 0.26709, 0.508301, 0.703613, 1.02051, 16, 0, 0, 0, 6, 0, 4, 2, 4, 8, 0, 0, 0, 2, 0, 2, 0, 2, stand
0.112915, -0.486816, -0.888672, 0.220825, -0.499512, -0.776367, 0.430908, 0.428711, 0.286133, 0.836914, 0.902344, 1.50488, 24, 0, 4, 0, 18, 0, 4, 0, 0, 12, 0, 2, 0, 10, 0, 2, 0, 0, stand
