@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PositiveZeroCross_on_ACC_X numeric
@attribute F8_PositiveZeroCross_on_ACC_X numeric
@attribute F9_PositiveZeroCross_on_ACC_Y numeric
@attribute F10_PositiveZeroCross_on_ACC_Y numeric
@attribute F11_PositiveZeroCross_on_ACC_Z numeric
@attribute F12_PositiveZeroCross_on_ACC_Z numeric
@attribute F13_PositiveZeroCross_on_GY_X numeric
@attribute F14_PositiveZeroCross_on_GY_Y numeric
@attribute F15_PositiveZeroCross_on_GY_Z numeric
@attribute F16_NegativeZeroCross_on_ACC_X numeric
@attribute F17_NegativeZeroCross_on_ACC_X numeric
@attribute F18_NegativeZeroCross_on_ACC_Y numeric
@attribute F19_NegativeZeroCross_on_ACC_Y numeric
@attribute F20_NegativeZeroCross_on_ACC_Z numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute class {DOWN, UP, STAND, LEFT}

@data
-0.219116, 0.281982, -0.838867, 0.0585938, -0.151245, -0.0663452, 6, 2, 4, 4, 4, 4, 2, 4, 4, 8, 2, 4, 4, 4, 4, 2, 4, 4, UP
-0.18103, 0.256348, -0.899414, 0.042572, 0.210693, -0.0102386, 4, 5, 4, 3, 4, 3, 4, 4, 10, 4, 5, 4, 3, 4, 3, 4, 4, 10, UP
-0.150757, 0.385742, -0.919434, -0.260742, -0.168457, 0.044281, 6, 1, 4, 4, 4, 3, 4, 4, 6, 6, 1, 4, 4, 4, 3, 4, 4, 6, UP
-0.133545, 0.244751, -0.850098, 0.0178528, -0.237427, 0.237183, 6, 3, 8, 3, 4, 3, 4, 4, 8, 4, 3, 8, 3, 4, 3, 4, 4, 8, UP
-0.248413, 0.31543, -0.932129, 0.0334778, -0.284668, 0.0120392, 4, 4, 4, 4, 4, 3, 4, 4, 6, 6, 4, 4, 4, 4, 3, 4, 4, 6, UP
-0.171875, 0.319824, -0.918457, -0.161987, -0.142578, -0.0367432, 8, 2, 4, 3, 4, 3, 4, 4, 6, 8, 2, 4, 3, 4, 3, 4, 4, 6, UP
-0.166992, 0.434814, -0.84082, -0.112854, 0.0648804, 0.163208, 8, 3, 4, 5, 6, 3, 4, 4, 6, 6, 3, 4, 5, 6, 3, 4, 4, 6, UP
-0.108215, 0.402832, -0.82959, -0.195923, 0.00698853, 0.124634, 6, 3, 4, 4, 6, 3, 4, 4, 8, 6, 3, 4, 4, 6, 3, 4, 4, 8, UP
-0.0737915, 0.390137, -0.805176, 0.159058, -0.193481, 0.090332, 4, 1, 6, 1, 4, 3, 4, 4, 6, 4, 1, 6, 1, 4, 3, 4, 4, 6, UP
-0.164307, 0.22583, -0.902832, 0.672363, 0.128784, 0.26001, 8, 2, 4, 4, 4, 4, 2, 4, 6, 8, 2, 4, 4, 4, 4, 2, 4, 4, UP
-0.233398, 0.25708, -0.850586, -0.0563049, -0.362305, 0.0859985, 6, 2, 4, 4, 2, 3, 2, 4, 6, 8, 2, 4, 4, 4, 3, 2, 4, 4, UP
0.728516, 0.0108643, -0.0467834, 0, 0, 0, 20, 20, 30, 27, 32, 32, 0, 0, 0, 22, 21, 28, 26, 32, 33, 0, 0, 0, STAND
0.458008, -0.134644, -0.124634, 0, 0, 0, 22, 22, 36, 35, 32, 31, 0, 0, 0, 20, 20, 36, 35, 32, 31, 0, 0, 0, STAND
-0.503418, -0.956055, 0.408691, 0, 0, 0, 26, 25, 30, 31, 42, 39, 0, 0, 0, 28, 26, 32, 33, 40, 37, 0, 0, 0, STAND
-0.500488, 0.168579, -0.23584, 0, 0, 0, 32, 31, 28, 26, 38, 38, 0, 0, 0, 32, 30, 26, 24, 40, 39, 0, 0, 0, STAND
-0.237671, 0.322021, -0.20166, 0, 0, 0, 24, 24, 20, 21, 36, 36, 0, 0, 0, 26, 26, 20, 20, 38, 37, 0, 0, 0, STAND
0.0946655, 1.0498, 0.397217, 0, 0, 0, 22, 22, 34, 33, 36, 36, 0, 0, 0, 20, 20, 34, 33, 36, 36, 0, 0, 0, STAND
0.114258, -0.829102, -0.771973, 0, 0, 0, 18, 18, 12, 14, 26, 27, 0, 0, 0, 18, 18, 14, 16, 24, 25, 0, 0, 0, STAND
0.295898, 0.749512, -0.500488, 0, 0, 0, 36, 35, 24, 25, 34, 31, 0, 0, 0, 36, 35, 26, 26, 34, 31, 0, 0, 0, STAND
-0.206787, -0.125854, 1.10645, 0, 0, 0, 18, 18, 18, 18, 26, 25, 0, 0, 0, 18, 18, 16, 16, 26, 25, 0, 0, 0, STAND
0.275879, 1.00781, -0.000781059, 0, 0, 0, 24, 25, 10, 11, 18, 19, 0, 0, 0, 24, 25, 12, 13, 18, 19, 0, 0, 0, STAND
2.31055, -2.55469, 0.512207, 0, 0, 0, 4, 4, 6, 6, 16, 14, 0, 0, 0, 4, 4, 6, 6, 18, 16, 0, 0, 0, STAND
-0.0966187, -0.016571, 0.0507202, 0, 0, 0, 18, 18, 32, 30, 24, 21, 0, 0, 0, 20, 20, 30, 29, 22, 19, 0, 0, 0, STAND
1.10547, -0.752441, 0.30249, 0, 0, 0, 22, 22, 22, 22, 30, 34, 0, 0, 0, 24, 23, 20, 20, 32, 36, 0, 0, 0, STAND
1.04199, 0.539551, -0.601563, 0, 0, 0, 14, 14, 24, 24, 32, 33, 0, 0, 0, 12, 12, 24, 24, 32, 33, 0, 0, 0, STAND
-0.0181885, 0.288818, 0.362305, 0, 0, 0, 12, 13, 18, 16, 34, 35, 0, 0, 0, 12, 13, 18, 17, 34, 35, 0, 0, 0, STAND
0.133423, 0.719727, 0.247925, 0, 0, 0, 18, 18, 14, 18, 32, 31, 0, 0, 0, 18, 18, 14, 18, 32, 31, 0, 0, 0, STAND
0.459717, -0.521973, 0.00150681, 0, 0, 0, 20, 21, 18, 19, 28, 31, 0, 0, 0, 20, 21, 16, 18, 28, 31, 0, 0, 0, STAND
0.82666, -0.175415, 0.353027, 0, 0, 0, 16, 16, 18, 18, 36, 34, 0, 0, 0, 18, 18, 18, 18, 36, 34, 0, 0, 0, STAND
-0.135498, 1.62988, -0.629883, 0, 0, 0, 20, 22, 36, 35, 34, 37, 0, 0, 0, 18, 20, 36, 35, 32, 35, 0, 0, 0, STAND
-1.39063, 0.36377, -0.234131, 0, 0, 0, 28, 26, 18, 18, 20, 23, 0, 0, 0, 28, 26, 18, 18, 20, 23, 0, 0, 0, STAND
0.339111, 0.784668, 0.571289, 0, 0, 0, 8, 8, 14, 14, 22, 20, 0, 0, 0, 8, 8, 16, 16, 24, 22, 0, 0, 0, STAND
0.143433, 0.176636, -0.552734, 0, 0, 0, 14, 15, 18, 19, 32, 33, 0, 0, 0, 14, 14, 16, 17, 32, 33, 0, 0, 0, STAND
0.255127, -1.40918, 0.384766, 0, 0, 0, 6, 6, 8, 8, 30, 32, 0, 0, 0, 8, 8, 10, 10, 28, 30, 0, 0, 0, STAND
-0.205933, -0.209473, -0.44043, 0, 0, 0, 10, 10, 20, 20, 30, 30, 0, 0, 0, 10, 9, 18, 18, 32, 31, 0, 0, 0, STAND
0.895996, 0.500488, 0.772949, 0, 0, 0, 28, 29, 16, 16, 32, 32, 0, 0, 0, 28, 28, 16, 16, 32, 32, 0, 0, 0, STAND
-0.12915, -0.143799, 0.583008, 0, 0, 0, 32, 30, 20, 19, 36, 37, 0, 0, 0, 32, 31, 22, 20, 34, 35, 0, 0, 0, STAND
-0.3396, 0.0764771, -0.711914, 0, 0, 0, 20, 23, 40, 39, 32, 31, 0, 0, 0, 20, 23, 38, 37, 34, 33, 0, 0, 0, STAND
-0.724609, -0.0808105, -0.697266, 0.00847626, -0.0204773, -0.0180054, 18, 17, 24, 24, 26, 27, 0, 0, 2, 18, 18, 26, 25, 26, 26, 0, 0, 0, STAND
0.11908, -0.114502, -0.935547, -0.768066, 0.181519, -0.22937, 0, 1, 12, 0, 0, 0, 2, 2, 6, 0, 2, 10, 0, 0, 0, 2, 2, 8, STAND
0.0699463, 0.148926, -0.975586, -0.116943, 0.0545959, -0.115051, 12, 0, 0, 0, 12, 0, 0, 2, 6, 12, 0, 0, 0, 12, 0, 0, 2, 6, STAND
0.0844727, 0.182007, -0.986328, -0.12085, -0.097229, 0.015213, 6, 0, 10, 0, 10, 0, 2, 2, 4, 6, 0, 10, 0, 16, 0, 2, 2, 4, STAND
-0.536621, 0.196899, -0.719238, 0.154907, -1.94238, -0.558105, 0, 0, 2, 0, 0, 0, 2, 0, 4, 0, 1, 4, 0, 0, 0, 0, 0, 4, STAND
-0.96875, -0.0557251, -0.022644, 0.352051, -0.530762, -0.359619, 0, 0, 4, 0, 0, 0, 2, 0, 4, 0, 0, 4, 0, 0, 0, 4, 0, 4, STAND
-1.03809, -0.140991, 0.039856, 0.0830688, 0.0639038, 0.0299377, 6, 0, 6, 0, 2, 0, 0, 0, 0, 6, 0, 6, 0, 2, 0, 0, 0, 0, STAND
-0.989258, -0.114685, -0.0267181, 0.0501099, 0.221924, 0.144531, 12, 0, 12, 0, 6, 0, 0, 2, 6, 14, 0, 10, 0, 6, 0, 2, 0, 4, STAND
-0.757813, 0.696289, -0.144775, -0.601074, -0.0999146, 1.74414, 4, 0, 0, 3, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, STAND
-0.212646, 0.751465, 0.345459, -1.00781, 0.473877, 0.708984, 0, 0, 10, 0, 0, 0, 2, 2, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, STAND
-0.113586, 0.770508, 0.674316, -0.394043, 0.321533, 0.280029, 2, 0, 18, 0, 0, 0, 0, 4, 2, 2, 0, 20, 0, 0, 0, 0, 2, 4, STAND
-0.279785, 0.522949, 0.819824, -0.626465, 0.369873, 0.342285, 6, 0, 0, 0, 2, 0, 0, 0, 6, 6, 0, 0, 0, 2, 0, 2, 2, 6, STAND
-0.424072, 0.490967, 0.69043, 1.17285, 0.265381, -1.0332, 4, 0, 4, 0, 8, 0, 2, 2, 0, 6, 0, 2, 0, 8, 0, 0, 0, 0, STAND
-1.0332, 0.113037, -0.0444031, 1.42969, 0.172119, -0.96875, 0, 1, 0, 0, 0, 0, 2, 0, 2, 0, 1, 2, 0, 0, 0, 4, 2, 0, STAND
-0.967773, 0.0598145, 0.173584, 0.0809937, 0.109497, 0.0834961, 4, 0, 10, 0, 0, 0, 0, 2, 0, 4, 0, 10, 0, 0, 0, 0, 2, 0, STAND
-0.962402, 0.142578, -0.121094, -0.0846558, 0.72168, 0.0570984, 8, 0, 2, 0, 0, 0, 0, 2, 2, 8, 0, 0, 0, 0, 0, 2, 0, 0, STAND
-0.453369, 0.260498, -0.828613, 0.308838, 1.56543, 0.610352, 2, 1, 4, 0, 0, 0, 2, 0, 2, 0, 1, 4, 0, 0, 0, 0, 0, 4, STAND
0.153809, 0.105652, -0.960449, 0.0237732, 0.144653, -0.146729, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, STAND
0.297119, 0.178345, -0.931152, -0.200195, 0.929199, 0.252197, 4, 0, 6, 0, 8, 0, 2, 2, 2, 4, 0, 6, 0, 6, 0, 2, 0, 2, STAND
0.954102, 0.113831, -0.143921, -0.213623, 1.22852, 0.32959, 0, 0, 6, 0, 0, 2, 2, 0, 10, 0, 0, 8, 0, 0, 1, 2, 2, 10, STAND
0.995117, 0.0493164, -0.0138474, -0.0114441, -0.403809, -0.17334, 2, 0, 4, 0, 0, 0, 0, 0, 2, 2, 0, 4, 0, 2, 0, 0, 0, 4, STAND
0.708008, 0.441162, -0.0988159, -0.178589, -0.0636597, -2.27539, 4, 0, 2, 4, 8, 0, 2, 0, 2, 6, 1, 2, 3, 6, 0, 2, 2, 4, STAND
-0.340332, 0.918457, -0.0704346, 0.300293, -0.268799, -0.363525, 0, 2, 2, 0, 14, 0, 0, 2, 2, 0, 2, 2, 0, 14, 0, 0, 2, 2, STAND
