@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_PositiveZeroCross_on_ACC_X numeric
@attribute F11_PositiveZeroCross_on_ACC_X numeric
@attribute F12_PositiveZeroCross_on_ACC_Y numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_X numeric
@attribute F21_NegativeZeroCross_on_ACC_Y numeric
@attribute F22_NegativeZeroCross_on_ACC_Y numeric
@attribute F23_NegativeZeroCross_on_ACC_Z numeric
@attribute F24_NegativeZeroCross_on_ACC_Z numeric
@attribute F25_NegativeZeroCross_on_GY_X numeric
@attribute F26_NegativeZeroCross_on_GY_Y numeric
@attribute F27_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.880371, 0.206421, -0.571289, -0.143555, -0.178589, -0.960449, 6, 6, 4, 8, 3, 4, 3, 4, 2, 2, 2, 4, 6, 3, 2, 3, 4, 2, 2, 4, 4, left
0.841797, 0.29126, -0.424561, -0.106812, -0.0932617, -0.196167, 8, 8, 6, 14, 4, 4, 4, 4, 3, 2, 4, 8, 12, 4, 4, 4, 4, 3, 2, 2, 6, left
0.848145, 0.110291, -0.445313, 0.278564, 0.0145645, -0.15979, 6, 6, 4, 6, 3, 4, 3, 4, 2, 2, 4, 4, 6, 3, 4, 3, 4, 2, 2, 4, 4, left
0.910645, 0.12854, -0.456055, -0.164551, -0.165405, -0.132935, 8, 8, 4, 6, 4, 4, 4, 4, 2, 2, 2, 8, 8, 4, 4, 4, 4, 2, 2, 4, 8, left
0.919434, 0.183472, -0.553223, 0.0819092, -0.203247, -0.412109, 6, 8, 6, 8, 3, 6, 4, 4, 3, 2, 4, 4, 4, 3, 6, 4, 4, 3, 2, 4, 4, left
0.869629, 0.071167, -0.538086, -0.0143356, -0.15686, -0.0901489, 6, 6, 4, 6, 3, 4, 3, 4, 2, 2, 2, 6, 8, 3, 4, 3, 4, 2, 2, 2, 8, left
0.858398, 0.0737305, -0.603516, 0.000613689, 0.0185547, -0.277588, 6, 8, 4, 8, 3, 4, 4, 4, 2, 2, 2, 6, 8, 3, 4, 4, 4, 2, 2, 2, 6, left
0.916016, 0.0270996, -0.60498, 0.0782471, 0.285645, -0.0455017, 8, 6, 4, 6, 4, 4, 3, 4, 2, 2, 4, 8, 8, 4, 4, 3, 4, 2, 2, 6, 8, left
0.884277, 0.0646973, -0.568359, 0.0612488, -0.364258, -0.172119, 6, 8, 6, 8, 3, 4, 4, 4, 3, 2, 2, 6, 8, 3, 4, 4, 4, 3, 2, 2, 6, left
0.914063, 0.100281, -0.508301, -0.136108, -0.0286255, -0.392822, 6, 8, 4, 8, 3, 4, 4, 4, 2, 2, 4, 4, 6, 3, 2, 4, 4, 2, 2, 4, 4, left
