STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-678 	 686 	 -14 	13.475 	 0.07 	 -15.33 	
-681 	 689 	 -19 	14 	 0.385 	 -16.135 	
-685 	 694 	 -30 	14.175 	 0.7 	 -16.695 	
-690 	 704 	 -43 	14.245 	 0.945 	 -16.73 	
-703 	 714 	 -58 	13.965 	 1.05 	 -16.03 	
-728 	 722 	 -71 	13.475 	 0.875 	 -14.455 	
-760 	 724 	 -81 	12.74 	 0.385 	 -12.005 	
-796 	 720 	 -89 	12.075 	 -0.49 	 -9.275 	
-824 	 701 	 -93 	11.165 	 -1.855 	 -7.07 	
-841 	 692 	 -103 	10.64 	 -3.5 	 -6.65 	
-853 	 671 	 -109 	10.115 	 -5.145 	 -8.505 	
-863 	 650 	 -110 	9.94 	 -6.965 	 -12.32 	
-876 	 626 	 -105 	10.045 	 -8.75 	 -17.15 	
-877 	 620 	 -111 	10.57 	 -10.64 	 -22.155 	
-877 	 615 	 -115 	11.375 	 -12.53 	 -26.18 	
-879 	 608 	 -117 	12.495 	 -14.385 	 -28.35 	
-877 	 600 	 -122 	14.035 	 -16.24 	 -28.63 	
-871 	 573 	 -119 	15.995 	 -17.92 	 -27.895 	
-854 	 537 	 -119 	18.375 	 -19.565 	 -27.755 	
-839 	 502 	 -119 	21.175 	 -20.79 	 -29.68 	
-836 	 481 	 -120 	24.43 	 -21.665 	 -34.545 	
-828 	 478 	 -121 	27.79 	 -22.365 	 -41.545 	
-847 	 498 	 -132 	31.255 	 -22.96 	 -47.95 	
-871 	 504 	 -132 	34.51 	 -23.835 	 -50.68 	
-894 	 524 	 -134 	37.73 	 -25.2 	 -49.245 	
-911 	 511 	 -142 	40.6 	 -26.88 	 -45.045 	
-909 	 512 	 -142 	43.61 	 -28.735 	 -40.74 	
-921 	 498 	 -133 	46.095 	 -30.59 	 -38.815 	
-934 	 476 	 -129 	48.265 	 -32.55 	 -40.355 	
-936 	 495 	 -140 	50.26 	 -34.3 	 -45.15 	
-927 	 521 	 -148 	51.695 	 -36.05 	 -51.625 	
-931 	 538 	 -147 	52.675 	 -37.66 	 -57.47 	
-944 	 565 	 -138 	53.34 	 -39.41 	 -60.375 	
-965 	 561 	 -134 	53.62 	 -41.23 	 -59.78 	
-976 	 568 	 -125 	54.005 	 -43.26 	 -57.365 	
-976 	 553 	 -105 	54.11 	 -45.255 	 -55.615 	
-957 	 557 	 -99 	54.285 	 -46.97 	 -56.49 	
-958 	 555 	 -88 	54.11 	 -48.16 	 -59.5 	
-956 	 576 	 -86 	54.005 	 -49.28 	 -62.825 	
-961 	 588 	 -80 	53.41 	 -50.155 	 -64.47 	
-966 	 611 	 -83 	52.64 	 -50.96 	 -63.805 	
-986 	 628 	 -71 	51.275 	 -51.73 	 -61.355 	
-963 	 598 	 -67 	49.91 	 -52.57 	 -58.38 	
-926 	 619 	 -63 	48.37 	 -53.2 	 -56.42 	
-907 	 601 	 -62 	46.48 	 -53.06 	 -55.335 	
-892 	 593 	 -61 	44.765 	 -52.99 	 -53.865 	
-899 	 596 	 -61 	43.085 	 -52.675 	 -50.785 	
-910 	 588 	 -59 	41.265 	 -52.465 	 -46.69 	
-910 	 562 	 -75 	39.41 	 -52.325 	 -42.77 	
-912 	 556 	 -74 	37.625 	 -52.08 	 -40.46 	
-924 	 550 	 -71 	35.84 	 -51.625 	 -40.67 	
-928 	 537 	 -83 	34.055 	 -51.24 	 -43.575 	
-956 	 547 	 -96 	32.445 	 -50.505 	 -48.615 	
-960 	 507 	 -88 	30.905 	 -49.91 	 -54.32 	
-948 	 509 	 -91 	29.995 	 -49.245 	 -60.06 	
-924 	 515 	 -89 	29.225 	 -48.405 	 -65.17 	
-910 	 508 	 -100 	28.63 	 -47.18 	 -68.04 	
-898 	 502 	 -110 	28.385 	 -45.99 	 -67.165 	
-891 	 505 	 -117 	28.42 	 -44.73 	 -63 	
-898 	 489 	 -113 	28.385 	 -43.155 	 -57.47 	
-904 	 490 	 -110 	28.595 	 -41.685 	 -52.605 	
-907 	 487 	 -108 	28.595 	 -40.075 	 -49.91 	
-905 	 489 	 -107 	28.595 	 -38.29 	 -49.77 	
-910 	 483 	 -117 	28.525 	 -36.33 	 -51.45 	
-915 	 477 	 -111 	28.735 	 -34.16 	 -53.76 	
-912 	 470 	 -109 	29.12 	 -31.955 	 -55.79 	
-911 	 454 	 -99 	29.96 	 -29.68 	 -56.84 	
-893 	 457 	 -79 	31.01 	 -27.335 	 -57.015 	
-902 	 471 	 -62 	32.27 	 -24.885 	 -55.895 	
-918 	 485 	 -50 	33.565 	 -22.68 	 -52.535 	
