STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
404 	 879 	 131 	12.635 	 39.655 	 -10.43 	
383 	 902 	 127 	13.44 	 40.425 	 -12.88 	
350 	 947 	 105 	14.035 	 40.915 	 -13.685 	
325 	 978 	 95 	13.93 	 41.265 	 -13.3 	
284 	 1000 	 49 	13.685 	 41.405 	 -13.72 	
267 	 1014 	 22 	12.985 	 41.685 	 -18.165 	
302 	 931 	 38 	11.655 	 42.105 	 -28.63 	
337 	 919 	 42 	11.34 	 43.19 	 -44.345 	
358 	 951 	 65 	11.025 	 44.73 	 -60.62 	
269 	 954 	 89 	10.43 	 46.515 	 -70.525 	
177 	 1008 	 84 	10.605 	 46.69 	 -70.14 	
120 	 1069 	 67 	10.745 	 45.745 	 -59.99 	
73 	 1086 	 83 	10.885 	 44.135 	 -44.03 	
43 	 1059 	 109 	11.305 	 41.79 	 -26.81 	
60 	 1023 	 87 	12.215 	 38.955 	 -11.515 	
61 	 965 	 69 	13.545 	 36.575 	 0.665 	
57 	 951 	 42 	15.47 	 34.055 	 10.045 	
40 	 971 	 17 	17.395 	 31.43 	 17.71 	
9 	 1013 	 24 	19.04 	 28.7 	 24.115 	
-28 	 1022 	 46 	20.02 	 25.585 	 29.19 	
-30 	 994 	 44 	20.685 	 22.05 	 32.025 	
-29 	 992 	 38 	21.315 	 18.795 	 31.5 	
-36 	 974 	 8 	21.525 	 15.68 	 27.755 	
-8 	 998 	 -20 	21.77 	 12.495 	 21.42 	
-22 	 984 	 -30 	21.455 	 10.15 	 13.02 	
23 	 994 	 -30 	21.28 	 7.525 	 2.765 	
-9 	 948 	 -8 	20.685 	 5.775 	 -7.875 	
36 	 950 	 -16 	20.72 	 3.255 	 -17.395 	
29 	 976 	 -26 	20.895 	 1.75 	 -24.57 	
8 	 974 	 -1 	20.615 	 0.105 	 -29.155 	
28 	 1004 	 -17 	20.615 	 -1.96 	 -30.87 	
-24 	 1037 	 -33 	20.44 	 -3.5 	 -29.365 	
-21 	 1029 	 -37 	19.88 	 -5.6 	 -25.025 	
-41 	 1028 	 -33 	19.39 	 -7.455 	 -18.935 	
-11 	 1034 	 -52 	18.97 	 -9.555 	 -13.125 	
1 	 1051 	 -61 	18.2 	 -11.025 	 -9.45 	
17 	 1015 	 -66 	16.975 	 -12.285 	 -8.61 	
10 	 991 	 -80 	16.135 	 -13.195 	 -10.255 	
24 	 960 	 -78 	15.435 	 -14 	 -13.475 	
20 	 929 	 -65 	15.015 	 -14.595 	 -17.22 	
31 	 927 	 -68 	15.05 	 -15.4 	 -20.44 	
29 	 948 	 -69 	15.295 	 -16.135 	 -22.505 	
34 	 956 	 -70 	15.575 	 -17.045 	 -23.1 	
30 	 963 	 -67 	16.17 	 -18.06 	 -22.225 	
22 	 920 	 -49 	16.905 	 -19.18 	 -20.37 	
28 	 893 	 -45 	18.34 	 -20.51 	 -18.305 	
43 	 874 	 -45 	20.125 	 -21.77 	 -16.8 	
54 	 865 	 -50 	22.015 	 -22.75 	 -16.485 	
71 	 874 	 -60 	23.905 	 -23.59 	 -17.605 	
89 	 898 	 -76 	25.375 	 -24.01 	 -19.775 	
96 	 925 	 -94 	26.6 	 -24.115 	 -22.225 	
87 	 952 	 -99 	27.265 	 -23.975 	 -23.905 	
85 	 978 	 -104 	27.755 	 -24.045 	 -24.22 	
75 	 986 	 -99 	28 	 -24.01 	 -22.54 	
49 	 960 	 -88 	28.35 	 -24.185 	 -18.795 	
40 	 930 	 -78 	29.085 	 -24.745 	 -13.51 	
48 	 923 	 -78 	30.205 	 -25.445 	 -8.26 	
49 	 919 	 -87 	31.36 	 -25.935 	 -4.13 	
57 	 919 	 -91 	32.515 	 -26.355 	 -1.715 	
62 	 916 	 -97 	33.39 	 -26.6 	 -0.77 	
71 	 944 	 -110 	34.195 	 -26.775 	 -0.84 	
69 	 965 	 -123 	34.58 	 -26.81 	 -1.225 	
53 	 994 	 -133 	34.72 	 -26.845 	 -1.365 	
26 	 999 	 -127 	34.405 	 -26.95 	 -0.945 	
17 	 1000 	 -120 	34.055 	 -27.475 	 -0.525 	
13 	 989 	 -116 	33.425 	 -27.895 	 -0.77 	
17 	 991 	 -118 	32.725 	 -28.315 	 -2.17 	
27 	 994 	 -122 	31.78 	 -28.525 	 -4.445 	
40 	 1036 	 -129 	30.8 	 -28.595 	 -6.86 	
34 	 1074 	 -125 	29.365 	 -28.525 	 -8.05 	
0 	 1081 	 -116 	27.615 	 -28.595 	 -7.07 	
-17 	 1074 	 -117 	26.04 	 -29.155 	 -4.165 	
-17 	 1039 	 -108 	24.745 	 -29.82 	 -0.49 	
-17 	 1011 	 -106 	24.01 	 -30.625 	 2.66 	
-15 	 990 	 -115 	23.52 	 -31.43 	 4.69 	
-22 	 978 	 -117 	23.275 	 -32.06 	 5.53 	
-17 	 984 	 -121 	23.24 	 -32.83 	 5.04 	
3 	 1001 	 -114 	22.995 	 -33.46 	 3.395 	
10 	 1014 	 -101 	22.61 	 -33.81 	 1.085 	
3 	 1023 	 -107 	22.05 	 -34.16 	 -0.805 	
-9 	 1028 	 -122 	21.49 	 -34.615 	 -1.4 	
-21 	 1028 	 -129 	21.07 	 -35.21 	 -0.56 	
-25 	 1021 	 -135 	20.79 	 -36.085 	 0.945 	
-22 	 1002 	 -134 	20.58 	 -36.785 	 2.03 	
-8 	 975 	 -129 	20.65 	 -37.59 	 2.135 	
4 	 959 	 -137 	20.825 	 -38.22 	 1.33 	
19 	 963 	 -161 	21.035 	 -38.85 	 0.28 	
12 	 990 	 -171 	21.21 	 -39.27 	 -0.21 	
0 	 1001 	 -175 	21.035 	 -40.075 	 0.245 	
-9 	 978 	 -179 	20.615 	 -40.88 	 0.84 	
21 	 950 	 -176 	20.335 	 -41.825 	 0.07 	
53 	 923 	 -174 	20.23 	 -42.28 	 -2.94 	
74 	 902 	 -187 	20.405 	 -42.455 	 -7.525 	
76 	 892 	 -201 	20.72 	 -42.21 	 -11.9 	
91 	 895 	 -221 	21.07 	 -41.895 	 -14.84 	
120 	 935 	 -238 	21.385 	 -41.44 	 -16.03 	
147 	 1005 	 -238 	21.28 	 -40.67 	 -15.225 	
132 	 1059 	 -241 	20.51 	 -39.795 	 -12.11 	
97 	 1060 	 -242 	19.215 	 -39.445 	 -6.65 	
88 	 1039 	 -234 	18.025 	 -39.515 	 -0.14 	
103 	 1021 	 -224 	17.15 	 -39.9 	 5.39 	
118 	 972 	 -214 	16.345 	 -40.215 	 8.89 	
133 	 960 	 -210 	15.96 	 -40.495 	 10.255 	
153 	 948 	 -185 	15.575 	 -40.6 	 10.325 	
169 	 959 	 -163 	15.295 	 -40.635 	 10.43 	
177 	 1003 	 -157 	14.91 	 -40.74 	 12.32 	
143 	 1035 	 -154 	14.385 	 -40.775 	 17.29 	
108 	 1009 	 -144 	13.72 	 -41.44 	 25.095 	
98 	 953 	 -137 	13.51 	 -42.525 	 33.075 	
111 	 895 	 -131 	13.895 	 -43.715 	 37.8 	
135 	 818 	 -138 	14.735 	 -44.52 	 37.38 	
153 	 771 	 -160 	16.275 	 -44.975 	 32.27 	
171 	 747 	 -172 	17.955 	 -45.185 	 24.85 	
191 	 778 	 -166 	19.67 	 -44.905 	 18.34 	
182 	 883 	 -172 	21.105 	 -44.59 	 15.505 	
156 	 981 	 -184 	21.35 	 -44.38 	 17.325 	
130 	 998 	 -167 	20.72 	 -44.31 	 22.645 	
140 	 1002 	 -154 	19.81 	 -44.485 	 29.085 	
165 	 1007 	 -160 	18.445 	 -44.345 	 33.95 	
202 	 1068 	 -200 	16.905 	 -43.785 	 35.385 	
213 	 1116 	 -235 	14.35 	 -42.49 	 33.88 	
199 	 1167 	 -258 	11.06 	 -40.95 	 30.905 	
181 	 1189 	 -267 	6.895 	 -39.48 	 27.895 	
176 	 1207 	 -271 	2.31 	 -38.045 	 25.55 	
165 	 1261 	 -292 	-1.925 	 -36.75 	 24.01 	
137 	 1288 	 -326 	-6.125 	 -35.49 	 23.17 	
101 	 1260 	 -332 	-9.345 	 -34.65 	 22.54 	
86 	 1124 	 -297 	-11.235 	 -34.23 	 21.105 	
107 	 1031 	 -274 	-10.15 	 -34.37 	 17.465 	
123 	 949 	 -253 	-7.77 	 -34.44 	 11.585 	
111 	 890 	 -228 	-4.2 	 -34.685 	 4.655 	
100 	 896 	 -218 	-0.07 	 -35.21 	 -1.505 	
81 	 914 	 -210 	3.36 	 -35.91 	 -5.32 	
80 	 924 	 -222 	5.705 	 -36.715 	 -6.37 	
85 	 939 	 -243 	7.21 	 -37.24 	 -5.25 	
102 	 989 	 -276 	7.665 	 -37.38 	 -2.94 	
104 	 1038 	 -302 	6.755 	 -36.82 	 0.035 	
84 	 1065 	 -333 	4.9 	 -36.085 	 3.605 	
86 	 1067 	 -348 	2.31 	 -35.35 	 7.385 	
57 	 1043 	 -335 	-0.455 	 -34.23 	 10.92 	
65 	 1014 	 -331 	-3.36 	 -33.565 	 13.755 	
47 	 979 	 -323 	-5.915 	 -32.55 	 15.925 	
46 	 956 	 -313 	-8.05 	 -31.64 	 17.325 	
30 	 927 	 -293 	-9.625 	 -30.345 	 18.2 	
30 	 885 	 -270 	-10.675 	 -28.77 	 18.515 	
26 	 856 	 -246 	-10.605 	 -26.67 	 18.585 	
43 	 853 	 -235 	-9.59 	 -24.395 	 18.725 	
41 	 888 	 -236 	-8.12 	 -21.84 	 19.355 	
49 	 840 	 -249 	-7.21 	 -19.495 	 21.105 	
23 	 911 	 -269 	-4.41 	 -17.85 	 23.73 	
49 	 927 	 -290 	-3.43 	 -17.29 	 27.37 	
13 	 892 	 -270 	-1.925 	 -16.8 	 31.64 	
-23 	 919 	 -252 	-0.105 	 -17.57 	 36.225 	
39 	 811 	 -257 	0.665 	 -20.195 	 40.775 	
39 	 845 	 -242 	3.185 	 -21.56 	 43.47 	
73 	 829 	 -241 	4.305 	 -23.905 	 44.24 	
59 	 838 	 -233 	5.74 	 -25.62 	 43.505 	
59 	 836 	 -255 	6.755 	 -27.545 	 41.685 	
64 	 857 	 -298 	8.155 	 -28.98 	 39.725 	
11 	 894 	 -460 	9.345 	 -30.66 	 38.745 	
34 	 917 	 -516 	10.255 	 -32.2 	 39.34 	
-45 	 913 	 -414 	11.375 	 -33.145 	 41.65 	
21 	 846 	 -392 	12.495 	 -36.26 	 45.115 	
-33 	 880 	 -366 	14.455 	 -38.71 	 48.685 	
-45 	 834 	 -351 	15.96 	 -42.63 	 51.065 	
0 	 930 	 -280 	17.885 	 -46.865 	 51.17 	
82 	 983 	 -221 	18.375 	 -51.205 	 49.525 	
162 	 985 	 -193 	18.41 	 -54.32 	 46.655 	
230 	 1036 	 -148 	18.06 	 -56.175 	 43.4 	
278 	 1051 	 -116 	16.59 	 -56.805 	 39.935 	
358 	 1051 	 -114 	14.91 	 -56.455 	 35.525 	
460 	 1073 	 -105 	12.845 	 -54.46 	 29.54 	
518 	 1164 	 -119 	10.08 	 -50.89 	 21.56 	
477 	 1130 	 -293 	6.055 	 -46.41 	 12.705 	
325 	 1139 	 -354 	2.625 	 -41.475 	 4.27 	
261 	 1092 	 -360 	-1.82 	 -38.395 	 -0.84 	
209 	 994 	 -380 	-5.39 	 -36.05 	 -0.875 	
194 	 897 	 -368 	-7.91 	 -34.615 	 2.59 	
164 	 794 	 -365 	-9.065 	 -33.74 	 8.855 	
163 	 721 	 -355 	-8.575 	 -33.705 	 17.29 	
235 	 652 	 -357 	-7 	 -33.635 	 27.79 	
283 	 617 	 -325 	-3.605 	 -32.585 	 39.725 	
307 	 664 	 -292 	0.315 	 -31.045 	 51.625 	
315 	 716 	 -266 	3.885 	 -29.435 	 61.6 	
345 	 771 	 -268 	6.895 	 -28.035 	 68.075 	
360 	 757 	 -316 	8.925 	 -26.565 	 70.665 	
350 	 781 	 -364 	11.06 	 -25.13 	 69.615 	
347 	 799 	 -369 	12.355 	 -24.01 	 66.22 	
334 	 804 	 -393 	13.16 	 -23.24 	 60.69 	
355 	 863 	 -397 	13.755 	 -22.75 	 52.92 	
341 	 957 	 -379 	13.335 	 -22.19 	 43.855 	
317 	 960 	 -396 	11.795 	 -22.26 	 33.95 	
336 	 896 	 -430 	10.29 	 -22.785 	 22.75 	
364 	 863 	 -457 	9.66 	 -23.135 	 10.815 	
430 	 813 	 -468 	9.345 	 -23.03 	 -0.455 	
485 	 814 	 -465 	10.15 	 -22.05 	 -10.675 	
517 	 844 	 -454 	11.025 	 -19.74 	 -19.81 	
503 	 884 	 -446 	11.795 	 -16.765 	 -28.07 	
454 	 939 	 -448 	12.18 	 -13.65 	 -35.98 	
367 	 1002 	 -409 	11.725 	 -10.64 	 -44.135 	
340 	 1095 	 -341 	10.36 	 -8.82 	 -52.5 	
345 	 1162 	 -272 	7.595 	 -7.42 	 -59.71 	
266 	 1136 	 -291 	4.41 	 -6.23 	 -64.505 	
169 	 1076 	 -348 	1.785 	 -5.74 	 -66.08 	
90 	 1015 	 -407 	0.245 	 -5.915 	 -64.435 	
54 	 955 	 -439 	-0.035 	 -6.44 	 -60.55 	
28 	 894 	 -458 	0.875 	 -7.105 	 -55.86 	
-18 	 839 	 -444 	2.66 	 -7.63 	 -50.855 	
-47 	 771 	 -391 	4.97 	 -8.785 	 -45.605 	
-69 	 754 	 -334 	7.77 	 -10.255 	 -39.865 	
-10 	 774 	 -299 	10.15 	 -12.075 	 -33.005 	
32 	 785 	 -274 	11.97 	 -12.915 	 -24.36 	
34 	 912 	 -298 	13.405 	 -13.335 	 -14.14 	
8 	 984 	 -345 	13.055 	 -13.44 	 -2.24 	
-28 	 1035 	 -356 	11.865 	 -13.44 	 9.73 	
-61 	 1098 	 -354 	9.625 	 -13.86 	 19.915 	
-108 	 1185 	 -354 	6.335 	 -14.665 	 27.37 	
-164 	 1295 	 -379 	1.715 	 -16.415 	 33.46 	
-206 	 1304 	 -412 	-4.55 	 -19.32 	 40.075 	
-209 	 1187 	 -433 	-10.71 	 -22.995 	 47.88 	
-208 	 1027 	 -445 	-15.575 	 -26.74 	 54.915 	
-151 	 1001 	 -452 	-18.55 	 -30.38 	 56.77 	
7 	 985 	 -418 	-21.665 	 -32.585 	 48.93 	
222 	 1039 	 -379 	-23.835 	 -32.55 	 29.505 	
334 	 982 	 -341 	-26.355 	 -29.295 	 1.085 	
345 	 924 	 -330 	-27.72 	 -24.78 	 -30.835 	
304 	 914 	 -355 	-27.475 	 -20.09 	 -58.835 	
245 	 896 	 -334 	-26.32 	 -15.645 	 -75.845 	
186 	 884 	 -276 	-24.29 	 -11.725 	 -77.91 	
129 	 874 	 -242 	-21.525 	 -8.925 	 -65.415 	
161 	 855 	 -231 	-18.445 	 -6.755 	 -43.82 	
127 	 827 	 -201 	-15.155 	 -3.815 	 -20.685 	
162 	 818 	 -176 	-12.285 	 -1.47 	 -3.08 	
138 	 825 	 -167 	-10.115 	 1.785 	 5.985 	
131 	 838 	 -183 	-8.085 	 3.92 	 7.945 	
67 	 891 	 -198 	-6.44 	 6.44 	 6.93 	
16 	 865 	 -184 	-5.215 	 7.805 	 5.88 	
7 	 832 	 -157 	-3.605 	 8.575 	 4.48 	
35 	 821 	 -134 	-1.4 	 9.205 	 1.225 	
