STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-20 	 650 	 -772 	4.69 	 -3.78 	 1.435 	
-19 	 647 	 -770 	5.18 	 -3.815 	 1.4 	
-21 	 647 	 -768 	5.74 	 -4.025 	 1.295 	
-20 	 647 	 -772 	6.44 	 -4.235 	 1.155 	
-20 	 648 	 -774 	6.93 	 -4.41 	 1.05 	
-21 	 647 	 -775 	7.56 	 -4.795 	 0.945 	
-24 	 651 	 -776 	8.19 	 -5.11 	 0.84 	
-23 	 650 	 -780 	8.89 	 -5.53 	 0.77 	
-20 	 649 	 -782 	9.45 	 -5.74 	 0.735 	
-18 	 645 	 -778 	9.975 	 -5.845 	 0.63 	
-19 	 650 	 -779 	10.64 	 -5.88 	 0.525 	
-21 	 651 	 -781 	11.375 	 -5.95 	 0.42 	
-19 	 653 	 -781 	11.83 	 -5.67 	 0.315 	
-17 	 652 	 -783 	12.46 	 -5.39 	 0.315 	
-14 	 649 	 -784 	12.985 	 -4.935 	 0.245 	
-16 	 651 	 -781 	13.755 	 -4.585 	 0.175 	
-18 	 652 	 -780 	14.35 	 -4.305 	 0.105 	
-15 	 648 	 -781 	14.91 	 -4.095 	 0.07 	
-16 	 649 	 -783 	15.54 	 -4.095 	 0.07 	
-21 	 650 	 -781 	16.205 	 -4.375 	 -0.035 	
-24 	 649 	 -780 	16.94 	 -4.585 	 -0.035 	
-20 	 649 	 -780 	17.43 	 -4.69 	 -0.07 	
-17 	 651 	 -783 	18.095 	 -4.725 	 -0.14 	
-16 	 650 	 -783 	18.725 	 -4.62 	 -0.175 	
-10 	 649 	 -785 	19.355 	 -4.095 	 -0.21 	
-5 	 648 	 -792 	20.055 	 -3.36 	 -0.21 	
-2 	 645 	 -797 	20.58 	 -2.485 	 -0.21 	
0 	 639 	 -801 	21.105 	 -1.435 	 -0.245 	
2 	 638 	 -806 	21.945 	 -0.35 	 -0.21 	
7 	 635 	 -809 	22.575 	 0.875 	 -0.14 	
8 	 635 	 -807 	23.205 	 1.96 	 -0.105 	
5 	 633 	 -806 	23.87 	 2.975 	 -0.07 	
4 	 632 	 -807 	24.64 	 3.71 	 -0.035 	
5 	 630 	 -808 	25.305 	 4.235 	 0.105 	
7 	 626 	 -806 	25.935 	 4.48 	 0.175 	
5 	 624 	 -807 	26.565 	 4.515 	 0.245 	
5 	 622 	 -808 	27.265 	 4.27 	 0.28 	
4 	 622 	 -810 	27.895 	 3.92 	 0.385 	
7 	 621 	 -808 	28.49 	 3.675 	 0.455 	
10 	 619 	 -810 	29.05 	 3.535 	 0.525 	
14 	 616 	 -812 	29.785 	 3.29 	 0.63 	
15 	 615 	 -816 	30.485 	 3.08 	 0.665 	
16 	 617 	 -815 	31.08 	 3.185 	 0.735 	
18 	 619 	 -813 	31.815 	 3.115 	 0.84 	
20 	 620 	 -816 	32.55 	 3.15 	 0.945 	
22 	 620 	 -816 	33.355 	 3.255 	 1.015 	
26 	 616 	 -819 	33.985 	 3.325 	 1.26 	
30 	 610 	 -813 	34.72 	 3.465 	 1.47 	
31 	 611 	 -811 	35.7 	 3.605 	 1.54 	
30 	 611 	 -814 	36.68 	 3.745 	 1.75 	
31 	 609 	 -812 	37.625 	 3.815 	 2.065 	
36 	 600 	 -809 	38.535 	 3.99 	 2.38 	
39 	 593 	 -810 	39.725 	 4.06 	 2.625 	
40 	 586 	 -816 	40.845 	 4.025 	 3.01 	
39 	 579 	 -813 	42 	 3.955 	 3.36 	
40 	 577 	 -811 	43.295 	 3.815 	 3.815 	
44 	 573 	 -814 	44.695 	 3.5 	 4.2 	
42 	 570 	 -812 	46.06 	 3.29 	 4.69 	
37 	 567 	 -805 	47.53 	 3.15 	 5.11 	
31 	 569 	 -800 	48.965 	 2.905 	 5.53 	
