STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
610 	 830 	 2 	6.58 	 8.015 	 10.29 	
621 	 833 	 6 	7.28 	 9.275 	 10.185 	
630 	 839 	 20 	8.05 	 10.605 	 9.94 	
636 	 847 	 38 	9.135 	 11.795 	 9.8 	
633 	 844 	 40 	10.465 	 12.74 	 9.695 	
634 	 837 	 36 	11.795 	 13.195 	 9.695 	
641 	 824 	 49 	13.37 	 13.09 	 9.555 	
649 	 830 	 84 	15.33 	 12.705 	 9.31 	
662 	 851 	 122 	17.675 	 12.46 	 8.96 	
689 	 870 	 136 	20.265 	 12.845 	 8.855 	
711 	 880 	 150 	23.065 	 14.315 	 8.61 	
758 	 902 	 212 	26.18 	 17.36 	 8.435 	
812 	 915 	 230 	29.89 	 22.785 	 7.945 	
777 	 880 	 262 	33.355 	 31.955 	 6.895 	
827 	 836 	 174 	37.835 	 42.245 	 6.58 	
813 	 811 	 181 	44.03 	 55.65 	 6.335 	
798 	 765 	 148 	49.945 	 68.075 	 5.18 	
762 	 641 	 114 	56.84 	 79.555 	 4.34 	
721 	 605 	 125 	65.135 	 89.46 	 3.01 	
684 	 622 	 164 	73.745 	 96.845 	 1.19 	
607 	 642 	 224 	83.055 	 101.605 	 -0.035 	
573 	 655 	 190 	93.45 	 102.62 	 -0.525 	
573 	 673 	 177 	103.11 	 99.155 	 -1.365 	
555 	 661 	 223 	112.42 	 91.28 	 -2.24 	
558 	 651 	 330 	122.115 	 78.575 	 -1.995 	
515 	 697 	 196 	132.37 	 65.975 	 -1.855 	
448 	 792 	 17 	143.045 	 55.125 	 -3.5 	
492 	 808 	 177 	150.01 	 48.755 	 -3.325 	
495 	 673 	 357 	157.815 	 46.2 	 -1.995 	
460 	 648 	 166 	168.21 	 45.01 	 -3.745 	
315 	 698 	 -67 	174.58 	 44.52 	 -6.405 	
266 	 666 	 -70 	179.2 	 44.52 	 -6.895 	
356 	 550 	 33 	185.325 	 42.665 	 -6.265 	
242 	 543 	 -174 	192.92 	 44.135 	 -7.7 	
153 	 699 	 -429 	201.81 	 44.59 	 -10.01 	
113 	 680 	 -546 	206.01 	 47.915 	 -10.08 	
147 	 559 	 -481 	210.35 	 54.46 	 -9.94 	
138 	 498 	 -506 	218.715 	 63.315 	 -11.235 	
33 	 479 	 -655 	224.665 	 73.57 	 -11.865 	
-50 	 404 	 -711 	227.395 	 84.21 	 -10.92 	
-99 	 337 	 -720 	232.365 	 94.535 	 -9.52 	
-151 	 299 	 -833 	238.35 	 104.545 	 -8.785 	
-256 	 231 	 -867 	241.01 	 115.675 	 -7.665 	
-339 	 91 	 -833 	242.13 	 126.525 	 -4.305 	
-354 	 -19 	 -803 	242.9 	 138.985 	 0.315 	
-187 	 -75 	 -807 	237.72 	 155.4 	 10.08 	
227 	 -203 	 -823 	225.82 	 179.48 	 28.07 	
731 	 -26 	 -1074 	209.965 	 212.695 	 47.46 	
871 	 843 	 -1357 	181.615 	 248.99 	 61.215 	
273 	 1828 	 -1384 	137.41 	 257.775 	 74.235 	
-228 	 1911 	 -1292 	90.58 	 212.17 	 101.08 	
-472 	 1824 	 -1081 	35.28 	 99.05 	 136.29 	
-145 	 2010 	 -1078 	-26.88 	 -65.1 	 176.12 	
676 	 1953 	 -1680 	-85.12 	 -234.745 	 220.325 	
1863 	 1795 	 -3290 	-144.55 	 -363.44 	 265.335 	
2636 	 1571 	 -4324 	-215.25 	 -411.04 	 305.55 	
2635 	 1365 	 -4419 	-293.405 	 -395.255 	 344.33 	
2319 	 1202 	 -3807 	-367.955 	 -357.875 	 386.295 	
1933 	 1081 	 -3063 	-437.675 	 -339.535 	 426.93 	
1633 	 742 	 -2451 	-506.45 	 -364.105 	 463.12 	
1371 	 226 	 -2200 	-566.965 	 -425.845 	 496.265 	
1353 	 -178 	 -2107 	-620.27 	 -497.735 	 531.23 	
1807 	 -620 	 -1744 	-667.38 	 -554.575 	 563.85 	
2314 	 -1059 	 -1317 	-696.78 	 -576.205 	 583.1 	
2661 	 -1198 	 -1330 	-711.445 	 -557.795 	 586.18 	
3077 	 -2006 	 -1794 	-719.215 	 -494.935 	 578.095 	
3451 	 -3329 	 -2025 	-714.945 	 -381.675 	 551.705 	
3853 	 -4192 	 -2316 	-698.6 	 -227.99 	 500.815 	
3609 	 -4380 	 -1941 	-679.665 	 -58.87 	 421.435 	
3064 	 -4492 	 -920 	-658.245 	 81.445 	 322.945 	
2214 	 -4558 	 272 	-616.805 	 164.08 	 207.76 	
1589 	 -4487 	 771 	-553.315 	 180.74 	 87.045 	
1420 	 -3976 	 908 	-488.46 	 153.615 	 -27.965 	
1865 	 -3623 	 1581 	-424.095 	 112.56 	 -135.03 	
2500 	 -2985 	 1927 	-350.49 	 92.19 	 -239.925 	
2798 	 -2200 	 1797 	-277.2 	 113.75 	 -342.335 	
2607 	 -1617 	 2074 	-211.995 	 171.36 	 -435.75 	
1934 	 -979 	 2752 	-147.245 	 234.5 	 -516.985 	
965 	 -343 	 3269 	-80.465 	 266.595 	 -584.57 	
87 	 277 	 3424 	-20.265 	 248.78 	 -635.775 	
-244 	 857 	 3354 	27.685 	 192.08 	 -667.135 	
-38 	 1270 	 3118 	65.765 	 128.1 	 -683.83 	
156 	 1593 	 2628 	97.37 	 84.455 	 -692.65 	
149 	 1878 	 1980 	120.96 	 69.65 	 -691.495 	
-4 	 1956 	 1639 	135.73 	 78.015 	 -677.635 	
-255 	 1863 	 1557 	148.855 	 92.96 	 -655.445 	
-736 	 1856 	 1377 	163.73 	 100.45 	 -629.195 	
-1299 	 1884 	 1154 	175.315 	 94.255 	 -596.05 	
-1503 	 1761 	 926 	182.91 	 78.19 	 -554.61 	
-1424 	 1593 	 761 	190.435 	 65.695 	 -511.49 	
-1277 	 1437 	 467 	198.905 	 63.245 	 -470.435 	
-1333 	 1294 	 188 	205.73 	 71.12 	 -431.06 	
-1601 	 1103 	 120 	210.385 	 81.2 	 -390.215 	
-1780 	 960 	 125 	215.81 	 84.875 	 -344.575 	
-1597 	 774 	 17 	221.06 	 79.03 	 -298.655 	
-1445 	 649 	 -70 	223.51 	 68.425 	 -260.015 	
-1519 	 591 	 -36 	223.93 	 57.47 	 -223.825 	
-1484 	 586 	 -82 	224.245 	 45.745 	 -184.205 	
-1313 	 586 	 -173 	223.265 	 35.735 	 -145.32 	
-1165 	 574 	 -237 	219.59 	 27.16 	 -110.985 	
-1126 	 609 	 -290 	215.39 	 21.49 	 -79.66 	
-1083 	 649 	 -344 	210.21 	 19.005 	 -48.475 	
-944 	 641 	 -391 	203.385 	 18.48 	 -18.515 	
-807 	 625 	 -417 	195.545 	 19.495 	 7.455 	
-742 	 665 	 -460 	187.075 	 20.965 	 30.03 	
-684 	 682 	 -482 	177.45 	 22.575 	 51.38 	
-565 	 678 	 -507 	167.685 	 24.045 	 71.365 	
-442 	 677 	 -545 	157.85 	 25.76 	 88.305 	
-377 	 684 	 -548 	147.455 	 27.65 	 102.06 	
-333 	 684 	 -511 	137.27 	 30.24 	 114.415 	
-245 	 688 	 -520 	128.17 	 33.845 	 125.825 	
-112 	 665 	 -576 	119.21 	 38.78 	 135.135 	
-4 	 611 	 -584 	110.25 	 45.43 	 141.785 	
58 	 572 	 -556 	102.13 	 52.92 	 146.895 	
110 	 557 	 -559 	95.13 	 59.885 	 151.2 	
154 	 537 	 -561 	88.55 	 65.94 	 154.525 	
197 	 505 	 -544 	82.67 	 70.91 	 156.38 	
232 	 485 	 -517 	77.595 	 75.145 	 157.045 	
267 	 470 	 -505 	73.255 	 79.485 	 156.87 	
319 	 457 	 -498 	69.405 	 83.755 	 156.065 	
355 	 435 	 -477 	66.045 	 88.06 	 154.385 	
365 	 437 	 -449 	63.105 	 92.4 	 151.76 	
380 	 446 	 -445 	60.795 	 95.9 	 149.1 	
380 	 445 	 -427 	58.73 	 99.54 	 146.09 	
403 	 435 	 -446 	56.805 	 102.585 	 142.24 	
394 	 428 	 -442 	55.335 	 106.4 	 138.215 	
403 	 437 	 -445 	54.565 	 110.6 	 134.435 	
433 	 453 	 -428 	53.69 	 115.92 	 129.99 	
419 	 478 	 -406 	53.06 	 123.13 	 124.635 	
388 	 493 	 -412 	52.955 	 132.02 	 119.525 	
394 	 483 	 -442 	52.815 	 142.24 	 115.08 	
400 	 460 	 -455 	52.5 	 153.545 	 110.075 	
381 	 442 	 -457 	52.885 	 165.025 	 104.65 	
352 	 435 	 -458 	53.69 	 175.7 	 99.785 	
333 	 425 	 -451 	54.32 	 185.185 	 95.095 	
302 	 425 	 -431 	55.265 	 193.095 	 90.44 	
262 	 435 	 -414 	56.525 	 199.255 	 86.275 	
229 	 445 	 -406 	57.855 	 203.56 	 82.67 	
191 	 448 	 -396 	59.185 	 206.675 	 79.52 	
155 	 437 	 -405 	60.76 	 208.32 	 76.58 	
123 	 421 	 -427 	62.37 	 209.09 	 73.92 	
66 	 380 	 -447 	63.98 	 209.3 	 71.75 	
9 	 324 	 -447 	65.03 	 209.09 	 69.965 	
-42 	 270 	 -436 	65.52 	 208.705 	 68.95 	
-70 	 235 	 -459 	66.605 	 207.725 	 68.81 	
-121 	 209 	 -529 	67.27 	 205.73 	 68.635 	
-162 	 71 	 -646 	64.96 	 201.355 	 69.72 	
-64 	 -190 	 -846 	58.38 	 193.13 	 77.07 	
358 	 -405 	 -1166 	45.605 	 180.32 	 94.15 	
1023 	 -63 	 -1597 	24.745 	 159.04 	 112.245 	
1449 	 1091 	 -2429 	-3.85 	 126.14 	 126.35 	
1375 	 2161 	 -2129 	-42.07 	 83.79 	 149.24 	
1589 	 2137 	 -988 	-90.265 	 10.185 	 188.23 	
2093 	 1900 	 -1041 	-134.015 	 -94.85 	 225.54 	
1515 	 1989 	 -1831 	-183.68 	 -216.685 	 245.98 	
780 	 1573 	 -2433 	-249.13 	 -340.935 	 280.14 	
1263 	 952 	 -3081 	-313.25 	 -438.13 	 336.35 	
2540 	 675 	 -3829 	-378.315 	 -478.66 	 387.135 	
3093 	 293 	 -3505 	-451.15 	 -465.78 	 413.875 	
2339 	 -27 	 -2661 	-513.205 	 -436.24 	 427.735 	
1217 	 -219 	 -2511 	-564.34 	 -420.805 	 449.47 	
