@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-1.22852, -0.964355, -1.21094, 0.352295, -0.158813, 0.185547, 0.259766, 2.07617, 2.18945, 18.1406, 5.69531, 4.03125, 2, 2, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, down
-0.0965576, -0.411133, 1.19043, 0.0262604, -0.407471, 0.84082, 1.21289, 1.12598, 6.76953, 79.5625, 10.3203, 23.6719, 4, 2, 2, 2, 4, 0, 4, 2, 2, 0, 4, 2, down
-1.0166, -1.03418, -1.37695, 0.340576, 0.0471497, -0.614258, 0.217773, 1.69434, 2.48633, 13.9297, 2.2793, 1.40137, 4, 0, 0, 0, 2, 2, 4, 2, 0, 2, 2, 0, down
-0.536621, -0.413818, 1.56738, -0.0423279, -0.791504, 0.850586, 0.19751, 0.450439, 8.4375, 88.3125, 3.10938, 2.92578, 4, 4, 4, 2, 4, 0, 4, 2, 2, 0, 4, 2, down
-1.15137, -1.01563, -1.3252, 0.224976, -0.138916, -0.881836, 0.173828, 1.63086, 1.5625, 12.7891, 4.09766, 2.50391, 2, 2, 0, 0, 0, 2, 2, 2, 0, 2, 2, 0, down
-0.0785522, -0.304688, 1.25098, -0.475342, -0.804688, 1.37402, 1.26367, 1.04688, 6.53516, 76.5, 7.45313, 23.375, 4, 2, 6, 2, 4, 0, 2, 2, 4, 0, 4, 2, down
-1.14063, -1.0166, -1.36328, -2.21289, -1.06543, -0.188599, 0.306641, 2.28125, 3.7207, 53.125, 7.61719, 5.45703, 4, 2, 2, 0, 0, 2, 4, 4, 0, 2, 2, 0, down
-0.318848, -0.572754, 1.33398, 2.82227, -0.239502, -0.368164, 0.388672, 0.794922, 9.03906, 54.1563, 0.952637, 9.07031, 2, 2, 2, 2, 4, 0, 2, 0, 2, 0, 2, 2, down
-1.12891, -1.09766, -1.22949, -2.43164, -0.914551, 0.641113, 0.310547, 1.63086, 2.83203, 50.5, 7.82031, 7.92578, 4, 2, 2, 0, 0, 2, 2, 4, 0, 0, 2, 0, down
-0.143921, -0.311523, 1.19238, 2.12891, -0.0681152, -0.0792236, 0.466553, 0.913574, 6.14063, 39.3125, 1.01758, 14.0547, 0, 2, 2, 2, 4, 0, 0, 0, 2, 0, 2, 2, down
-1.07813, -1.06543, -0.94043, -3.69336, -1.20313, 0.720215, 0.18457, 1.4043, 6.29688, 56.3125, 5.62891, 5.58984, 2, 2, 2, 2, 4, 2, 2, 4, 0, 2, 2, 0, down
-0.342285, -0.452881, 1.02344, 4.78516, 0.232666, -0.521973, 0.190674, 0.330566, 7.57031, 26.7969, 0.945801, 6.66016, 2, 4, 2, 2, 2, 0, 0, 2, 2, 0, 2, 2, down
0.989258, -0.118225, -0.20874, -3.33203, -0.779785, -1.0293, 2.54883, 4.8125, 4.44141, 35.5625, 21.5938, 63.4375, 4, 4, 2, 2, 2, 0, 6, 2, 0, 2, 2, 2, left
-0.126709, 0.529297, -0.427734, 1.90137, 1.62988, 1.24414, 0.373779, 0.00830078, 0.0151367, 1.21289, 1.24219, 3.3125, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, left
0.912109, -0.208374, -0.0162354, -4.46094, 0.538086, 0.0808105, 1.57813, 4.71875, 6.08203, 32.8125, 25.3281, 36.0313, 4, 4, 2, 2, 2, 2, 6, 2, 0, 0, 4, 4, left
0.227661, 0.541016, -0.0925293, 4.10156, 1.22363, 0.5, 0.704102, 0.0698242, 0.299561, 0.65625, 0.293945, 1.5957, 2, 0, 0, 0, 4, 2, 2, 0, 2, 0, 2, 2, left
0.847656, -0.643555, -1.01563, -3.77539, -0.155273, 2.55664, 0.905273, 2.44336, 3.13672, 42.2813, 16.5313, 18.7188, 4, 2, 2, 0, 2, 2, 4, 4, 0, 0, 2, 2, left
0.418701, 0.939941, 0.463623, 3.81836, 1.22754, -2.66406, 0.378906, 0.522949, 1.93359, 3.23438, 0.954102, 3.68359, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, left
0.712891, -0.251709, -0.987305, -3.4668, -0.0447693, 1.8252, 0.989746, 2.54297, 1.66016, 37.0313, 15.9141, 12.7344, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 4, 0, left
0.317627, 0.934082, 0.359619, 3.33984, 0.390137, -2.16797, 0.686523, 0.650879, 1.61523, 3.21875, 0.652344, 6.19141, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 2, 0, left
0.817383, 0.789551, -0.857422, -0.937012, 1.14648, 1.04492, 2.19141, 1.42188, 0.421875, 14.0234, 20.5625, 5.05469, 4, 2, 0, 0, 0, 0, 4, 2, 0, 0, 2, 0, left
0.0303955, -0.010376, 0.524902, -0.318359, -0.39917, -1.37598, 2.01563, 2.92773, 1.56348, 27.7969, 4.85938, 25.2031, 2, 2, 2, 2, 6, 2, 4, 2, 0, 0, 4, 2, left
0.65918, 0.462891, -0.594238, 1.89844, 1.76855, 0.25, 0.196777, 0.0286865, 0.00390625, 0.214844, 0.214844, 1.70605, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, left
0.918457, -0.0578613, 0.0419922, -4.28906, -0.207886, -0.331299, 0.907227, 3.44727, 5.48828, 35, 11.9609, 24, 4, 4, 2, 2, 2, 2, 4, 2, 0, 2, 4, 2, left
0.228271, 0.660645, -0.427002, 2.46289, 1.1084, -1.04785, 0.100769, 0.0356445, 0.121826, 3.45703, 0.789063, 0.239258, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, left
0.150024, 0.852051, -0.971191, -1.19922, -0.483643, 1.62695, 0.454102, 1.05469, 0.928711, 11.625, 40.2188, 20.7969, 6, 2, 2, 0, 0, 2, 6, 4, 4, 0, 2, 0, left
0.59082, 0.206665, 0.617188, 0.30542, 0.533203, -0.789551, 1.33203, 2.49023, 1.60547, 23.8594, 5.26172, 21.75, 2, 2, 2, 2, 4, 0, 2, 2, 0, 0, 2, 2, left
0.51709, 0.566895, -0.525879, 1.49902, 1.87402, 0.0508118, 0.0192871, 0.00878906, 0.00927734, 0.503906, 0.136719, 0.14624, 6, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, left
0.789063, 0.21521, 0.0439758, -3.48047, -0.383545, -1.55762, 2, 3.63086, 4.22656, 38.0625, 4.82813, 11.9922, 2, 4, 2, 2, 2, 2, 2, 2, 0, 0, 4, 2, left
0.22168, 0.625977, -0.297607, 2.50977, 0.522461, 0.801758, 0.373291, 0.0358887, 0.0446167, 2.25391, 1.77246, 1.04395, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, left
1.08008, 0.0673218, -0.743164, -3.24609, 0.288574, 1.02441, 1.11621, 2.13281, 1.50293, 26.125, 7.66016, 8.28125, 4, 2, 2, 0, 4, 2, 4, 4, 0, 0, 4, 2, left
-0.203247, 0.782227, 0.577148, 3.60742, 0.806641, -1.9834, 0.52832, 0.370117, 1.625, 3.71875, 0.560059, 15.3047, 0, 2, 0, 2, 4, 2, 2, 0, 0, 0, 4, 0, left
0.591309, 0.273438, -1.22949, 0.267334, 1.05469, 1.04102, 0.544922, 0.226807, 1.16602, 12.6719, 6.33203, 3.70117, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0, left
