STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-3 	 189 	 -977 	1.225 	 -7.245 	 -4.305 	
-2 	 200 	 -981 	1.575 	 -7.56 	 0.21 	
-1 	 199 	 -983 	1.68 	 -7.7 	 4.235 	
0 	 192 	 -984 	1.855 	 -7.91 	 7.28 	
9 	 188 	 -988 	2.065 	 -8.015 	 8.925 	
15 	 175 	 -990 	2.17 	 -7.98 	 9.065 	
19 	 152 	 -982 	2.205 	 -7.735 	 7.805 	
29 	 123 	 -977 	2.24 	 -7.49 	 5.04 	
44 	 101 	 -974 	2.485 	 -7.245 	 1.12 	
51 	 89 	 -979 	2.8 	 -6.79 	 -3.535 	
48 	 81 	 -980 	3.15 	 -6.195 	 -8.4 	
46 	 74 	 -978 	3.5 	 -5.67 	 -13.16 	
44 	 80 	 -979 	3.955 	 -5.215 	 -17.255 	
37 	 100 	 -981 	4.305 	 -4.83 	 -20.475 	
32 	 121 	 -980 	4.55 	 -4.515 	 -22.435 	
21 	 137 	 -978 	4.69 	 -4.305 	 -22.925 	
11 	 154 	 -976 	4.76 	 -4.095 	 -21.945 	
0 	 167 	 -975 	4.69 	 -4.06 	 -19.495 	
-15 	 179 	 -969 	4.515 	 -4.2 	 -15.82 	
-20 	 185 	 -970 	4.27 	 -4.445 	 -11.305 	
-21 	 188 	 -973 	3.955 	 -4.795 	 -6.405 	
-20 	 187 	 -982 	3.64 	 -5.005 	 -1.785 	
-18 	 180 	 -986 	3.29 	 -5.25 	 2.24 	
-11 	 168 	 -989 	2.835 	 -5.46 	 5.075 	
0 	 160 	 -992 	2.415 	 -5.53 	 6.44 	
11 	 147 	 -991 	1.925 	 -5.46 	 6.195 	
18 	 132 	 -989 	1.4 	 -5.39 	 4.48 	
25 	 116 	 -990 	0.805 	 -5.11 	 1.505 	
28 	 113 	 -991 	0.49 	 -4.865 	 -2.31 	
30 	 114 	 -990 	0.035 	 -4.48 	 -6.475 	
31 	 105 	 -988 	-0.49 	 -4.06 	 -10.5 	
34 	 106 	 -988 	-0.77 	 -3.745 	 -14.035 	
31 	 118 	 -991 	-0.98 	 -3.395 	 -16.695 	
27 	 132 	 -986 	-1.365 	 -3.08 	 -18.025 	
20 	 141 	 -981 	-1.855 	 -2.975 	 -18.025 	
12 	 152 	 -982 	-2.205 	 -2.87 	 -16.66 	
7 	 168 	 -983 	-2.625 	 -2.765 	 -14 	
-2 	 180 	 -982 	-3.08 	 -2.835 	 -10.255 	
-11 	 184 	 -983 	-3.64 	 -3.08 	 -5.915 	
-10 	 180 	 -986 	-4.06 	 -3.29 	 -1.295 	
-9 	 179 	 -993 	-4.48 	 -3.325 	 2.835 	
-6 	 176 	 -998 	-5.005 	 -3.395 	 6.125 	
-1 	 165 	 -1001 	-5.46 	 -3.5 	 8.365 	
5 	 152 	 -999 	-5.88 	 -3.29 	 9.31 	
10 	 142 	 -998 	-6.265 	 -3.185 	 9.1 	
16 	 131 	 -996 	-6.72 	 -2.975 	 7.875 	
19 	 118 	 -998 	-6.965 	 -2.695 	 5.915 	
23 	 113 	 -999 	-7.21 	 -2.31 	 3.465 	
23 	 115 	 -997 	-7.315 	 -1.925 	 0.84 	
20 	 117 	 -996 	-7.49 	 -1.68 	 -1.61 	
17 	 119 	 -996 	-7.665 	 -1.295 	 -3.64 	
9 	 121 	 -995 	-7.665 	 -1.05 	 -5.145 	
5 	 131 	 -992 	-7.56 	 -0.945 	 -5.915 	
4 	 143 	 -990 	-7.665 	 -0.77 	 -6.16 	
1 	 146 	 -993 	-7.735 	 -0.7 	 -5.705 	
-2 	 153 	 -991 	-7.7 	 -0.525 	 -4.725 	
-7 	 155 	 -991 	-7.595 	 -0.525 	 -3.43 	
-11 	 159 	 -991 	-7.42 	 -0.525 	 -1.995 	
-7 	 158 	 -988 	-7.315 	 -0.49 	 -0.49 	
-3 	 157 	 -982 	-7.21 	 -0.315 	 0.77 	
0 	 152 	 -984 	-7 	 -0.385 	 1.925 	
6 	 135 	 -991 	-6.825 	 -0.35 	 2.87 	
11 	 128 	 -998 	-6.44 	 -0.21 	 3.43 	
16 	 131 	 -1001 	-6.02 	 0.105 	 3.605 	
14 	 134 	 -999 	-5.6 	 0.35 	 3.325 	
16 	 132 	 -997 	-5.285 	 0.63 	 2.59 	
