STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-971 	 -63 	 153 	 26.495 	 -6.58 	 11.34 	
-1038 	 5 	 172 	 31.115 	 -4.935 	 8.12 	
-1061 	 26 	 181 	 35.945 	 -5.215 	 16.45 	
-1074 	 16 	 199 	 40.775 	 -6.265 	 31.395 	
-1113 	 -22 	 214 	 45.605 	 -8.435 	 44.695 	
-1182 	 -124 	 249 	 49.77 	 -12.11 	 49.84 	
-1244 	 -294 	 313 	 51.765 	 -18.27 	 42.245 	
-1316 	 -373 	 359 	 53.2 	 -27.02 	 18.515 	
-1479 	 -500 	 496 	 52.465 	 -38.325 	 -14.0 	
-1622 	 -695 	 752 	 45.64 	 -54.915 	 -45.255 	
-1416 	 -479 	 1014 	 33.95 	 -77.875 	 -80.71 	
-861 	 -261 	 1609 	 11.795 	 -97.685 	 -107.38 	
-405 	 -680 	 2260 	 -24.08 	 -116.445 	 -99.295 	
-372 	 -384 	 2901 	 -68.04 	 -131.705 	 -73.185 	
-543 	 -413 	 3320 	 -132.23 	 -155.54 	 -24.745 	
-1098 	 108 	 3307 	 -210.735 	 -186.865 	 11.41 	
-1614 	 533 	 2631 	 -307.23 	 -235.445 	 35.245 	
-2272 	 1126 	 1379 	 -407.33 	 -272.965 	 53.725 	
-2784 	 1360 	 586 	 -507.885 	 -279.685 	 63.91 	
-2443 	 1493 	 -434 	 -596.19 	 -287.805 	 29.715 	
-1925 	 1335 	 -605 	 -663.425 	 -259.175 	 -30.485 	
-961 	 1416 	 -793 	 -701.645 	 -228.55 	 -76.23 	
-261 	 1743 	 -865 	 -710.29 	 -167.37 	 -53.865 	
523 	 1774 	 -1111 	 -697.27 	 -82.81 	 46.62 	
868 	 1349 	 -1377 	 -665.385 	 37.555 	 183.995 	
668 	 637 	 -1335 	 -614.495 	 173.425 	 302.68 	
335 	 29 	 -1488 	 -543.375 	 298.095 	 365.47 	
-709 	 -208 	 -1208 	 -458.08 	 409.325 	 369.705 	
-1373 	 -206 	 -1188 	 -373.135 	 471.52 	 328.265 	
-2047 	 -29 	 -1151 	 -298.69 	 501.515 	 270.305 	
-2304 	 -23 	 -892 	 -239.575 	 494.48 	 208.18 	
-2196 	 108 	 -704 	 -195.65 	 457.695 	 142.8 	
-2071 	 -30 	 -375 	 -165.97 	 409.605 	 110.39 	
-1724 	 -228 	 -142 	 -139.685 	 352.66 	 101.22 	
-1447 	 -428 	 78 	 -116.55 	 298.585 	 88.55 	
-1274 	 -454 	 227 	 -96.39 	 245.805 	 70.56 	
-1122 	 -380 	 209 	 -79.66 	 196.42 	 65.24 	
-1012 	 -344 	 156 	 -64.505 	 155.295 	 69.44 	
-884 	 -311 	 75 	 -52.85 	 119.28 	 61.145 	
-817 	 -267 	 13 	 -44.835 	 90.3 	 38.36 	
