STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1025 	 206 	 170 	 32.69 	 -0.35 	 28.49 	
-1068 	 261 	 176 	 32.97 	 -3.885 	 29.26 	
-1122 	 298 	 192 	 32.76 	 -8.575 	 35.42 	
-1138 	 310 	 191 	 31.92 	 -14.84 	 44.975 	
-1154 	 307 	 199 	 30.59 	 -21.595 	 53.305 	
-1167 	 295 	 227 	 28.42 	 -29.19 	 56.945 	
-1219 	 262 	 240 	 25.585 	 -37.52 	 56.245 	
-1309 	 198 	 274 	 21.735 	 -46.795 	 52.045 	
-1470 	 -97 	 357 	 16.52 	 -57.505 	 43.61 	
-1627 	 -535 	 416 	 10.535 	 -70.245 	 16.765 	
-1917 	 -920 	 631 	 2.17 	 -81.62 	 -45.955 	
-2130 	 -1381 	 1036 	 -8.085 	 -94.08 	 -150.43 	
-1908 	 -1766 	 1719 	 -20.09 	 -103.005 	 -282.975 	
-1698 	 -1773 	 2635 	 -34.72 	 -98.665 	 -404.32 	
-1215 	 -1048 	 3301 	 -58.59 	 -100.87 	 -519.365 	
-904 	 -263 	 3330 	 -108.99 	 -109.375 	 -596.12 	
-1039 	 820 	 2715 	 -181.23 	 -118.825 	 -591.43 	
-1360 	 2865 	 1963 	 -277.655 	 -123.76 	 -514.325 	
-1201 	 3495 	 373 	 -406.945 	 -125.37 	 -356.265 	
-1006 	 3587 	 -614 	 -539.21 	 -95.375 	 -196.07 	
-473 	 3367 	 -1781 	 -667.03 	 -66.815 	 -77.105 	
-119 	 3145 	 -2686 	 -777.945 	 -13.02 	 3.675 	
-139 	 2465 	 -3407 	 -860.93 	 53.27 	 80.64 	
-453 	 1788 	 -3791 	 -892.955 	 135.38 	 173.075 	
-838 	 504 	 -3636 	 -893.865 	 220.43 	 259.315 	
-1208 	 -454 	 -3150 	 -845.11 	 298.165 	 298.865 	
-1577 	 -1127 	 -2581 	 -760.795 	 355.95 	 299.565 	
-1684 	 -1682 	 -1976 	 -647.185 	 391.23 	 309.26 	
-1800 	 -1995 	 -1359 	 -515.9 	 404.425 	 319.48 	
-1792 	 -2266 	 -680 	 -382.41 	 394.345 	 307.825 	
-1938 	 -2051 	 -380 	 -258.055 	 361.34 	 236.67 	
-1832 	 -1680 	 -156 	 -151.41 	 307.685 	 142.975 	
-1756 	 -981 	 -65 	 -67.76 	 246.505 	 47.985 	
-1647 	 -604 	 71 	 -10.01 	 183.995 	 -16.31 	
-1425 	 -241 	 -17 	 31.5 	 121.485 	 -63.245 	
-1303 	 70 	 -52 	 59.92 	 68.355 	 -90.58 	
-1097 	 218 	 -131 	 78.785 	 20.93 	 -96.67 	
-884 	 286 	 -203 	 91.385 	 -17.255 	 -91.28 	
-675 	 257 	 -282 	 99.085 	 -46.13 	 -84.105 	
-567 	 209 	 -308 	 103.145 	 -65.415 	 -78.365 	
-444 	 162 	 -364 	 104.44 	 -78.085 	 -73.64 	
-408 	 163 	 -386 	 104.23 	 -83.405 	 -69.72 	
-387 	 149 	 -414 	 101.85 	 -84.315 	 -62.3 	
-392 	 155 	 -423 	 98.14 	 -80.92 	 -53.62 	
-411 	 153 	 -449 	 92.82 	 -75.95 	 -45.78 	
-445 	 116 	 -472 	 86.625 	 -69.055 	 -38.22 	
-481 	 61 	 -458 	 80.045 	 -61.495 	 -33.88 	
-505 	 10 	 -467 	 73.325 	 -54.845 	 -34.195 	
-570 	 -26 	 -464 	 66.85 	 -48.055 	 -33.81 	
-600 	 -46 	 -462 	 61.32 	 -42.84 	 -28.28 	
-643 	 -83 	 -453 	 55.825 	 -38.465 	 -18.025 	
-665 	 -132 	 -455 	 50.855 	 -35.49 	 -6.79 	
-690 	 -155 	 -447 	 45.605 	 -32.9 	 0.315 	
-699 	 -185 	 -448 	 39.69 	 -30.765 	 2.03 	
