STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-982 	 312 	 31 	 74.655 	 -30.345 	 -2.835 	
-1024 	 262 	 132 	 77.665 	 -27.825 	 3.71 	
-1039 	 7 	 330 	 79.625 	 -26.18 	 11.97 	
-986 	 -517 	 581 	 79.625 	 -25.27 	 15.96 	
-545 	 -1081 	 927 	 76.265 	 -22.785 	 2.695 	
537 	 -888 	 1723 	 66.745 	 -8.085 	 -48.51 	
956 	 -581 	 2970 	 33.635 	 25.62 	 -110.075 	
1073 	 114 	 3440 	 -22.085 	 23.31 	 -140.035 	
54 	 1359 	 3288 	 -104.825 	 18.76 	 -90.3 	
-1126 	 2061 	 2979 	 -216.335 	 -0.49 	 36.54 	
-1601 	 2493 	 1547 	 -343.455 	 -55.755 	 141.085 	
-2538 	 2364 	 701 	 -483.14 	 -75.25 	 196.91 	
-2844 	 2342 	 -519 	 -612.85 	 -113.26 	 204.575 	
-2860 	 1903 	 -1508 	 -723.415 	 -130.725 	 181.58 	
-2593 	 1188 	 -1804 	 -804.23 	 -142.905 	 105.42 	
-1719 	 428 	 -2016 	 -835.94 	 -154.805 	 -25.795 	
-1409 	 88 	 -1199 	 -813.75 	 -147.035 	 -158.27 	
-611 	 -144 	 -519 	 -754.46 	 -148.575 	 -216.615 	
270 	 -22 	 -381 	 -657.37 	 -119.665 	 -191.765 	
611 	 58 	 -110 	 -543.795 	 -54.985 	 -110.32 	
896 	 -66 	 -204 	 -426.16 	 22.715 	 -2.03 	
460 	 -110 	 -202 	 -306.88 	 115.535 	 99.015 	
-249 	 -145 	 -225 	 -194.355 	 192.885 	 164.325 	
-1099 	 0 	 -193 	 -94.64 	 247.03 	 184.695 	
-1631 	 -16 	 -259 	 -16.87 	 268.38 	 163.38 	
-1975 	 182 	 -289 	 39.76 	 265.16 	 104.37 	
-2063 	 284 	 -268 	 71.96 	 241.36 	 35.805 	
-2059 	 401 	 -163 	 88.445 	 206.815 	 -13.335 	
-1787 	 118 	 5 	 91.595 	 165.025 	 -27.65 	
-1461 	 -46 	 157 	 91.175 	 122.64 	 -31.15 	
-1183 	 -196 	 222 	 84.98 	 82.18 	 -35.42 	
-1062 	 -162 	 258 	 76.72 	 47.25 	 -38.01 	
-955 	 -108 	 237 	 65.975 	 16.625 	 -33.075 	
-949 	 -92 	 232 	 53.795 	 -7.63 	 -24.815 	
-927 	 -172 	 226 	 39.865 	 -27.51 	 -20.58 	
-803 	 -220 	 161 	 26.81 	 -41.79 	 -31.045 	
-738 	 -115 	 133 	 15.505 	 -48.895 	 -51.345 	
-685 	 -47 	 107 	 4.585 	 -51.1 	 -59.29 	
-627 	 18 	 104 	 -3.08 	 -48.72 	 -49.77 	
-537 	 -45 	 64 	 -8.785 	 -42.42 	 -32.2 	
-525 	 -135 	 104 	 -11.725 	 -31.36 	 -19.425 	
-520 	 -192 	 117 	 -13.265 	 -20.02 	 -14.84 	
-589 	 -186 	 102 	 -12.495 	 -7.07 	 -11.795 	
-698 	 -117 	 104 	 -10.325 	 5.565 	 -4.235 	
-774 	 -117 	 77 	 -8.645 	 16.135 	 7.56 	
-840 	 -88 	 55 	 -6.93 	 25.55 	 15.96 	
-894 	 -81 	 63 	 -6.72 	 33.285 	 18.795 	
-911 	 -50 	 52 	 -7.28 	 38.78 	 18.795 	
-945 	 -9 	 51 	 -8.33 	 43.33 	 21.525 	
