STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1111 	 93 	 419 	 14.035 	 -48.93 	 69.72 	
-1060 	 -243 	 536 	 6.02 	 -54.46 	 77.07 	
-747 	 -631 	 823 	 -5.32 	 -57.225 	 69.37 	
-58 	 -830 	 1333 	 -20.72 	 -52.815 	 30.905 	
439 	 -1165 	 2169 	 -45.325 	 -37.695 	 -21.595 	
271 	 -999 	 2748 	 -77.105 	 -25.34 	 -54.11 	
-467 	 -469 	 3031 	 -119.7 	 -21.35 	 -36.33 	
-1683 	 152 	 3097 	 -177.765 	 -25.725 	 8.715 	
-2566 	 902 	 2564 	 -255.85 	 -60.165 	 22.96 	
-3277 	 1614 	 1505 	 -348.985 	 -102.69 	 -9.59 	
-3736 	 2032 	 759 	 -444.15 	 -131.39 	 -51.1 	
-3045 	 2227 	 -266 	 -535.36 	 -169.75 	 -97.125 	
-2134 	 1748 	 -509 	 -610.435 	 -172.9 	 -146.86 	
-1166 	 1598 	 -482 	 -657.545 	 -171.885 	 -206.71 	
-305 	 1503 	 -611 	 -675.5 	 -153.895 	 -222.145 	
226 	 1539 	 -602 	 -667.8 	 -107.975 	 -162.085 	
841 	 1095 	 -859 	 -639.345 	 -34.265 	 -48.405 	
949 	 516 	 -700 	 -593.425 	 72.205 	 48.895 	
937 	 193 	 -727 	 -533.015 	 178.955 	 106.855 	
377 	 189 	 -826 	 -459.725 	 288.505 	 162.68 	
-276 	 175 	 -882 	 -380.555 	 382.13 	 228.795 	
-818 	 391 	 -1022 	 -298.445 	 451.99 	 281.785 	
-1452 	 537 	 -1050 	 -224.105 	 497.455 	 313.32 	
-1832 	 703 	 -1052 	 -160.23 	 514.955 	 323.855 	
-2035 	 790 	 -977 	 -112.245 	 509.25 	 311.675 	
-1953 	 803 	 -947 	 -79.59 	 485.205 	 275.87 	
-1901 	 894 	 -809 	 -60.235 	 453.88 	 226.905 	
-1807 	 797 	 -618 	 -53.235 	 415.275 	 188.86 	
-1691 	 607 	 -476 	 -50.645 	 374.92 	 168.875 	
-1560 	 406 	 -310 	 -47.635 	 335.37 	 159.18 	
-1450 	 179 	 -208 	 -44.065 	 295.715 	 155.33 	
-1400 	 -87 	 -173 	 -37.905 	 258.51 	 161.35 	
-1379 	 -288 	 -134 	 -28.49 	 224.56 	 166.46 	
-1308 	 -458 	 -134 	 -18.9 	 192.115 	 156.87 	
-1241 	 -549 	 -131 	 -9.555 	 162.75 	 127.68 	
-1126 	 -542 	 -169 	 -1.75 	 135.94 	 83.615 	
-1028 	 -492 	 -195 	 4.375 	 113.61 	 36.295 	
-932 	 -399 	 -218 	 9.415 	 94.675 	 -5.285 	
-839 	 -250 	 -233 	 14.175 	 78.505 	 -35.875 	
-770 	 -129 	 -275 	 18.165 	 64.96 	 -50.68 	
-712 	 -30 	 -305 	 21.77 	 53.935 	 -50.54 	
-695 	 24 	 -321 	 24.605 	 44.52 	 -41.755 	
-632 	 32 	 -371 	 26.705 	 35.7 	 -33.075 	
-619 	 40 	 -390 	 27.475 	 29.435 	 -31.99 	
