STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1085 	 98 	 14 	 34.58 	 5.39 	 55.37 	
-1106 	 139 	 31 	 36.12 	 -0.21 	 53.9 	
-1101 	 175 	 33 	 37.905 	 -6.93 	 58.52 	
-1095 	 186 	 40 	 39.375 	 -13.755 	 66.255 	
-1097 	 166 	 54 	 40.425 	 -21.14 	 72.87 	
-1105 	 140 	 68 	 41.02 	 -29.4 	 74.34 	
-1116 	 82 	 62 	 41.125 	 -38.745 	 68.95 	
-1180 	 29 	 75 	 40.635 	 -48.37 	 54.775 	
-1220 	 -171 	 127 	 38.08 	 -60.69 	 31.22 	
-1260 	 -244 	 111 	 35.595 	 -74.655 	 -11.62 	
-1372 	 -224 	 126 	 30.485 	 -89.845 	 -78.995 	
-1599 	 -242 	 283 	 21.49 	 -108.29 	 -159.25 	
-1760 	 -78 	 370 	 11.165 	 -132.895 	 -236.95 	
-1710 	 -227 	 689 	 -1.54 	 -157.85 	 -289.275 	
-1044 	 -668 	 1374 	 -14.21 	 -180.705 	 -305.06 	
-58 	 -1059 	 2308 	 -31.045 	 -193.165 	 -284.025 	
268 	 -966 	 3286 	 -53.375 	 -193.305 	 -222.32 	
-51 	 -498 	 3672 	 -99.575 	 -207.515 	 -129.99 	
-522 	 99 	 3042 	 -174.44 	 -235.76 	 -44.555 	
-1198 	 1110 	 1997 	 -270.305 	 -254.73 	 -11.27 	
-2015 	 1959 	 795 	 -388.78 	 -261.31 	 -7.035 	
-2377 	 2491 	 -313 	 -511.525 	 -254.73 	 0.175 	
-2001 	 2604 	 -1328 	 -624.645 	 -237.02 	 9.45 	
-1398 	 2362 	 -1956 	 -716.135 	 -193.13 	 20.755 	
-784 	 2301 	 -2166 	 -777.28 	 -123.865 	 39.865 	
41 	 1830 	 -2452 	 -808.885 	 -31.395 	 84.35 	
748 	 1649 	 -2450 	 -792.82 	 96.32 	 144.585 	
855 	 1199 	 -2642 	 -752.745 	 233.905 	 233.31 	
402 	 628 	 -2675 	 -666.61 	 382.06 	 376.53 	
-737 	 -85 	 -2298 	 -544.39 	 517.16 	 500.92 	
-1723 	 -735 	 -1951 	 -404.81 	 604.38 	 526.96 	
-2660 	 -752 	 -1520 	 -263.55 	 635.635 	 443.135 	
-3175 	 -306 	 -1144 	 -147.105 	 603.435 	 317.52 	
-3182 	 114 	 -768 	 -64.05 	 528.815 	 229.635 	
-2904 	 -22 	 -340 	 -8.75 	 432.88 	 184.205 	
-2557 	 -399 	 24 	 30.135 	 328.195 	 150.92 	
-2222 	 -751 	 238 	 56.105 	 222.565 	 112.245 	
-1951 	 -848 	 280 	 73.71 	 124.95 	 57.75 	
-1774 	 -739 	 300 	 85.225 	 37.695 	 3.29 	
-1451 	 -580 	 155 	 92.82 	 -35.56 	 -35.175 	
-1189 	 -458 	 107 	 96.67 	 -90.825 	 -60.48 	
-819 	 -278 	 -42 	 97.93 	 -132.965 	 -84.56 	
-593 	 -87 	 -154 	 97.265 	 -156.73 	 -103.74 	
-378 	 177 	 -280 	 94.605 	 -167.685 	 -114.345 	
-343 	 365 	 -335 	 88.725 	 -165.655 	 -107.87 	
-316 	 435 	 -396 	 81.935 	 -156.66 	 -85.96 	
-321 	 386 	 -415 	 73.115 	 -141.785 	 -60.515 	
-362 	 225 	 -386 	 63.42 	 -123.445 	 -41.44 	
-392 	 140 	 -383 	 54.845 	 -104.16 	 -36.715 	
-482 	 102 	 -367 	 46.97 	 -83.055 	 -36.925 	
-546 	 142 	 -383 	 40.495 	 -64.05 	 -30.625 	
-633 	 149 	 -396 	 33.985 	 -45.745 	 -13.335 	
-705 	 148 	 -394 	 28.21 	 -30.45 	 7.525 	
-742 	 118 	 -414 	 21.805 	 -17.815 	 23.485 	
