STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1014 	 161 	 231 	 14.875 	 -11.62 	 20.755 	
-1054 	 192 	 263 	 14.91 	 -14.945 	 32.795 	
-1110 	 74 	 371 	 13.195 	 -19.845 	 48.3 	
-1199 	 -305 	 496 	 9.625 	 -27.685 	 56.28 	
-1073 	 -796 	 696 	 3.815 	 -39.13 	 35.56 	
-386 	 -1162 	 1000 	 -9.485 	 -51.87 	 -34.23 	
484 	 -571 	 1436 	 -29.435 	 -63.0 	 -153.37 	
369 	 -47 	 1978 	 -61.11 	 -70.945 	 -204.96 	
-182 	 542 	 2395 	 -103.285 	 -93.205 	 -112.42 	
-848 	 612 	 2502 	 -160.09 	 -125.3 	 80.08 	
-1371 	 492 	 2041 	 -239.61 	 -176.785 	 201.39 	
-2323 	 753 	 1314 	 -332.815 	 -222.67 	 202.02 	
-3033 	 1104 	 524 	 -427.315 	 -270.97 	 153.3 	
-3347 	 1173 	 -90 	 -516.635 	 -310.59 	 107.17 	
-2794 	 703 	 -503 	 -584.535 	 -343.455 	 49.945 	
-2166 	 416 	 -467 	 -618.52 	 -354.55 	 -42.91 	
-1322 	 43 	 -292 	 -615.615 	 -351.33 	 -117.355 	
-407 	 -14 	 -122 	 -575.575 	 -319.095 	 -147.805 	
309 	 205 	 79 	 -519.61 	 -256.76 	 -133.28 	
1092 	 624 	 -317 	 -455.49 	 -173.6 	 -69.09 	
1257 	 779 	 -627 	 -394.03 	 -53.2 	 40.355 	
1251 	 745 	 -860 	 -331.835 	 74.34 	 150.22 	
876 	 648 	 -952 	 -272.02 	 198.94 	 226.31 	
112 	 344 	 -767 	 -214.375 	 307.895 	 280.105 	
-529 	 92 	 -706 	 -158.375 	 387.24 	 304.22 	
-1341 	 -30 	 -538 	 -105.42 	 438.445 	 294.945 	
-1926 	 22 	 -439 	 -63.315 	 453.11 	 260.54 	
-2386 	 20 	 -306 	 -36.05 	 440.895 	 221.865 	
-2448 	 -146 	 -187 	 -24.22 	 403.83 	 180.145 	
-2434 	 -300 	 38 	 -21.84 	 354.235 	 133.315 	
-2108 	 -513 	 99 	 -27.195 	 290.36 	 89.215 	
-1915 	 -626 	 191 	 -34.055 	 231.245 	 57.015 	
-1631 	 -720 	 262 	 -40.6 	 170.415 	 34.685 	
-1382 	 -688 	 218 	 -43.995 	 115.85 	 19.075 	
-1192 	 -681 	 238 	 -45.5 	 70.84 	 9.205 	
-946 	 -587 	 157 	 -44.765 	 31.955 	 -2.625 	
-830 	 -426 	 114 	 -42.49 	 5.635 	 -12.495 	
