STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1076 	 80 	 23 	 26.985 	 -15.96 	 6.335 	
-1095 	 141 	 26 	 30.17 	 -18.375 	 10.955 	
-1103 	 179 	 15 	 33.46 	 -21.49 	 21.385 	
-1116 	 213 	 37 	 36.925 	 -24.955 	 35.49 	
-1103 	 204 	 61 	 40.04 	 -29.435 	 50.54 	
-1184 	 62 	 147 	 43.05 	 -34.055 	 63.875 	
-1242 	 -402 	 258 	 44.38 	 -41.44 	 66.885 	
-1318 	 -819 	 391 	 46.095 	 -48.58 	 37.415 	
-1337 	 -1187 	 840 	 44.52 	 -55.23 	 -32.62 	
-751 	 -1664 	 1704 	 36.68 	 -62.58 	 -124.88 	
-209 	 -1990 	 2889 	 26.6 	 -50.855 	 -187.67 	
-1086 	 -1939 	 4624 	 -0.42 	 -21.35 	 -185.71 	
-1479 	 -1083 	 4532 	 -55.405 	 -82.075 	 -168.805 	
-2273 	 -34 	 3585 	 -154.56 	 -125.475 	 -178.185 	
-3264 	 1532 	 2277 	 -278.635 	 -176.82 	 -195.86 	
-3615 	 2673 	 658 	 -428.575 	 -235.34 	 -177.1 	
-2829 	 3197 	 -1014 	 -585.445 	 -260.225 	 -114.555 	
-1671 	 3106 	 -2120 	 -735.07 	 -237.405 	 -48.3 	
-151 	 2434 	 -2774 	 -854.945 	 -180.25 	 -9.695 	
813 	 2348 	 -2808 	 -931.105 	 -78.645 	 -10.675 	
1524 	 2183 	 -2986 	 -966.56 	 43.4 	 26.355 	
1241 	 2183 	 -3212 	 -960.085 	 193.2 	 131.25 	
689 	 966 	 -3246 	 -912.31 	 354.27 	 282.905 	
-341 	 385 	 -3185 	 -815.57 	 504.525 	 358.225 	
-1635 	 -364 	 -2837 	 -694.085 	 614.67 	 376.775 	
-2611 	 -423 	 -2209 	 -554.365 	 661.99 	 350.595 	
-3100 	 -604 	 -1614 	 -425.845 	 645.365 	 296.205 	
-3295 	 -625 	 -886 	 -305.13 	 577.605 	 213.85 	
-3507 	 -780 	 -82 	 -203.945 	 473.095 	 152.285 	
-3125 	 -1520 	 588 	 -116.76 	 346.57 	 139.965 	
-2694 	 -1892 	 831 	 -36.435 	 208.565 	 79.8 	
-2299 	 -1863 	 813 	 34.09 	 74.725 	 -13.65 	
-1772 	 -1311 	 538 	 96.635 	 -42.035 	 -96.075 	
-1220 	 -930 	 276 	 147.175 	 -126.525 	 -148.4 	
-806 	 -413 	 -27 	 189.245 	 -182.525 	 -188.44 	
-387 	 30 	 -310 	 218.225 	 -210.105 	 -212.275 	
-204 	 481 	 -526 	 235.095 	 -213.64 	 -220.29 	
-61 	 842 	 -660 	 239.05 	 -202.125 	 -196.0 	
4 	 956 	 -753 	 229.88 	 -180.6 	 -152.81 	
-67 	 946 	 -686 	 211.12 	 -154.525 	 -110.53 	
-112 	 724 	 -647 	 183.33 	 -129.885 	 -80.255 	
-233 	 588 	 -635 	 153.475 	 -105.595 	 -69.545 	
-357 	 475 	 -624 	 122.255 	 -82.565 	 -65.345 	
-488 	 394 	 -590 	 92.68 	 -62.23 	 -55.3 	
-537 	 297 	 -585 	 65.065 	 -46.445 	 -37.52 	
-555 	 151 	 -540 	 40.915 	 -32.48 	 -16.345 	
-469 	 52 	 -512 	 19.67 	 -20.825 	 0.84 	
-475 	 -15 	 -451 	 1.155 	 -8.75 	 16.555 	
-476 	 -43 	 -467 	 -13.755 	 0.945 	 31.955 	
-599 	 -76 	 -444 	 -26.74 	 11.55 	 42.665 	
-661 	 -159 	 -480 	 -38.325 	 18.865 	 43.05 	
-774 	 -148 	 -498 	 -46.48 	 24.99 	 35.28 	
-864 	 -130 	 -511 	 -52.955 	 28.175 	 30.8 	
