STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1097 	 126 	 163 	 71.925 	 -26.18 	 61.005 	
-968 	 87 	 93 	 73.71 	 -33.04 	 67.06 	
-1085 	 170 	 191 	 75.53 	 -35.91 	 71.575 	
-1097 	 169 	 145 	 75.145 	 -43.47 	 78.89 	
-1179 	 125 	 234 	 73.535 	 -49.98 	 82.95 	
-1266 	 -61 	 360 	 69.86 	 -58.31 	 79.24 	
-1310 	 -348 	 565 	 64.33 	 -67.41 	 61.425 	
-1424 	 -826 	 850 	 54.6 	 -75.81 	 28.315 	
-1100 	 -1248 	 1225 	 40.81 	 -83.055 	 -35.175 	
-607 	 -828 	 1945 	 21.175 	 -80.745 	 -155.68 	
213 	 -834 	 2818 	 -18.76 	 -74.9 	 -266.525 	
-106 	 -235 	 3697 	 -68.425 	 -55.16 	 -292.495 	
-34 	 815 	 3769 	 -142.835 	 -79.695 	 -227.29 	
-131 	 1783 	 2675 	 -245.42 	 -111.37 	 -115.22 	
-637 	 2611 	 1753 	 -371.28 	 -110.6 	 -7.07 	
-1496 	 3221 	 -27 	 -513.485 	 -115.22 	 74.095 	
-1974 	 3183 	 -1606 	 -650.09 	 -96.565 	 149.835 	
-2078 	 2815 	 -2554 	 -773.92 	 -66.85 	 174.37 	
-1607 	 2114 	 -3164 	 -865.55 	 -31.43 	 143.395 	
-1222 	 1427 	 -3119 	 -906.885 	 20.335 	 94.115 	
-796 	 715 	 -2595 	 -898.59 	 80.57 	 77.63 	
-103 	 -48 	 -2013 	 -851.445 	 148.295 	 82.075 	
123 	 -531 	 -1840 	 -759.885 	 222.81 	 102.165 	
122 	 -794 	 -1526 	 -622.65 	 303.94 	 191.31 	
-639 	 -1433 	 -967 	 -467.32 	 386.54 	 315.49 	
-1248 	 -1968 	 -740 	 -297.885 	 436.275 	 373.205 	
-2110 	 -1916 	 -373 	 -135.52 	 451.675 	 317.1 	
-2528 	 -1639 	 -310 	 -3.325 	 417.13 	 191.31 	
-2737 	 -620 	 -366 	 94.605 	 349.44 	 56.175 	
-2704 	 -280 	 -274 	 150.57 	 272.37 	 -9.8 	
-2313 	 -282 	 -163 	 182.805 	 189.63 	 -56.56 	
-1968 	 -258 	 10 	 194.39 	 109.34 	 -111.125 	
-1643 	 -131 	 28 	 194.11 	 34.335 	 -143.85 	
-1360 	 133 	 -39 	 187.6 	 -28.595 	 -145.075 	
-1112 	 227 	 -72 	 174.405 	 -79.45 	 -122.675 	
-892 	 299 	 -143 	 156.1 	 -120.295 	 -104.125 	
-768 	 302 	 -196 	 134.015 	 -148.47 	 -92.155 	
-696 	 319 	 -220 	 111.475 	 -165.375 	 -81.585 	
-606 	 218 	 -231 	 88.095 	 -172.585 	 -71.96 	
-439 	 174 	 -271 	 68.145 	 -170.8 	 -71.68 	
-336 	 122 	 -237 	 51.03 	 -159.215 	 -73.22 	
-312 	 74 	 -179 	 38.395 	 -141.54 	 -64.54 	
-326 	 -51 	 -142 	 28.77 	 -120.26 	 -43.05 	
-379 	 -172 	 -108 	 23.065 	 -97.16 	 -21.945 	
-401 	 -192 	 -145 	 19.425 	 -73.99 	 -11.97 	
-534 	 -189 	 -123 	 16.835 	 -49.77 	 -4.97 	
-575 	 -157 	 -135 	 15.68 	 -29.365 	 3.99 	
-647 	 -147 	 -122 	 13.51 	 -9.94 	 11.41 	
-681 	 -133 	 -136 	 10.71 	 5.6 	 14.035 	
-751 	 -78 	 -161 	 7.385 	 18.585 	 15.785 	
-833 	 -57 	 -149 	 3.535 	 28.21 	 21.455 	
