STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-1227 	 527 	 -11 	 44.835 	 -45.605 	 36.26 	
-1226 	 505 	 55 	 46.305 	 -45.325 	 19.705 	
-1244 	 521 	 109 	 47.705 	 -45.955 	 3.955 	
-1292 	 582 	 183 	 48.755 	 -47.495 	 -5.53 	
-1410 	 599 	 286 	 48.65 	 -50.785 	 -3.29 	
-1554 	 450 	 420 	 46.585 	 -57.155 	 8.645 	
-1796 	 29 	 638 	 40.985 	 -65.625 	 15.4 	
-1870 	 -343 	 907 	 29.435 	 -79.59 	 -9.065 	
-1777 	 365 	 1029 	 11.095 	 -101.675 	 -90.755 	
-1877 	 449 	 1350 	 -19.425 	 -122.955 	 -158.83 	
-1978 	 -17 	 2128 	 -54.74 	 -135.87 	 -159.355 	
-1468 	 -1184 	 3212 	 -92.855 	 -148.435 	 -108.43 	
-1052 	 -2341 	 4645 	 -132.965 	 -150.64 	 -61.285 	
-1811 	 -2769 	 5527 	 -188.335 	 -177.73 	 -36.75 	
-1915 	 -1624 	 4332 	 -253.855 	 -234.36 	 -65.765 	
-2687 	 -152 	 3566 	 -345.275 	 -243.775 	 -136.78 	
-2579 	 1223 	 2738 	 -455.735 	 -275.17 	 -217.35 	
-2239 	 2745 	 1777 	 -571.375 	 -317.625 	 -271.845 	
-1634 	 3937 	 670 	 -688.765 	 -350.35 	 -265.685 	
-677 	 4722 	 -430 	 -791.875 	 -336.63 	 -201.95 	
-56 	 4908 	 -876 	 -871.29 	 -291.935 	 -114.765 	
971 	 4792 	 -1320 	 -918.505 	 -236.6 	 -14.455 	
1205 	 3958 	 -1142 	 -931.245 	 -126.735 	 143.08 	
1150 	 2361 	 -936 	 -905.73 	 3.675 	 311.745 	
900 	 651 	 -840 	 -832.72 	 152.075 	 391.16 	
-448 	 -369 	 -54 	 -723.03 	 296.905 	 338.31 	
-1025 	 -425 	 57 	 -599.095 	 371.14 	 207.865 	
-1668 	 214 	 265 	 -475.93 	 411.32 	 102.445 	
-1458 	 905 	 145 	 -369.075 	 405.93 	 65.45 	
-1317 	 1334 	 82 	 -279.79 	 389.585 	 82.705 	
-1065 	 1224 	 97 	 -206.605 	 359.03 	 118.65 	
-929 	 992 	 110 	 -145.635 	 323.26 	 135.485 	
-1037 	 629 	 229 	 -97.3 	 283.395 	 131.005 	
-1190 	 417 	 262 	 -58.205 	 239.155 	 122.36 	
-1334 	 10 	 220 	 -26.04 	 193.55 	 124.495 	
-1413 	 -215 	 165 	 4.9 	 149.52 	 117.635 	
-1412 	 -422 	 104 	 27.895 	 107.065 	 93.31 	
-1340 	 -539 	 47 	 48.405 	 68.81 	 63.84 	
-1232 	 -630 	 30 	 63.98 	 36.785 	 39.9 	
-1058 	 -705 	 -50 	 75.705 	 10.22 	 19.495 	
-962 	 -570 	 -84 	 85.295 	 -7.35 	 -0.84 	
-781 	 -407 	 -175 	 88.41 	 -19.845 	 -18.41 	
-750 	 -155 	 -207 	 87.185 	 -25.375 	 -30.485 	
