STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-6 	 -673 	 -749 	-0.595 	 -10.115 	 -4.655 	
-6 	 -667 	 -754 	-0.105 	 -10.185 	 -3.115 	
-8 	 -667 	 -756 	0.245 	 -10.185 	 -2.1 	
-9 	 -675 	 -757 	0.42 	 -10.15 	 -2.275 	
-6 	 -682 	 -752 	0.49 	 -9.975 	 -3.64 	
-1 	 -688 	 -749 	0.56 	 -9.87 	 -5.355 	
2 	 -677 	 -748 	0.77 	 -9.59 	 -6.44 	
7 	 -671 	 -747 	0.875 	 -9.345 	 -6.125 	
16 	 -662 	 -749 	0.945 	 -9.065 	 -4.55 	
16 	 -659 	 -753 	0.875 	 -8.61 	 -2.38 	
13 	 -651 	 -761 	0.735 	 -8.155 	 -0.7 	
13 	 -661 	 -763 	0.315 	 -7.665 	 -0.315 	
10 	 -674 	 -760 	-0.035 	 -7.175 	 -1.26 	
1 	 -677 	 -759 	-0.35 	 -6.685 	 -2.695 	
-9 	 -677 	 -762 	-0.49 	 -6.37 	 -3.5 	
-15 	 -681 	 -767 	-0.42 	 -6.265 	 -3.22 	
-21 	 -688 	 -771 	-0.14 	 -6.195 	 -2.17 	
-29 	 -692 	 -778 	0.28 	 -6.335 	 -0.665 	
-37 	 -701 	 -789 	0.77 	 -6.44 	 1.015 	
-43 	 -710 	 -800 	1.4 	 -6.615 	 2.1 	
-49 	 -725 	 -814 	2.24 	 -6.93 	 2.24 	
-52 	 -756 	 -822 	3.115 	 -7.175 	 1.47 	
-54 	 -770 	 -836 	4.515 	 -7.63 	 0.21 	
-61 	 -783 	 -851 	6.195 	 -7.98 	 -0.525 	
-68 	 -804 	 -871 	8.26 	 -8.54 	 -0.105 	
-67 	 -803 	 -894 	10.64 	 -9.1 	 0.875 	
-79 	 -819 	 -917 	13.055 	 -9.485 	 2.66 	
-70 	 -827 	 -933 	16.17 	 -10.15 	 5.04 	
-86 	 -805 	 -942 	19.285 	 -10.535 	 7.035 	
-91 	 -816 	 -946 	22.19 	 -11.06 	 10.045 	
-105 	 -804 	 -942 	25.585 	 -11.62 	 11.935 	
-108 	 -822 	 -942 	28.91 	 -12.425 	 12.915 	
-105 	 -830 	 -936 	32.48 	 -13.055 	 11.725 	
-101 	 -830 	 -928 	36.33 	 -13.685 	 9.38 	
-85 	 -837 	 -917 	40.355 	 -14.21 	 7.07 	
-72 	 -834 	 -891 	44.765 	 -14.455 	 5.6 	
-53 	 -821 	 -866 	49.245 	 -14.665 	 5.285 	
-37 	 -813 	 -842 	53.795 	 -14.665 	 6.475 	
-23 	 -807 	 -822 	58.275 	 -14.525 	 8.47 	
-16 	 -804 	 -802 	62.58 	 -14.315 	 10.78 	
-11 	 -802 	 -783 	66.675 	 -14.105 	 12.67 	
-7 	 -816 	 -762 	70.385 	 -13.86 	 13.965 	
6 	 -834 	 -744 	73.815 	 -13.51 	 14.315 	
12 	 -823 	 -730 	77 	 -13.055 	 13.58 	
5 	 -810 	 -717 	79.625 	 -12.53 	 13.23 	
-4 	 -732 	 -706 	81.55 	 -12.005 	 14.805 	
-20 	 -843 	 -682 	81.865 	 -11.655 	 19.81 	
-9 	 -749 	 -690 	84.455 	 -12.495 	 18.445 	
-51 	 -764 	 -679 	83.895 	 -12.18 	 20.72 	
-27 	 -801 	 -688 	83.755 	 -13.125 	 20.335 	
-52 	 -777 	 -676 	83.3 	 -13.3 	 17.92 	
-41 	 -787 	 -674 	82.215 	 -14.175 	 16.17 	
-57 	 -781 	 -660 	81.305 	 -14.735 	 13.405 	
-48 	 -802 	 -632 	80.36 	 -15.61 	 10.71 	
-52 	 -829 	 -598 	79.73 	 -16.38 	 8.085 	
-48 	 -844 	 -566 	79.625 	 -17.325 	 5.46 	
-42 	 -870 	 -536 	79.975 	 -18.27 	 3.43 	
-32 	 -893 	 -504 	80.92 	 -19.215 	 1.26 	
-15 	 -929 	 -474 	82.355 	 -20.09 	 -0.91 	
5 	 -976 	 -449 	84.385 	 -20.685 	 -3.465 	
31 	 -1045 	 -419 	87.5 	 -21.105 	 -8.05 	
55 	 -1095 	 -387 	92.05 	 -21.315 	 -16.59 	
99 	 -1035 	 -363 	96.285 	 -20.58 	 -24.5 	
115 	 -1197 	 -324 	100.1 	 -18.76 	 -29.295 	
188 	 -1160 	 -311 	107.03 	 -17.64 	 -40.53 	
212 	 -1185 	 -274 	112.945 	 -14.28 	 -47.32 	
