STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-931 	 90 	 -481 	-36.575 	 55.51 	 61.005 	
-918 	 81 	 -491 	-37.835 	 61.075 	 68.495 	
-898 	 62 	 -498 	-37.975 	 66.675 	 74.235 	
-881 	 65 	 -505 	-36.68 	 72.625 	 78.225 	
-864 	 62 	 -495 	-34.265 	 78.61 	 82.04 	
-869 	 65 	 -491 	-30.205 	 84.49 	 87.01 	
-878 	 69 	 -498 	-24.78 	 89.845 	 92.575 	
-887 	 74 	 -497 	-18.375 	 94.5 	 97.44 	
-898 	 93 	 -515 	-11.06 	 98.07 	 100.905 	
-897 	 97 	 -533 	-2.8 	 100.87 	 103.145 	
-911 	 85 	 -520 	5.67 	 102.76 	 104.545 	
-914 	 88 	 -517 	14.665 	 102.55 	 104.615 	
-925 	 99 	 -530 	23.975 	 101.395 	 103.075 	
-938 	 98 	 -529 	33.04 	 98.91 	 99.33 	
-936 	 101 	 -540 	41.825 	 94.675 	 92.89 	
-947 	 101 	 -551 	50.645 	 89.81 	 84.63 	
-938 	 95 	 -533 	59.15 	 83.58 	 75.705 	
-921 	 99 	 -530 	67.55 	 76.405 	 67.34 	
-913 	 124 	 -534 	76.125 	 68.705 	 62.09 	
-932 	 158 	 -532 	84.56 	 60.55 	 61.845 	
-919 	 168 	 -540 	92.68 	 51.275 	 65.625 	
-903 	 183 	 -552 	100.03 	 41.86 	 69.02 	
-885 	 159 	 -563 	106.085 	 32.34 	 69.44 	
-872 	 153 	 -574 	111.125 	 22.61 	 65.695 	
-865 	 136 	 -599 	115.045 	 12.81 	 58.905 	
-866 	 133 	 -613 	118.02 	 3.535 	 48.615 	
-855 	 113 	 -617 	120.05 	 -5.565 	 35.665 	
-848 	 117 	 -627 	121.415 	 -14.35 	 22.085 	
-846 	 167 	 -614 	122.64 	 -22.505 	 11.585 	
-878 	 185 	 -626 	123.305 	 -30.59 	 8.995 	
-876 	 185 	 -620 	124.355 	 -38.78 	 14 	
-871 	 155 	 -629 	124.88 	 -46.935 	 20.58 	
-873 	 129 	 -631 	125.16 	 -54.74 	 23.765 	
-897 	 87 	 -629 	125.37 	 -62.44 	 23.135 	
-918 	 -14 	 -557 	125.79 	 -69.755 	 19.845 	
-936 	 -33 	 -671 	126.49 	 -78.12 	 12.81 	
-905 	 -130 	 -637 	127.435 	 -85.12 	 3.43 	
-935 	 -85 	 -595 	129.78 	 -91.595 	 -11.13 	
-922 	 -167 	 -559 	131.25 	 -98.35 	 -21.665 	
-999 	 -107 	 -571 	134.96 	 -104.755 	 -26.11 	
-975 	 -195 	 -563 	137.76 	 -112.315 	 -21.14 	
-1041 	 -156 	 -530 	141.995 	 -119.21 	 -15.54 	
-1033 	 -231 	 -533 	144.83 	 -127.715 	 -11.305 	
-1024 	 -239 	 -539 	147.945 	 -136.255 	 -13.02 	
-1041 	 -262 	 -572 	149.87 	 -144.445 	 -19.11 	
-1091 	 -226 	 -570 	151.935 	 -152.18 	 -27.685 	
-1078 	 -201 	 -585 	153.545 	 -160.72 	 -35 	
-1059 	 -181 	 -590 	154.595 	 -168.805 	 -39.165 	
-1080 	 -100 	 -603 	156.275 	 -175.945 	 -38.815 	
-1059 	 -112 	 -602 	156.94 	 -183.82 	 -30.695 	
-1077 	 -94 	 -610 	158.55 	 -191.415 	 -17.22 	
-975 	 -142 	 -652 	159.425 	 -199.5 	 -3.43 	
-963 	 -155 	 -588 	161 	 -205.905 	 3.85 	
-948 	 -274 	 -556 	162.505 	 -213.955 	 6.23 	
-1010 	 -521 	 -395 	165.585 	 -220.955 	 7.105 	
-1029 	 -1047 	 -144 	168.455 	 -231.035 	 5.39 	
-955 	 -1446 	 141 	172.83 	 -243.915 	 -16.31 	
-368 	 -1529 	 707 	171.465 	 -259.665 	 -68.075 	
255 	 -1697 	 1527 	158.795 	 -268.45 	 -121.24 	
261 	 -1411 	 2449 	136.955 	 -273.735 	 -142.03 	
-632 	 -332 	 2976 	91.875 	 -294.175 	 -110.845 	
-1988 	 303 	 2671 	14.945 	 -346.955 	 -23.73 	
-2823 	 549 	 1950 	-91.035 	 -413.455 	 54.985 	
-2864 	 502 	 695 	-214.095 	 -483.385 	 74.305 	
-3230 	 1375 	 -55 	-341.46 	 -506.345 	 38.92 	
-2784 	 1780 	 -1209 	-464.87 	 -522.76 	 17.78 	
-2098 	 2353 	 -1881 	-569.905 	 -503.02 	 2.555 	
-1034 	 2404 	 -2429 	-651.105 	 -456.26 	 7.07 	
-317 	 2316 	 -2389 	-692.545 	 -357.07 	 51.73 	
323 	 1399 	 -1953 	-711.445 	 -230.615 	 137.2 	
989 	 674 	 -1877 	-693.385 	 -87.15 	 202.965 	
605 	 0 	 -1516 	-637.63 	 78.995 	 268.975 	
365 	 -477 	 -1529 	-549.29 	 232.155 	 341.005 	
-356 	 -613 	 -1307 	-440.02 	 371.21 	 390.635 	
-809 	 -750 	 -1183 	-327.775 	 463.715 	 398.02 	
-1624 	 -451 	 -989 	-214.795 	 522.445 	 390.95 	
-2099 	 -529 	 -783 	-118.72 	 537.775 	 385.035 	
-2343 	 -811 	 -640 	-40.11 	 519.925 	 337.015 	
-2426 	 -760 	 -370 	15.645 	 475.16 	 224.525 	
-2427 	 -797 	 -153 	41.79 	 411.425 	 105.455 	
-2308 	 -496 	 5 	58.87 	 339.99 	 28.735 	
-2090 	 -196 	 176 	65.94 	 266.945 	 -5.705 	
-1714 	 16 	 217 	66.955 	 193.725 	 -8.225 	
-1405 	 60 	 200 	66.605 	 130.41 	 18.795 	
-1172 	 -152 	 259 	63.63 	 76.615 	 50.225 	
-932 	 -342 	 178 	58.135 	 28.84 	 50.4 	
-849 	 -392 	 63 	51.1 	 -7.735 	 21.245 	
-771 	 -307 	 -34 	44.59 	 -35.84 	 -15.12 	
