STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
113 	 -277 	 -933 	-22.015 	 23.52 	 5.005 	
74 	 -313 	 -917 	-19.705 	 24.325 	 1.89 	
62 	 -303 	 -910 	-16.765 	 24.395 	 -0.42 	
65 	 -289 	 -920 	-14.21 	 24.535 	 -1.995 	
63 	 -303 	 -922 	-11.935 	 24.885 	 -3.08 	
57 	 -312 	 -922 	-9.03 	 24.92 	 -4.165 	
52 	 -301 	 -918 	-6.09 	 24.885 	 -5.565 	
66 	 -266 	 -922 	-3.535 	 24.71 	 -7.315 	
68 	 -264 	 -928 	-1.19 	 24.675 	 -9.135 	
75 	 -278 	 -928 	1.4 	 24.745 	 -10.99 	
70 	 -251 	 -936 	4.095 	 24.535 	 -12.985 	
89 	 -256 	 -957 	6.3 	 24.395 	 -14.49 	
102 	 -305 	 -988 	8.645 	 24.535 	 -15.855 	
107 	 -277 	 -1015 	11.375 	 24.57 	 -17.43 	
150 	 -205 	 -1029 	14.14 	 24.5 	 -19.25 	
168 	 -152 	 -1027 	16.03 	 25.27 	 -21.245 	
136 	 -176 	 -1008 	17.29 	 26.285 	 -23.555 	
119 	 -225 	 -981 	18.9 	 26.46 	 -26.53 	
144 	 -241 	 -945 	20.475 	 25.935 	 -30.59 	
156 	 -282 	 -1020 	21.49 	 25.13 	 -37.1 	
324 	 6 	 -939 	24.22 	 25.795 	 -43.575 	
237 	 -112 	 -851 	24.36 	 28.245 	 -48.685 	
72 	 -242 	 -946 	22.925 	 28.525 	 -51.345 	
78 	 -261 	 -1004 	22.54 	 27.16 	 -50.155 	
92 	 -257 	 -977 	25.13 	 25.935 	 -47.46 	
75 	 -23 	 -978 	27.65 	 25.2 	 -44.205 	
12 	 1 	 -966 	25.48 	 24.99 	 -38.465 	
-9 	 -177 	 -928 	23.625 	 23.205 	 -32.025 	
42 	 -197 	 -904 	25.55 	 20.58 	 -26.005 	
81 	 -92 	 -921 	26.705 	 18.795 	 -19.18 	
74 	 -95 	 -935 	25.025 	 17.605 	 -11.41 	
46 	 -121 	 -907 	24.395 	 16.1 	 -3.71 	
25 	 11 	 -877 	25.76 	 14.035 	 3.71 	
19 	 82 	 -871 	25.235 	 11.865 	 12.635 	
36 	 -40 	 -875 	23.45 	 9.415 	 23.765 	
70 	 -143 	 -869 	23.87 	 6.79 	 36.12 	
90 	 -109 	 -860 	25.515 	 4.69 	 49.07 	
82 	 -93 	 -856 	25.41 	 3.115 	 62.23 	
67 	 -217 	 -866 	24.5 	 1.295 	 74.13 	
62 	 -301 	 -904 	25.55 	 -0.84 	 82.565 	
50 	 -288 	 -978 	27.335 	 -2.52 	 87.01 	
39 	 -325 	 -1021 	27.685 	 -3.71 	 87.325 	
37 	 -415 	 -1043 	27.86 	 -4.69 	 82.985 	
19 	 -454 	 -1019 	29.085 	 -5.18 	 74.06 	
15 	 -489 	 -984 	29.82 	 -6.44 	 61.11 	
155 	 -381 	 -996 	29.855 	 -8.12 	 46.025 	
249 	 -586 	 -931 	29.68 	 -7.63 	 31.045 	
111 	 -459 	 -949 	32.06 	 -7.63 	 7.63 	
158 	 -309 	 -926 	32.865 	 -7.35 	 -8.015 	
143 	 -267 	 -901 	29.785 	 -7.21 	 -23.975 	
129 	 -466 	 -891 	26.81 	 -7.595 	 -34.37 	
72 	 -471 	 -946 	26.67 	 -9.66 	 -43.925 	
84 	 -212 	 -1042 	28.42 	 -11.48 	 -47.215 	
14 	 -11 	 -1037 	28.385 	 -11.76 	 -45.185 	
-73 	 8 	 -1003 	24.465 	 -13.65 	 -38.29 	
-50 	 -184 	 -953 	20.475 	 -17.01 	 -27.405 	
11 	 -179 	 -929 	20.615 	 -19.915 	 -15.365 	
32 	 -61 	 -933 	20.055 	 -21.77 	 -2.135 	
14 	 -119 	 -929 	15.995 	 -23.835 	 10.395 	
65 	 -274 	 -923 	13.51 	 -26.565 	 20.58 	
120 	 -263 	 -948 	13.86 	 -28.35 	 26.775 	
109 	 -195 	 -967 	13.02 	 -28.91 	 29.925 	
109 	 -264 	 -955 	10.185 	 -29.855 	 30.38 	
153 	 -366 	 -945 	9.31 	 -31.045 	 28 	
176 	 -332 	 -953 	9.94 	 -31.115 	 23.1 	
154 	 -298 	 -947 	9.065 	 -30.8 	 17.465 	
146 	 -359 	 -919 	7.35 	 -31.01 	 11.62 	
159 	 -401 	 -906 	7.28 	 -31.255 	 5.635 	
158 	 -341 	 -919 	8.085 	 -30.975 	 0.07 	
135 	 -301 	 -935 	7.98 	 -30.52 	 -3.885 	
120 	 -334 	 -930 	7.525 	 -30.38 	 -6.16 	
115 	 -350 	 -923 	8.085 	 -30.415 	 -7.21 	
104 	 -314 	 -920 	9.1 	 -30.31 	 -7.14 	
84 	 -287 	 -908 	9.31 	 -30.275 	 -5.915 	
93 	 -322 	 -894 	9.17 	 -30.24 	 -3.675 	
108 	 -348 	 -911 	9.87 	 -30.24 	 -1.47 	
92 	 -326 	 -924 	10.955 	 -29.75 	 0.875 	
83 	 -309 	 -916 	11.41 	 -29.47 	 3.115 	
98 	 -341 	 -905 	11.445 	 -29.645 	 5.005 	
114 	 -353 	 -908 	12.32 	 -29.47 	 6.23 	
