STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
457 	 -1342 	 -99 	 139.51 	 2.065 	 -33.18 	
471 	 -962 	 35 	 147.315 	 7.63 	 -29.33 	
515 	 -953 	 429 	 147.14 	 15.435 	 -12.845 	
358 	 -1074 	 941 	 143.64 	 22.75 	 7.14 	
354 	 -1093 	 1469 	 132.86 	 28.42 	 18.235 	
373 	 -1212 	 2071 	 104.615 	 42.49 	 0.105 	
751 	 -1099 	 2764 	 56.21 	 60.76 	 -67.025 	
881 	 -523 	 3734 	 -14.91 	 66.85 	 -138.46 	
1321 	 679 	 4085 	 -108.5 	 31.36 	 -123.305 	
1807 	 1851 	 3520 	 -236.985 	 19.39 	 -17.29 	
1742 	 2610 	 2830 	 -393.435 	 43.33 	 122.71 	
1628 	 3510 	 1282 	 -568.295 	 58.38 	 226.1 	
886 	 3897 	 -314 	 -735.14 	 88.095 	 329.595 	
401 	 4005 	 -2003 	 -886.585 	 122.185 	 403.795 	
-335 	 3597 	 -3508 	 -1008.49 	 176.61 	 447.58 	
-630 	 2974 	 -4541 	 -1085.14 	 226.345 	 457.17 	
-844 	 1880 	 -4784 	 -1105.79 	 272.93 	 447.125 	
-790 	 1059 	 -4014 	 -1064.95 	 304.955 	 397.985 	
-682 	 429 	 -2737 	 -985.11 	 314.86 	 318.99 	
-748 	 -500 	 -1813 	 -872.83 	 298.34 	 254.73 	
-421 	 -661 	 -940 	 -717.465 	 264.95 	 223.895 	
-405 	 -622 	 -222 	 -559.02 	 227.255 	 220.605 	
-420 	 -409 	 -17 	 -409.29 	 182.875 	 199.675 	
-381 	 214 	 -54 	 -278.25 	 132.93 	 114.975 	
-310 	 1027 	 -315 	 -181.51 	 78.505 	 -12.005 	
-294 	 1711 	 -659 	 -113.75 	 30.66 	 -104.58 	
-229 	 2120 	 -934 	 -67.48 	 -10.955 	 -126.63 	
-175 	 2189 	 -1138 	 -37.695 	 -46.165 	 -95.55 	
-140 	 1987 	 -1218 	 -19.565 	 -74.025 	 -51.1 	
-56 	 1689 	 -1254 	 -10.745 	 -96.32 	 -26.355 	
30 	 1383 	 -1224 	 -6.755 	 -110.67 	 -27.125 	
