STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
296 	 -688 	 1 	 157.15 	 11.48 	 8.33 	
192 	 -697 	 383 	 146.755 	 19.985 	 15.015 	
143 	 -549 	 855 	 131.53 	 27.125 	 25.445 	
63 	 -169 	 1458 	 101.43 	 37.17 	 36.05 	
43 	 -114 	 2007 	 49.07 	 46.9 	 56.315 	
87 	 501 	 2334 	 -25.62 	 52.815 	 55.37 	
237 	 971 	 2593 	 -128.17 	 57.435 	 51.17 	
225 	 1886 	 2971 	 -253.89 	 64.82 	 71.995 	
366 	 2338 	 2586 	 -400.89 	 57.05 	 144.9 	
160 	 2754 	 1539 	 -556.325 	 59.675 	 212.485 	
-86 	 3096 	 -98 	 -708.96 	 70.665 	 247.66 	
-742 	 3128 	 -1679 	 -845.39 	 92.645 	 262.325 	
-851 	 3261 	 -3378 	 -950.565 	 99.575 	 254.66 	
-971 	 2766 	 -4483 	 -1027.85 	 98.805 	 214.795 	
-917 	 1885 	 -4520 	 -1052.24 	 82.25 	 150.43 	
-1175 	 1344 	 -3599 	 -1018.89 	 50.68 	 94.255 	
-1093 	 461 	 -2662 	 -940.345 	 2.345 	 85.155 	
-881 	 -608 	 -1700 	 -808.955 	 -39.48 	 112.35 	
-697 	 -810 	 -914 	 -644.84 	 -74.445 	 133.56 	
-651 	 -1371 	 -610 	 -475.37 	 -99.085 	 160.055 	
-556 	 -862 	 -355 	 -301.98 	 -117.495 	 119.875 	
-356 	 -559 	 -531 	 -160.125 	 -136.395 	 33.81 	
-196 	 388 	 -708 	 -37.31 	 -143.325 	 -59.5 	
46 	 1037 	 -993 	 48.23 	 -140.07 	 -106.96 	
179 	 1490 	 -1337 	 103.915 	 -124.215 	 -107.275 	
220 	 1920 	 -1545 	 132.405 	 -101.43 	 -78.995 	
172 	 1931 	 -1677 	 134.995 	 -75.74 	 -37.135 	
20 	 1911 	 -1599 	 120.995 	 -49.245 	 -8.33 	
-153 	 1699 	 -1474 	 93.765 	 -24.745 	 12.985 	
-284 	 1504 	 -1329 	 63.0 	 -3.465 	 31.395 	
-368 	 1337 	 -1155 	 31.255 	 14.7 	 49.735 	
-495 	 1174 	 -1016 	 0.77 	 30.345 	 68.635 	
-510 	 898 	 -975 	 -25.515 	 41.44 	 83.65 	
-572 	 742 	 -919 	 -44.52 	 51.555 	 87.15 	
-589 	 539 	 -872 	 -58.485 	 58.415 	 85.54 	
-660 	 430 	 -819 	 -65.1 	 63.805 	 83.3 	
