STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
307 	 -776 	 16 	 177.73 	 6.545 	 -38.325 	
280 	 -708 	 323 	 176.26 	 11.165 	 -28.63 	
86 	 -791 	 946 	 171.815 	 16.345 	 -7.875 	
-11 	 -1080 	 1774 	 161.525 	 22.155 	 19.95 	
174 	 -1171 	 2505 	 138.565 	 30.835 	 22.89 	
373 	 -38 	 2712 	 93.52 	 17.36 	 -51.835 	
-230 	 1490 	 2473 	 9.345 	 -5.39 	 -144.025 	
-1127 	 3080 	 2631 	 -100.45 	 -12.04 	 -87.115 	
-914 	 3807 	 1767 	 -243.495 	 -54.25 	 104.265 	
-467 	 2891 	 701 	 -409.885 	 -71.33 	 257.145 	
-735 	 3366 	 -795 	 -575.225 	 -74.34 	 252.77 	
-1069 	 3292 	 -2518 	 -736.54 	 -74.655 	 244.125 	
-822 	 3068 	 -4465 	 -865.34 	 -76.685 	 273.945 	
-867 	 2009 	 -5622 	 -959.14 	 -60.83 	 300.615 	
-456 	 412 	 -5453 	 -1002.54 	 -45.535 	 267.505 	
-312 	 -190 	 -4293 	 -991.795 	 -36.855 	 154.84 	
-326 	 -685 	 -3265 	 -944.335 	 -53.725 	 27.615 	
-479 	 -835 	 -2351 	 -850.955 	 -85.015 	 -26.53 	
-189 	 -871 	 -1718 	 -723.66 	 -116.795 	 32.025 	
-470 	 -1008 	 -1038 	 -581.455 	 -120.4 	 160.02 	
-343 	 -1494 	 -895 	 -439.075 	 -122.605 	 255.605 	
-274 	 -1499 	 -542 	 -295.26 	 -112.175 	 245.105 	
-117 	 -1192 	 -336 	 -179.83 	 -115.85 	 126.805 	
-25 	 -731 	 -566 	 -77.665 	 -117.775 	 17.43 	
-98 	 244 	 -668 	 14.735 	 -113.505 	 -27.335 	
42 	 518 	 -879 	 77.28 	 -108.675 	 -9.555 	
-212 	 891 	 -982 	 120.225 	 -97.335 	 13.65 	
-107 	 1072 	 -1227 	 139.125 	 -90.755 	 33.67 	
-252 	 1354 	 -1356 	 140.665 	 -78.225 	 38.465 	
-269 	 1501 	 -1463 	 126.7 	 -67.69 	 33.985 	
-485 	 1533 	 -1459 	 103.18 	 -54.04 	 32.305 	
-533 	 1476 	 -1313 	 74.235 	 -42.49 	 35.63 	
-512 	 1255 	 -1210 	 42.28 	 -31.5 	 38.185 	
-442 	 1083 	 -1105 	 11.41 	 -20.23 	 32.76 	
-420 	 902 	 -1014 	 -16.905 	 -8.925 	 27.685 	
-448 	 812 	 -968 	 -40.39 	 1.26 	 31.815 	
-496 	 731 	 -914 	 -59.22 	 10.36 	 49.28 	
