STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-82 	 -990 	 -457 	 113.47 	 9.17 	 -26.775 	
25 	 -1274 	 -388 	 119.595 	 9.835 	 -24.29 	
21 	 -1116 	 -344 	 128.94 	 11.795 	 -27.37 	
113 	 -1239 	 -257 	 134.925 	 13.965 	 -22.68 	
117 	 -1113 	 -22 	 143.99 	 17.99 	 -21.77 	
42 	 -1205 	 323 	 150.29 	 21.875 	 -11.83 	
-228 	 -1357 	 982 	 157.675 	 27.545 	 10.955 	
-667 	 -1812 	 1988 	 163.38 	 46.69 	 55.23 	
-1080 	 -2321 	 3496 	 154.875 	 93.73 	 105.7 	
-602 	 -2213 	 4183 	 123.235 	 56.035 	 53.76 	
177 	 -686 	 3985 	 55.58 	 3.745 	 -98.63 	
611 	 1340 	 3715 	 -51.485 	 -14.91 	 -185.57 	
778 	 4074 	 2425 	 -201.355 	 -62.86 	 -130.515 	
1177 	 5108 	 468 	 -419.615 	 -19.425 	 98.21 	
602 	 4956 	 -1392 	 -629.3 	 38.57 	 306.285 	
746 	 5017 	 -3812 	 -824.53 	 68.46 	 383.95 	
164 	 4949 	 -5673 	 -982.59 	 136.64 	 444.675 	
-270 	 3333 	 -6872 	 -1097.78 	 200.025 	 505.54 	
-473 	 1464 	 -6840 	 -1122.45 	 263.655 	 516.005 	
-660 	 -468 	 -4731 	 -1064.32 	 304.64 	 434.21 	
-1370 	 -1744 	 -2534 	 -941.64 	 303.94 	 300.51 	
-2155 	 -2488 	 -536 	 -775.005 	 254.485 	 214.97 	
-1840 	 -2826 	 211 	 -570.815 	 169.225 	 200.06 	
-1587 	 -2489 	 327 	 -359.87 	 78.61 	 168.49 	
-1524 	 -1274 	 92 	 -171.01 	 -13.755 	 75.915 	
-1415 	 -268 	 -489 	 -26.145 	 -90.44 	 -26.18 	
-1073 	 743 	 -1184 	 73.115 	 -153.405 	 -143.71 	
-1089 	 1990 	 -1824 	 129.675 	 -183.435 	 -201.25 	
-841 	 2028 	 -2089 	 143.535 	 -195.195 	 -168.56 	
-535 	 2023 	 -2199 	 138.67 	 -199.57 	 -162.505 	
-354 	 1972 	 -2097 	 117.705 	 -191.485 	 -163.905 	
-5 	 1706 	 -1941 	 87.815 	 -176.925 	 -152.32 	
226 	 1520 	 -1746 	 55.265 	 -154.035 	 -129.745 	
359 	 1188 	 -1521 	 23.485 	 -126.385 	 -85.68 	
433 	 886 	 -1322 	 -4.375 	 -96.775 	 -41.055 	
575 	 499 	 -1228 	 -27.335 	 -65.17 	 -11.095 	
375 	 397 	 -1072 	 -41.51 	 -32.795 	 8.54 	
368 	 201 	 -1043 	 -49.315 	 -5.775 	 40.67 	
99 	 67 	 -947 	 -49.14 	 22.68 	 74.375 	
-33 	 -48 	 -936 	 -44.345 	 43.61 	 98.315 	
-277 	 -58 	 -898 	 -35.735 	 63.14 	 109.095 	
-401 	 -69 	 -914 	 -26.145 	 75.6 	 108.395 	
-530 	 14 	 -933 	 -16.065 	 84.84 	 98.805 	
-606 	 81 	 -959 	 -7.875 	 89.53 	 87.395 	
-629 	 196 	 -1010 	 -1.365 	 90.72 	 75.32 	
-699 	 321 	 -1037 	 2.73 	 90.3 	 67.27 	
-699 	 429 	 -1074 	 4.2 	 86.625 	 63.175 	
-701 	 499 	 -1090 	 2.975 	 82.285 	 59.64 	
-643 	 539 	 -1109 	 -0.105 	 76.37 	 53.235 	
