STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
1248 	 -1431 	 162 	 209.16 	 -14.14 	 -43.015 	
1312 	 -1376 	 336 	 216.02 	 -5.6 	 -18.27 	
1312 	 -1402 	 559 	 220.885 	 2.345 	 10.92 	
1377 	 -1397 	 690 	 224.14 	 8.75 	 33.39 	
1377 	 -1131 	 939 	 222.775 	 17.01 	 39.025 	
1278 	 -947 	 1372 	 208.81 	 27.37 	 34.615 	
1153 	 -755 	 1974 	 180.285 	 40.845 	 27.825 	
1402 	 378 	 2521 	 129.85 	 51.45 	 2.24 	
1429 	 1465 	 3163 	 43.12 	 66.57 	 -2.345 	
1339 	 2689 	 4051 	 -76.965 	 79.24 	 69.195 	
1442 	 3498 	 3724 	 -233.24 	 62.02 	 206.57 	
1481 	 4206 	 2773 	 -416.92 	 73.22 	 319.41 	
1018 	 5213 	 1181 	 -617.96 	 103.915 	 383.845 	
419 	 5860 	 -974 	 -817.04 	 153.65 	 459.2 	
-372 	 5896 	 -3263 	 -992.985 	 217.735 	 528.08 	
-1295 	 5402 	 -5235 	 -1119.83 	 286.65 	 552.02 	
-1959 	 3906 	 -5940 	 -1146.74 	 344.995 	 523.705 	
-2230 	 2121 	 -4850 	 -1146.74 	 373.59 	 412.685 	
-2612 	 1358 	 -3464 	 -1146.57 	 353.15 	 213.08 	
-3741 	 812 	 -1643 	 -1112.27 	 278.18 	 47.53 	
-3245 	 290 	 -640 	 -988.68 	 153.055 	 2.03 	
-2157 	 -649 	 -75 	 -803.11 	 45.675 	 29.715 	
-1433 	 209 	 822 	 -600.565 	 -37.24 	 -31.745 	
-777 	 -67 	 456 	 -433.65 	 -124.005 	 -124.915 	
-690 	 1103 	 284 	 -261.205 	 -177.59 	 -223.79 	
-235 	 1866 	 -256 	 -123.655 	 -217.63 	 -230.37 	
-326 	 2202 	 -624 	 -19.565 	 -226.065 	 -152.145 	
294 	 2155 	 -1004 	 46.865 	 -228.06 	 -66.045 	
666 	 1928 	 -1079 	 75.145 	 -207.13 	 -27.895 	
794 	 2078 	 -1066 	 78.575 	 -175.595 	 -23.695 	
666 	 1981 	 -985 	 61.705 	 -137.76 	 -7.735 	
361 	 1873 	 -873 	 38.85 	 -98.315 	 25.515 	
57 	 1800 	 -508 	 7.84 	 -61.985 	 58.38 	
-185 	 1563 	 -454 	 -28.84 	 -33.88 	 82.145 	
-462 	 1531 	 -439 	 -59.08 	 -10.22 	 95.41 	
-808 	 1464 	 -407 	 -87.22 	 6.685 	 110.95 	
-1002 	 1330 	 -451 	 -109.55 	 16.94 	 129.64 	
-1114 	 1253 	 -481 	 -126.385 	 22.89 	 138.6 	
-1060 	 1143 	 -563 	 -137.06 	 25.375 	 137.48 	
-1000 	 1032 	 -536 	 -141.33 	 28.28 	 125.195 	
-835 	 823 	 -455 	 -140.35 	 29.26 	 103.565 	
-714 	 644 	 -380 	 -133.49 	 30.345 	 74.83 	
-602 	 581 	 -330 	 -119.735 	 30.485 	 50.4 	
