STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
439 	 -1058 	 79 	 184.765 	 1.155 	 -35.28 	
479 	 -940 	 315 	 185.29 	 17.115 	 -42.105 	
551 	 -938 	 636 	 182.98 	 31.85 	 -38.43 	
528 	 -900 	 1147 	 179.69 	 48.58 	 -15.505 	
533 	 -729 	 1909 	 169.05 	 67.935 	 16.975 	
651 	 -736 	 2830 	 140.42 	 93.73 	 46.935 	
644 	 -93 	 3618 	 83.93 	 122.57 	 37.555 	
880 	 684 	 3989 	 -12.53 	 136.465 	 17.255 	
881 	 2283 	 3616 	 -143.99 	 149.38 	 7.14 	
812 	 3403 	 3044 	 -315.805 	 171.395 	 59.885 	
650 	 4231 	 1530 	 -504.735 	 182.49 	 141.89 	
145 	 4379 	 -99 	 -699.02 	 217.105 	 224.595 	
-508 	 4426 	 -2140 	 -873.67 	 240.345 	 277.375 	
-1037 	 3807 	 -4019 	 -1019.9 	 259.245 	 296.135 	
-1233 	 3229 	 -5151 	 -1112.13 	 268.275 	 277.55 	
-1608 	 1978 	 -5291 	 -1145.41 	 261.38 	 231.56 	
-1163 	 1197 	 -4669 	 -1135.54 	 226.38 	 132.65 	
-1070 	 635 	 -3357 	 -1074.54 	 170.975 	 5.565 	
-445 	 -80 	 -2005 	 -952.7 	 89.46 	 -52.08 	
-317 	 -43 	 -953 	 -788.025 	 24.29 	 -12.215 	
53 	 -764 	 -692 	 -604.17 	 -26.705 	 102.725 	
5 	 -485 	 -442 	 -408.73 	 -54.705 	 161.77 	
-346 	 -274 	 -355 	 -243.705 	 -78.365 	 157.675 	
-298 	 208 	 -621 	 -108.255 	 -107.065 	 86.345 	
-464 	 782 	 -792 	 -6.51 	 -126.385 	 -8.89 	
-469 	 1294 	 -1028 	 64.33 	 -140.63 	 -69.755 	
-455 	 1477 	 -1294 	 108.85 	 -143.99 	 -78.995 	
-224 	 1655 	 -1510 	 132.51 	 -141.05 	 -68.95 	
-198 	 1679 	 -1527 	 135.45 	 -128.275 	 -49.945 	
-159 	 1669 	 -1480 	 124.18 	 -113.47 	 -27.44 	
-162 	 1640 	 -1403 	 103.6 	 -94.78 	 -0.07 	
-212 	 1626 	 -1229 	 77.0 	 -74.48 	 30.73 	
-293 	 1504 	 -1069 	 45.29 	 -53.655 	 58.03 	
-324 	 1212 	 -1037 	 12.355 	 -34.51 	 67.515 	
-406 	 1126 	 -993 	 -16.205 	 -16.03 	 57.575 	
-638 	 1024 	 -889 	 -41.125 	 1.435 	 58.275 	
-745 	 829 	 -869 	 -60.515 	 12.845 	 74.585 	
-808 	 673 	 -855 	 -73.43 	 21.98 	 85.785 	
-850 	 570 	 -823 	 -81.69 	 28.385 	 83.475 	
-812 	 515 	 -823 	 -84.665 	 33.005 	 76.16 	
-813 	 464 	 -788 	 -83.09 	 36.505 	 71.75 	
-656 	 373 	 -810 	 -77.595 	 37.765 	 68.39 	
-621 	 351 	 -782 	 -68.915 	 41.055 	 58.45 	
-543 	 410 	 -806 	 -58.555 	 42.28 	 46.41 	
-541 	 498 	 -826 	 -47.32 	 44.205 	 40.32 	
-499 	 607 	 -853 	 -36.505 	 44.31 	 41.265 	
