STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
344 	 -555 	 -146 	 171.465 	 25.935 	 0.455 	
398 	 -402 	 167 	 153.125 	 33.18 	 -6.51 	
491 	 -79 	 772 	 125.965 	 42.665 	 3.675 	
469 	 212 	 1433 	 76.755 	 51.065 	 27.335 	
202 	 342 	 1968 	 5.46 	 58.17 	 65.695 	
280 	 1249 	 1723 	 -91.315 	 46.13 	 59.605 	
-10 	 1842 	 2013 	 -211.295 	 51.485 	 60.655 	
-324 	 2257 	 2054 	 -351.365 	 37.17 	 112.665 	
-827 	 1952 	 1713 	 -497.42 	 19.915 	 206.36 	
-1265 	 2009 	 552 	 -635.95 	 -4.795 	 250.53 	
-1772 	 1970 	 -715 	 -756.175 	 -15.575 	 263.69 	
-1984 	 1808 	 -1820 	 -849.695 	 -28.105 	 263.06 	
-2031 	 1184 	 -2529 	 -911.505 	 -40.075 	 254.555 	
-1828 	 751 	 -2604 	 -929.215 	 -54.075 	 223.055 	
-1573 	 506 	 -2408 	 -907.62 	 -71.085 	 181.93 	
-1105 	 296 	 -2114 	 -847.805 	 -90.545 	 146.58 	
-459 	 187 	 -1655 	 -755.23 	 -106.68 	 114.38 	
13 	 162 	 -1377 	 -641.69 	 -117.11 	 92.155 	
412 	 48 	 -1215 	 -510.16 	 -118.125 	 87.36 	
572 	 158 	 -1000 	 -374.395 	 -108.99 	 76.23 	
770 	 273 	 -1061 	 -249.76 	 -97.23 	 54.25 	
721 	 600 	 -1118 	 -137.445 	 -78.225 	 35.35 	
671 	 925 	 -1252 	 -44.17 	 -57.715 	 36.05 	
450 	 1081 	 -1355 	 25.095 	 -34.16 	 49.14 	
294 	 1160 	 -1444 	 71.085 	 -12.565 	 58.87 	
28 	 1209 	 -1471 	 96.845 	 9.485 	 62.545 	
-154 	 1186 	 -1467 	 105.28 	 27.44 	 63.665 	
-370 	 1198 	 -1411 	 102.165 	 43.96 	 65.87 	
-487 	 1104 	 -1339 	 89.39 	 56.07 	 70.91 	
-566 	 1036 	 -1278 	 71.82 	 66.01 	 73.15 	
-639 	 969 	 -1207 	 51.03 	 73.325 	 69.72 	
-651 	 866 	 -1160 	 29.75 	 77.805 	 63.21 	
