STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
397 	 -921 	 -170 	 170.24 	 31.045 	 -50.435 	
376 	 -849 	 -50 	 171.64 	 38.815 	 -50.155 	
326 	 -825 	 130 	 172.935 	 45.885 	 -43.785 	
330 	 -849 	 451 	 174.475 	 52.185 	 -27.51 	
270 	 -893 	 1103 	 175.07 	 59.185 	 2.275 	
164 	 -1308 	 1978 	 171.36 	 67.445 	 52.535 	
-82 	 -723 	 3057 	 160.23 	 87.5 	 95.9 	
-1210 	 636 	 4057 	 112.875 	 82.985 	 109.9 	
-1189 	 1891 	 3107 	 14.455 	 3.64 	 61.18 	
-1155 	 2664 	 2941 	 -123.97 	 -8.855 	 -8.435 	
-715 	 3827 	 2643 	 -296.555 	 -46.725 	 -44.03 	
-762 	 4660 	 986 	 -499.94 	 -90.475 	 36.26 	
-880 	 4859 	 -1027 	 -705.355 	 -97.965 	 192.22 	
-806 	 4296 	 -3193 	 -901.005 	 -97.16 	 289.8 	
-974 	 4073 	 -5306 	 -1065.09 	 -82.67 	 303.205 	
-919 	 3301 	 -7027 	 -1142.75 	 -63.63 	 305.095 	
-374 	 1434 	 -7069 	 -1146.74 	 -40.04 	 298.83 	
-210 	 683 	 -5641 	 -1146.74 	 -16.625 	 253.785 	
-459 	 -428 	 -4160 	 -1139.01 	 -9.905 	 221.48 	
-682 	 -1734 	 -2713 	 -1044.51 	 -12.25 	 225.435 	
-652 	 -2387 	 -1355 	 -863.17 	 -21.7 	 265.37 	
-947 	 -2492 	 -261 	 -657.37 	 -26.635 	 313.46 	
-981 	 -2661 	 356 	 -453.53 	 -38.01 	 313.775 	
-755 	 -2056 	 503 	 -266.21 	 -68.495 	 184.065 	
-715 	 -877 	 310 	 -106.855 	 -105.07 	 -0.21 	
-414 	 599 	 -135 	 20.335 	 -133.07 	 -145.775 	
-395 	 1587 	 -589 	 102.585 	 -139.23 	 -195.195 	
-286 	 1961 	 -1022 	 151.795 	 -137.83 	 -173.425 	
-165 	 2187 	 -1314 	 175.56 	 -129.955 	 -121.45 	
-58 	 2043 	 -1448 	 175.56 	 -119.21 	 -63.28 	
-15 	 1943 	 -1425 	 162.12 	 -105.56 	 -27.405 	
-42 	 1737 	 -1334 	 137.025 	 -90.615 	 -7.595 	
-162 	 1691 	 -1239 	 107.87 	 -75.32 	 7.875 	
-383 	 1548 	 -1103 	 75.88 	 -60.97 	 31.465 	
-544 	 1320 	 -1016 	 44.38 	 -50.085 	 57.54 	
-654 	 1082 	 -913 	 15.995 	 -40.635 	 73.815 	
-744 	 820 	 -819 	 -9.065 	 -33.11 	 77.35 	
-816 	 669 	 -762 	 -28.525 	 -27.09 	 74.13 	
-834 	 519 	 -746 	 -42.56 	 -22.645 	 73.99 	
-779 	 404 	 -739 	 -51.17 	 -18.97 	 74.9 	
