STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
499 	 -495 	 993 	 153.58 	 38.92 	 68.495 	
371 	 -398 	 1474 	 132.37 	 52.045 	 101.255 	
499 	 -55 	 1847 	 97.51 	 62.055 	 97.72 	
418 	 574 	 2335 	 36.68 	 83.055 	 30.59 	
113 	 1647 	 3047 	 -58.065 	 104.02 	 -67.62 	
89 	 2891 	 2683 	 -186.34 	 71.54 	 -116.165 	
-355 	 4517 	 2172 	 -334.145 	 61.32 	 -7.28 	
-360 	 4586 	 1148 	 -509.145 	 55.65 	 221.2 	
-346 	 4454 	 -558 	 -690.375 	 63.665 	 357.28 	
-750 	 4509 	 -2583 	 -868.525 	 89.18 	 370.37 	
-1080 	 4429 	 -4802 	 -1024.63 	 116.48 	 365.575 	
-1183 	 3725 	 -6757 	 -1128.72 	 141.085 	 375.06 	
-1160 	 2334 	 -7306 	 -1146.74 	 166.04 	 345.275 	
-822 	 938 	 -6145 	 -1146.74 	 168.21 	 217.42 	
-1527 	 -89 	 -4467 	 -1140.86 	 132.3 	 10.15 	
-1852 	 -1002 	 -2517 	 -1050.49 	 52.57 	 -100.625 	
-977 	 -1630 	 -2129 	 -880.18 	 -49.175 	 -77.7 	
-738 	 -2237 	 -1111 	 -649.565 	 -91.805 	 95.375 	
-737 	 -1878 	 -222 	 -426.685 	 -111.3 	 186.69 	
-429 	 -2491 	 -299 	 -242.935 	 -125.685 	 156.695 	
-205 	 -1344 	 -410 	 -58.625 	 -147.21 	 -41.3 	
20 	 804 	 -893 	 87.395 	 -156.17 	 -188.055 	
196 	 1358 	 -1243 	 174.23 	 -132.895 	 -139.51 	
181 	 1889 	 -1520 	 226.31 	 -107.94 	 -71.645 	
305 	 2130 	 -1886 	 239.715 	 -82.11 	 -23.905 	
210 	 2012 	 -2005 	 221.13 	 -51.765 	 -26.005 	
-45 	 2119 	 -1859 	 185.885 	 -19.915 	 -54.46 	
-404 	 1988 	 -1603 	 139.23 	 8.89 	 -49.105 	
-500 	 1836 	 -1377 	 91.07 	 29.75 	 -9.695 	
-601 	 1461 	 -1159 	 43.54 	 47.215 	 36.925 	
-601 	 1140 	 -1037 	 1.295 	 58.835 	 63.42 	
-665 	 861 	 -938 	 -34.335 	 69.58 	 72.24 	
