STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
16 	 -723 	 286 	 147.77 	 34.055 	 11.515 	
-80 	 -722 	 564 	 146.475 	 37.065 	 22.68 	
-160 	 -691 	 963 	 144.48 	 40.355 	 41.79 	
-236 	 -610 	 1737 	 139.055 	 49.63 	 69.475 	
-393 	 -477 	 2816 	 119.98 	 75.145 	 85.12 	
-304 	 -237 	 3363 	 77.035 	 73.465 	 36.47 	
-87 	 830 	 2674 	 1.505 	 36.05 	 -135.625 	
-474 	 2318 	 2429 	 -109.445 	 37.52 	 -285.88 	
-922 	 4629 	 1896 	 -248.36 	 14.21 	 -246.365 	
-304 	 4434 	 884 	 -420.28 	 -9.1 	 23.065 	
-414 	 4381 	 -918 	 -591.57 	 -18.83 	 241.815 	
-351 	 4201 	 -3090 	 -766.36 	 -14.455 	 295.155 	
-727 	 4208 	 -5012 	 -921.06 	 2.1 	 275.835 	
-559 	 3286 	 -6467 	 -1036.67 	 14.385 	 300.16 	
-693 	 1027 	 -5980 	 -1099.81 	 45.745 	 350.98 	
-293 	 202 	 -4827 	 -1090.04 	 70.525 	 326.55 	
-685 	 -699 	 -3769 	 -1047.41 	 85.785 	 237.265 	
-1002 	 -1514 	 -2442 	 -961.765 	 75.565 	 133.245 	
-1233 	 -1537 	 -1584 	 -836.64 	 35.35 	 61.075 	
-1074 	 -2156 	 -991 	 -684.25 	 -2.17 	 90.79 	
-1066 	 -1871 	 -253 	 -516.495 	 -33.985 	 114.45 	
-937 	 -1854 	 -103 	 -363.51 	 -64.085 	 126.28 	
-935 	 -1270 	 -46 	 -220.605 	 -89.705 	 79.555 	
-698 	 -472 	 -280 	 -103.25 	 -117.215 	 -6.44 	
-669 	 358 	 -565 	 -12.39 	 -131.81 	 -81.48 	
-456 	 1060 	 -920 	 50.05 	 -140.595 	 -117.81 	
-452 	 1405 	 -1126 	 86.8 	 -136.535 	 -106.575 	
-282 	 1484 	 -1294 	 103.39 	 -130.585 	 -74.935 	
-155 	 1511 	 -1328 	 104.755 	 -118.265 	 -48.265 	
-70 	 1473 	 -1299 	 93.45 	 -103.075 	 -33.635 	
-115 	 1473 	 -1254 	 73.815 	 -85.015 	 -23.555 	
-195 	 1457 	 -1214 	 49.805 	 -66.885 	 -5.04 	
-285 	 1441 	 -1180 	 24.01 	 -49.805 	 22.575 	
-402 	 1313 	 -1133 	 -2.1 	 -33.88 	 51.415 	
-447 	 1139 	 -1080 	 -25.725 	 -19.985 	 69.405 	
-502 	 943 	 -1027 	 -45.36 	 -7.875 	 76.195 	
-572 	 730 	 -977 	 -58.975 	 2.695 	 80.29 	
-603 	 561 	 -921 	 -66.01 	 10.85 	 84.525 	
-589 	 386 	 -891 	 -67.445 	 17.01 	 86.8 	
-595 	 289 	 -861 	 -63.315 	 21.91 	 84.21 	
-620 	 257 	 -801 	 -55.685 	 25.06 	 78.855 	
