STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-279 	 -1205 	 407 	 127.12 	 -4.41 	 -10.29 	
-502 	 -1271 	 1209 	 128.625 	 2.38 	 -10.325 	
-491 	 -1505 	 2466 	 117.985 	 20.615 	 -8.68 	
171 	 -1966 	 3382 	 79.59 	 38.675 	 -29.05 	
680 	 -315 	 3447 	 11.935 	 39.445 	 -112.42 	
281 	 2052 	 3764 	 -105.98 	 68.425 	 -125.265 	
1653 	 3117 	 2531 	 -266.42 	 44.8 	 -18.13 	
2057 	 4111 	 1081 	 -457.555 	 90.09 	 116.795 	
1595 	 4258 	 -725 	 -658.84 	 145.425 	 258.685 	
1020 	 4249 	 -2749 	 -837.935 	 201.18 	 364.245 	
177 	 3885 	 -4696 	 -981.995 	 260.435 	 419.055 	
-34 	 3216 	 -5673 	 -1074.33 	 305.55 	 412.755 	
-550 	 1845 	 -5415 	 -1112.06 	 328.02 	 333.585 	
-1304 	 1161 	 -3782 	 -1078.53 	 306.635 	 190.05 	
-2168 	 -376 	 -2085 	 -1005.45 	 226.415 	 78.995 	
-2178 	 -1306 	 -1095 	 -859.74 	 110.145 	 47.355 	
-2604 	 -1378 	 45 	 -666.435 	 9.17 	 85.19 	
-1929 	 -1983 	 169 	 -479.745 	 -96.005 	 103.46 	
-1336 	 -1630 	 133 	 -290.465 	 -176.19 	 -8.645 	
-845 	 -417 	 -333 	 -122.605 	 -251.23 	 -193.725 	
-48 	 1243 	 -1045 	 15.505 	 -284.795 	 -288.085 	
410 	 1944 	 -1330 	 103.845 	 -271.6 	 -246.4 	
758 	 2183 	 -1686 	 154.945 	 -243.145 	 -169.05 	
806 	 2135 	 -1745 	 172.935 	 -198.94 	 -98.07 	
777 	 1917 	 -1720 	 164.99 	 -151.69 	 -60.27 	
612 	 1774 	 -1578 	 140.805 	 -102.2 	 -43.785 	
385 	 1738 	 -1476 	 108.22 	 -55.44 	 -17.92 	
-48 	 1605 	 -1190 	 70.21 	 -13.3 	 29.925 	
-319 	 1435 	 -1118 	 33.67 	 18.095 	 82.495 	
-660 	 1097 	 -952 	 -0.105 	 44.135 	 116.76 	
-882 	 889 	 -834 	 -27.72 	 61.25 	 125.405 	
