STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
307 	 -1328 	 800 	 209.895 	 51.765 	 -55.44 	
338 	 -1486 	 1086 	 213.78 	 56.455 	 -30.8 	
411 	 -1330 	 1564 	 215.95 	 63.105 	 -1.75 	
282 	 -1309 	 2203 	 205.975 	 73.605 	 27.545 	
113 	 -300 	 2652 	 181.685 	 77.875 	 33.705 	
-506 	 754 	 3065 	 116.83 	 72.135 	 29.435 	
-537 	 1261 	 3040 	 19.74 	 44.94 	 30.065 	
-524 	 2151 	 3030 	 -108.745 	 30.275 	 -7.525 	
-385 	 2858 	 2801 	 -272.265 	 4.2 	 -41.545 	
-482 	 4066 	 1510 	 -451.745 	 -35.175 	 1.12 	
-366 	 4054 	 -9 	 -637.455 	 -40.705 	 148.015 	
-184 	 3736 	 -1880 	 -808.29 	 -36.365 	 245.14 	
-71 	 3112 	 -3546 	 -953.505 	 -16.8 	 262.885 	
92 	 2244 	 -4436 	 -1057.11 	 8.26 	 263.2 	
155 	 1040 	 -4389 	 -1108.21 	 34.93 	 266.175 	
111 	 533 	 -3897 	 -1102.85 	 55.23 	 241.64 	
119 	 -423 	 -3272 	 -1049.13 	 62.545 	 210.035 	
-184 	 -337 	 -1820 	 -945.49 	 62.615 	 177.345 	
-85 	 -702 	 -911 	 -829.92 	 44.135 	 183.12 	
-557 	 -596 	 -325 	 -688.38 	 32.655 	 210.0 	
-698 	 -271 	 -153 	 -544.215 	 8.33 	 240.905 	
-1057 	 2 	 22 	 -414.96 	 -9.625 	 242.725 	
-1256 	 395 	 -7 	 -315.77 	 -40.6 	 170.205 	
-1158 	 782 	 -394 	 -239.575 	 -77.28 	 52.605 	
-1183 	 1534 	 -527 	 -184.205 	 -108.64 	 -67.97 	
-855 	 1672 	 -936 	 -150.815 	 -140.98 	 -129.5 	
-747 	 1913 	 -1124 	 -120.715 	 -159.6 	 -127.295 	
-391 	 1788 	 -1297 	 -100.835 	 -173.985 	 -74.55 	
-253 	 1521 	 -1272 	 -87.185 	 -174.16 	 -13.405 	
-5 	 1240 	 -1221 	 -80.465 	 -169.575 	 23.73 	
50 	 950 	 -1207 	 -77.56 	 -156.485 	 36.715 	
-15 	 836 	 -1107 	 -74.305 	 -138.915 	 37.45 	
-143 	 739 	 -1031 	 -72.765 	 -120.645 	 38.57 	
-355 	 763 	 -968 	 -70.56 	 -103.005 	 41.79 	
-517 	 782 	 -958 	 -68.985 	 -88.48 	 50.155 	
-662 	 772 	 -979 	 -67.795 	 -76.16 	 60.9 	
-729 	 885 	 -954 	 -66.465 	 -66.045 	 68.355 	
