STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
326 	 -3502 	 -3463 	 43.295 	 238.49 	 90.44 	
-276 	 -3339 	 -3142 	 -11.48 	 218.61 	 103.95 	
-1484 	 -3198 	 -2182 	 -80.99 	 124.985 	 109.095 	
-1988 	 -2638 	 -2157 	 -153.93 	 -47.495 	 119.63 	
-1483 	 -1774 	 -2820 	 -234.01 	 -222.39 	 139.265 	
-382 	 -1585 	 -3291 	 -331.695 	 -343.28 	 153.895 	
314 	 -1227 	 -3570 	 -428.855 	 -385.91 	 158.69 	
-420 	 -589 	 -3245 	 -523.915 	 -361.935 	 154.945 	
-1285 	 -148 	 -2563 	 -616.14 	 -322.875 	 160.265 	
-1575 	 334 	 -1889 	 -703.15 	 -296.205 	 171.955 	
-1529 	 673 	 -822 	 -789.005 	 -287.595 	 175.245 	
-1794 	 1039 	 202 	 -860.405 	 -286.545 	 169.82 	
-1946 	 1392 	 620 	 -914.83 	 -278.005 	 171.5 	
-1191 	 1046 	 1486 	 -958.965 	 -242.27 	 184.205 	
-177 	 -35 	 2953 	 -971.25 	 -162.96 	 190.575 	
194 	 -853 	 3679 	 -939.365 	 -56.315 	 180.145 	
-101 	 -1432 	 3571 	 -884.8 	 48.965 	 158.795 	
-913 	 -2008 	 4405 	 -821.87 	 114.485 	 130.06 	
-1475 	 -2544 	 5922 	 -731.885 	 115.57 	 107.59 	
-1401 	 -2277 	 6175 	 -609.42 	 68.67 	 92.995 	
-1207 	 -1988 	 5885 	 -484.33 	 7.56 	 80.64 	
-1010 	 -1962 	 6214 	 -359.1 	 -33.355 	 70.21 	
-670 	 -1545 	 6105 	 -218.015 	 -42.14 	 62.265 	
-294 	 -1120 	 5876 	 -74.62 	 -18.13 	 52.325 	
-215 	 -842 	 5552 	 58.275 	 23.03 	 40.845 	
-335 	 -539 	 5321 	 177.38 	 66.045 	 32.725 	
-593 	 -464 	 5102 	 285.95 	 97.265 	 27.265 	
-859 	 -287 	 4421 	 380.8 	 108.045 	 22.645 	
-943 	 -37 	 3682 	 455.28 	 102.55 	 20.335 	
-814 	 111 	 3130 	 512.995 	 91.035 	 19.775 	
-589 	 362 	 2457 	 558.95 	 80.36 	 17.78 	
-409 	 637 	 1704 	 588.91 	 76.37 	 15.295 	
-259 	 778 	 1057 	 600.88 	 80.85 	 15.33 	
-88 	 745 	 573 	 598.85 	 90.615 	 17.22 	
-15 	 687 	 80 	 589.085 	 101.01 	 17.78 	
-130 	 572 	 -317 	 571.9 	 104.09 	 16.87 	
-366 	 300 	 -597 	 548.17 	 93.485 	 15.68 	
-599 	 57 	 -902 	 521.815 	 68.81 	 14.77 	
-618 	 -164 	 -1342 	 490.63 	 34.475 	 13.685 	
-511 	 -366 	 -1558 	 453.635 	 1.19 	 8.61 	
-458 	 -425 	 -1642 	 417.2 	 -23.38 	 -0.56 	
-503 	 -288 	 -1781 	 383.11 	 -35.385 	 -9.555 	
-548 	 -230 	 -1818 	 347.165 	 -38.605 	 -15.82 	
-584 	 -298 	 -1741 	 310.17 	 -39.025 	 -22.015 	
-722 	 -342 	 -1693 	 274.82 	 -41.895 	 -29.96 	
-915 	 -329 	 -1670 	 239.4 	 -50.54 	 -37.765 	
-1010 	 -369 	 -1555 	 204.435 	 -63.455 	 -42.98 	
-966 	 -419 	 -1449 	 172.76 	 -76.405 	 -47.495 	
-912 	 -436 	 -1394 	 144.375 	 -85.19 	 -53.375 	
-941 	 -434 	 -1328 	 118.685 	 -87.955 	 -59.64 	
-984 	 -440 	 -1220 	 96.145 	 -84.91 	 -63.875 	
-967 	 -479 	 -1148 	 77.07 	 -77.315 	 -66.675 	
-937 	 -523 	 -1080 	 61.04 	 -66.045 	 -70.0 	
-952 	 -540 	 -962 	 47.635 	 -51.905 	 -73.85 	
-983 	 -536 	 -806 	 37.695 	 -36.295 	 -76.79 	
-981 	 -517 	 -689 	 31.08 	 -20.51 	 -78.295 	
-963 	 -510 	 -594 	 26.495 	 -6.16 	 -79.45 	
-973 	 -518 	 -498 	 23.31 	 5.145 	 -81.095 	
-1020 	 -516 	 -387 	 21.84 	 12.705 	 -82.39 	
-1044 	 -513 	 -305 	 21.875 	 16.87 	 -82.67 	
-1033 	 -505 	 -243 	 22.715 	 18.795 	 -82.67 	
-1016 	 -493 	 -196 	 24.535 	 19.845 	 -82.775 	
-1012 	 -480 	 -160 	 27.09 	 20.79 	 -82.915 	
-999 	 -467 	 -138 	 30.205 	 22.505 	 -82.74 	
-978 	 -458 	 -113 	 33.74 	 25.095 	 -82.39 	
-946 	 -455 	 -108 	 37.835 	 28.245 	 -81.725 	
-944 	 -449 	 -76 	 41.79 	 31.745 	 -81.375 	
-938 	 -437 	 -46 	 46.305 	 34.895 	 -80.5 	
-933 	 -418 	 -30 	 51.03 	 37.52 	 -79.555 	
-929 	 -399 	 -23 	 55.65 	 39.48 	 -78.575 	
-926 	 -389 	 -25 	 60.2 	 40.95 	 -77.525 	
-922 	 -382 	 -20 	 64.855 	 41.86 	 -76.335 	
-918 	 -384 	 -15 	 69.44 	 42.35 	 -75.005 	
-922 	 -390 	 -1 	 73.955 	 42.175 	 -73.57 	
-936 	 -421 	 4 	 78.26 	 40.355 	 -71.995 	
-945 	 -469 	 -21 	 82.635 	 36.295 	 -69.895 	
-979 	 -544 	 -77 	 87.535 	 29.54 	 -67.935 	
-1101 	 -741 	 -216 	 93.17 	 19.67 	 -66.185 	
-1240 	 -1112 	 -511 	 100.03 	 5.88 	 -62.79 	
-1321 	 -1669 	 -1006 	 108.605 	 -10.815 	 -57.12 	
-1389 	 -2478 	 -1588 	 117.565 	 -28.525 	 -50.82 	
-1265 	 -3638 	 -2409 	 127.68 	 -43.75 	 -39.515 	
-686 	 -4900 	 -3530 	 138.565 	 -44.8 	 -21.595 	
170 	 -5842 	 -4261 	 138.39 	 -16.73 	 -7.28 	
688 	 -5804 	 -4229 	 125.37 	 52.605 	 -1.715 	
714 	 -4791 	 -4389 	 111.93 	 149.94 	 6.37 	
143 	 -3744 	 -4683 	 82.145 	 239.47 	 22.12 	
-1062 	 -3611 	 -3854 	 21.84 	 277.865 	 38.955 	
-1769 	 -3605 	 -2713 	 -46.13 	 221.585 	 57.435 	
-1922 	 -2946 	 -2546 	 -115.78 	 85.785 	 72.625 	
-1686 	 -2360 	 -3065 	 -207.97 	 -86.59 	 86.31 	
-1157 	 -1894 	 -3233 	 -318.78 	 -232.05 	 104.685 	
-483 	 -1660 	 -3404 	 -431.97 	 -317.66 	 126.63 	
